contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Democraten 66 (D66),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,Ouderenpartij Noord-Holland,50PLUS,ChristenUnie-SGP,Vrouwen Partij (VP),Multicultureel Plus Partij (M+),Hart voor Holland,Piratenpartij
Den Helder,Langedijk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau ""De Meander""",0416::SB1,1723 LK,1283,417,1,1,0,0,1,387,31,0,0,0,0,0,0,419,66,40,50,39,55,77,13,18,17,25,3,3,0,9,2
Den Helder,Langedijk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Kantine voetbalvereniging DTS,0416::SB2,1724 TZ,907,350,1,1,0,0,0,317,35,0,0,0,0,0,0,352,105,28,36,29,34,72,13,7,9,8,1,0,0,5,3
Den Helder,Langedijk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau o.b.s.""De Wijde Veert""",0416::SB3,1723 AB,1190,845,7,2,0,0,0,777,77,0,0,0,0,0,0,854,194,82,89,111,78,132,40,33,15,29,16,8,2,8,8
Den Helder,Langedijk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau bassissch. ""De Duizend Eilanden""",0416::SB4,1723 AA,1113,473,1,1,0,0,0,438,37,0,0,0,0,0,0,475,77,35,65,62,61,76,11,13,15,26,12,2,1,11,6
Den Helder,Langedijk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau ""Buiten Zorg""",0416::SB5,1722 XR,1194,623,5,4,0,0,0,568,64,0,0,0,0,0,0,632,129,62,77,53,63,116,16,31,15,25,19,5,0,6,6
Den Helder,Langedijk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau ""Horizon""",0416::SB6,1721 GA,1055,465,2,0,0,0,0,434,33,0,0,0,0,0,0,467,80,39,40,45,44,111,17,9,6,19,37,1,0,12,5
Den Helder,Langedijk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Christelijke Gereformeerde kerk,0416::SB7,1721 BP,1267,849,0,0,0,0,1,773,75,0,0,0,0,0,0,849,251,57,99,99,35,140,29,20,16,28,54,4,0,15,2
Den Helder,Langedijk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau voormalig gemeentehuis,0416::SB8,1834 AD,1348,765,1,2,0,0,0,690,79,0,0,0,1,0,0,769,144,72,67,95,64,128,47,49,8,27,40,5,3,8,8
Den Helder,Langedijk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau ""Molenhoeve""",0416::SB9,1834 CH,1083,448,1,0,0,0,0,415,34,0,0,0,0,0,0,449,84,44,33,61,35,81,33,18,10,14,23,1,0,9,2
Den Helder,Langedijk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau o.b.s. ""De Phoenix""",0416::SB10,1834 XJ,1103,565,0,0,0,0,0,526,39,0,0,0,0,0,0,565,96,71,64,89,55,66,23,13,14,28,25,6,1,10,4
