contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PVV (Partij voor de Vrijheid),CDA,VVD,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),GROENLINKS,Democraten 66 (D66),50PLUS,Partij voor de Dieren,Volkspartij Limburg,LOKAAL-LIMBURG,Partij voor Leefbaarheid en Democratie
Venlo,Maasgouw,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeentehuis Maasbracht,1641::SB1,6051 DZ,1563,774,2,2,0,0,1,690,87,0,0,0,0,0,0,778,149,304,76,53,60,9,35,33,18,22,11,4
Venlo,Maasgouw,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Basisschool de Vlinder,1641::SB2,6051 EW,1361,576,1,1,0,0,0,529,49,0,0,0,0,0,0,578,110,219,57,32,63,8,26,23,11,13,10,4
Venlo,Maasgouw,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Zorgcentrum Dokter Engelsoord,1641::SB3,6051 LE,1705,658,6,3,0,0,0,602,65,0,0,0,0,0,0,667,127,195,95,46,59,13,33,30,15,25,16,4
Venlo,Maasgouw,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis Baekerhoes,1641::SB4,6051 JG,1034,533,5,1,0,0,0,487,53,0,1,0,1,0,0,540,81,190,74,67,50,4,22,10,8,16,8,3
Venlo,Maasgouw,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis de Pool,1641::SB5,6067 BS,1532,752,4,1,0,0,1,675,81,0,0,0,0,0,0,757,178,143,92,48,87,19,54,24,30,51,21,5
Venlo,Maasgouw,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Ontmoetingsruimte Linnerhof,1641::SB6,6067 GW,1448,605,3,2,0,0,0,549,61,0,0,0,0,0,0,610,95,132,93,33,62,10,52,18,16,60,30,4
Venlo,Maasgouw,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis Stevensweert,1641::SB7,6107 BZ,1315,622,0,5,0,0,0,562,65,0,0,0,0,0,0,627,102,211,70,38,55,8,38,24,21,41,11,3
Venlo,Maasgouw,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Verenigingszaal Ohé en Laak,1641::SB8,6109 AR,685,350,1,0,0,0,0,312,39,0,0,0,0,0,0,351,43,159,37,18,32,4,17,3,22,7,6,2
Venlo,Maasgouw,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Voormalig gemeentehuis Heel,1641::SB9,6097 AS,2282,693,2,1,0,0,0,628,68,0,0,0,0,0,0,696,87,127,154,35,99,26,87,20,21,22,15,0
Venlo,Maasgouw,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Kantine Sporthal Reutsdael,1641::SB10,6097 BH,1426,827,4,6,0,0,0,761,76,0,0,0,0,0,0,837,101,190,147,49,69,28,107,36,32,40,26,2
Venlo,Maasgouw,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Ouderencentrum St. Jozef,1641::SB11,6019 AN,1649,671,3,3,0,0,1,593,83,0,0,0,0,0,0,677,112,170,107,40,79,21,60,28,16,8,26,4
Venlo,Maasgouw,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis 't Leuke,1641::SB12,6099 AR,1435,695,3,2,0,0,0,639,61,0,0,0,0,0,0,700,103,128,180,42,64,24,73,29,12,22,17,1
Venlo,Maasgouw,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Ouderencentrum Sterrebosch,1641::SB13,6017 AL,1975,915,8,1,0,0,2,809,113,0,0,0,0,0,0,924,160,243,130,74,94,29,75,22,28,37,21,2
