contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),GROENLINKS,SP (Socialistische Partij),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Vrijzinnige Partij,Provincie@Inwonersbelangen,Libertarische Partij (LP),JEZUS LEEFT
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Stadshuis,0356::SB1,3431 LZ,1375,852,7,1,0,0,1,789,71,0,1,0,1,0,0,861,122,89,87,118,110,36,147,25,2,57,37,3,11,3,5
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Obs de Schakel,0356::SB2,3431 AC,1925,570,1,1,0,0,3,526,43,0,0,0,0,0,0,572,50,50,74,68,117,25,80,23,5,40,21,1,14,2,0
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Merwestein,0356::SB3,3432 GH,1237,434,1,1,0,0,0,404,32,0,0,0,0,0,0,436,63,53,34,67,57,19,73,25,0,21,18,0,3,1,0
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau Gemeenschapsruimte ""boerderij Bos""",0356::SB4,3437 KN,1565,719,3,1,0,0,0,650,73,0,0,0,0,0,0,723,118,88,68,94,132,22,90,16,4,56,21,1,8,1,0
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Buurthuis Kerkveld,0356::SB5,3431 EC,2040,1028,4,2,0,1,0,946,89,0,0,0,1,0,0,1035,190,106,139,108,127,46,154,39,6,60,38,3,12,0,0
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Montessorischool De Vleugel,0356::SB6,3438 AG,1995,915,2,3,0,0,3,824,93,0,0,0,0,0,0,920,123,86,104,117,121,69,133,33,11,55,43,2,13,0,5
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Basisschool De Toonladder,0356::SB7,3437 PJ,1614,661,1,0,0,0,0,596,66,0,0,0,0,0,0,662,135,51,73,98,116,16,77,14,2,38,27,1,9,2,2
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau RK basisschool Vroonestein,0356::SB8,3438 RA,1985,875,11,2,0,0,0,778,110,0,0,0,0,0,0,888,167,103,83,131,114,31,138,21,8,41,28,0,8,0,2
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau De Cimbaal,0356::SB9,3438 DA,1461,529,2,0,0,0,0,475,56,0,0,0,0,0,0,531,75,60,58,90,50,33,77,16,5,25,31,0,8,1,0
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau ROC MN Veiligheid&Defensie College,0356::SB10,3437 WN,1444,490,0,1,0,0,0,440,52,0,1,0,1,0,0,492,87,45,44,70,67,23,84,13,0,28,21,1,6,1,0
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Kinderdagverblijf De Toverfluit,0356::SB11,3437 XB,1535,636,0,1,0,0,0,578,59,0,0,0,0,0,0,637,116,60,66,81,80,31,94,22,7,37,27,1,7,2,5
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau PC bs Pr.Margriet locatie Noord I,0356::SB12,3437 CA,1291,614,4,0,0,0,0,556,62,0,0,0,0,0,0,618,118,59,84,94,63,19,82,16,6,32,29,0,12,0,0
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau PC bs Pr.Margriet locatie Noord II,0356::SB13,3437 CA,1403,535,2,2,0,3,0,491,51,0,0,0,3,0,0,542,99,58,71,73,65,26,64,24,4,22,18,0,6,2,3
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau PC Basisschool Kon. Juliana,0356::SB14,3437 KB,1466,741,4,0,0,0,0,657,88,0,0,0,0,0,0,745,179,81,72,95,106,29,78,24,4,41,11,1,18,1,1
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Buurtplein Batau,0356::SB15,3437 AA,1318,742,4,2,0,0,0,670,78,0,0,0,0,0,0,748,91,72,53,92,108,44,142,28,3,51,37,3,14,1,3
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau PC bs Pr.Margriet, locatie Zuid",0356::SB16,3436 GB,1688,577,3,2,0,0,1,519,62,0,0,0,0,0,0,582,95,52,78,58,111,19,77,21,5,37,14,0,7,0,3
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Openbare basisschool De Meander,0356::SB17,3436 GE,1782,788,6,1,0,0,0,705,90,0,0,0,0,0,0,795,134,78,77,142,98,45,111,19,5,42,24,0,8,3,2
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Openbare basisschool De Krullevaar,0356::SB18,3435 BZ,1839,808,3,5,0,0,0,693,123,0,0,0,0,0,0,816,106,86,79,128,113,62,98,26,7,49,39,0,9,2,4
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Buurtplein Doorslag,0356::SB19,3435 EP,1202,626,2,2,0,0,1,574,55,0,0,0,0,0,0,630,74,56,67,77,100,35,105,36,5,30,25,2,13,0,1
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Scholengemeenschap Anna van Rijn,0356::SB20,3435 XA,1663,740,0,1,0,1,0,666,76,0,0,0,1,0,0,742,93,73,75,86,106,54,107,20,8,57,37,2,18,0,4
,Nieuwegein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Daltonschool Uniq-Deldenseschans 2,0356::SB21,3432 XW,1535,586,1,0,0,0,0,516,71,0,0,0,0,0,0,587,73,73,41,69,96,37,81,22,8,31,34,2,16,1,2
