contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland,Vrijzinnige Partij
Leiden,Nieuwkoop,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Kaleidoskoop,0569::SB1,2421 EX,2242,1106,2,6,0,0,1,997,112,0,0,4,0,4,0,1110,272,82,132,168,85,128,44,34,55,59,32,3,3,9,0
Leiden,Nieuwkoop,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Rank,0569::SB2,2421 BE,2077,1104,0,6,0,0,0,975,135,0,0,0,0,0,0,1110,423,56,110,172,52,114,30,38,35,42,27,1,3,1,0
Leiden,Nieuwkoop,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Muziekc. Eensgezind,0569::SB4,2421 TA,2271,990,0,0,0,0,0,881,109,0,0,0,0,0,0,990,248,109,119,133,93,128,31,33,11,37,37,3,2,5,1
Leiden,Nieuwkoop,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Rietzanger,0569::SB5,2431 AD,1275,594,3,6,0,0,0,541,62,0,0,0,0,0,0,603,180,58,63,126,30,48,19,5,7,29,23,0,1,4,1
Leiden,Nieuwkoop,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Schutse,0569::SB6,3652 LH,976,506,0,1,0,5,0,442,70,0,0,0,5,0,0,512,141,17,44,132,13,32,10,48,39,13,12,0,3,2,0
Leiden,Nieuwkoop,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Koetshuis,0569::SB8,2461 CN,2044,974,2,1,0,0,0,891,86,0,0,0,0,0,0,977,230,59,140,246,60,109,19,10,8,52,26,3,6,6,0
Leiden,Nieuwkoop,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Menken Maritiem,0569::SB9,2461 ET,1668,621,2,4,0,1,0,573,55,0,0,0,1,0,0,628,202,33,81,154,14,34,16,28,17,26,14,1,1,0,0
Leiden,Nieuwkoop,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau BS De Vosseschans,0569::SB10,2461 BA,1387,681,2,2,0,0,0,610,76,0,0,0,1,0,0,686,141,44,83,162,51,68,34,26,27,25,15,1,2,2,0
Leiden,Nieuwkoop,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Vlinder,0569::SB12,2461 CB,1739,1031,5,1,0,0,0,958,79,0,0,0,0,0,0,1037,237,76,119,240,62,116,27,46,31,34,30,6,1,5,1
Leiden,Nieuwkoop,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau 't Anker,0569::SB13,2441 CN,1495,660,3,1,0,1,0,594,71,0,0,0,1,0,0,665,178,34,98,142,37,55,19,20,19,34,17,4,1,2,0
Leiden,Nieuwkoop,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Gemeentehuis Nieuwveen,0569::SB14,2441 LE,2094,846,3,0,0,0,0,759,92,0,0,0,2,0,0,851,208,49,132,167,66,77,16,42,16,41,24,4,1,2,1
Leiden,Nieuwkoop,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau 't Trefpunt,0569::SB16,2435 XP,1782,818,2,1,0,0,0,728,93,0,0,0,0,0,0,821,266,43,120,159,32,63,16,42,15,30,27,1,3,1,0
Leiden,Nieuwkoop,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Mobiel stembureau,0569::SB21,,0,203,0,1,0,0,0,178,26,0,0,0,0,0,0,204,62,10,24,59,8,14,7,7,3,2,7,0,0,0,0
