contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,50PLUS,Partij voor de Dieren,PLATFORM VRIJE POLITIEK,StemNL,Lokaal Brabant,Libertarische Partij (LP),ChristenUnie-SGP
's-Hertogenbosch,Oss,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Gemeentehuis Oss,0828::SB1,5341 GM,1376,914,5,2,0,0,0,824,100,0,3,0,3,0,0,924,133,119,64,254,104,97,34,51,37,0,0,11,0,10
's-Hertogenbosch,Oss,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Centraal Station,0828::SB2,,1256,755,0,1,0,0,3,700,53,0,0,0,0,0,0,756,96,76,74,218,50,118,58,16,32,0,0,7,0,10
's-Hertogenbosch,Oss,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,"Stembureau Het Hooghuis, locatie De Singel",0828::SB3,5348 TH,3361,977,3,7,0,1,0,862,126,0,0,0,1,0,0,988,76,104,189,364,50,65,24,55,23,1,1,13,3,9
's-Hertogenbosch,Oss,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Basisschool De Nieuwe Link,0828::SB4,5348 AH,2573,970,3,4,0,0,0,867,111,0,0,0,1,0,0,978,111,157,152,256,69,102,12,77,22,1,1,5,2,3
's-Hertogenbosch,Oss,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Ouderensociëteit Krinkelhoek,0828::SB5,5346 SN,3386,1083,3,5,0,0,1,960,130,0,0,0,0,0,0,1091,135,168,176,314,66,107,22,46,34,1,1,8,2,3
's-Hertogenbosch,Oss,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Steunpunt De Brink,0828::SB6,5341 AX,1756,648,7,1,0,1,0,579,78,0,0,0,1,0,0,657,43,74,101,240,40,64,15,43,18,0,0,8,0,2
's-Hertogenbosch,Oss,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Stembureau Centrum,0828::SB7,,933,473,4,2,0,0,0,432,47,0,0,0,0,0,0,479,59,62,72,128,34,59,24,24,6,1,0,2,0,2
's-Hertogenbosch,Oss,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Hub Noord-Brabant,0828::SB8,5342 AH,1198,384,2,3,0,0,0,349,40,0,0,0,0,0,0,389,34,36,41,137,45,35,21,19,9,0,0,6,0,1
's-Hertogenbosch,Oss,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Titus Brandsma Parochie,0828::SB9,5342 GC,1280,591,5,1,0,0,0,544,53,0,0,0,0,0,0,597,78,62,52,172,62,81,33,18,19,1,0,5,0,8
's-Hertogenbosch,Oss,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau RK Basisschool Pius X,0828::SB10,5342 GH,1777,834,4,0,0,0,0,742,96,0,0,0,0,0,0,838,169,132,81,197,48,97,27,44,22,0,1,6,0,10
