contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,LOKAAL OVERIJSSEL,Partij voor de Dieren
,Raalte,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Gemeentehuis,0177::SB1,,2194,1341,1,10,0,1,0,1243,108,0,0,1,0,0,0,1351,488,125,217,120,136,116,19,29,2,57,10,22
,Raalte,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Swaenewoerd,0177::SB2,,1355,723,7,4,0,0,0,689,45,0,0,0,0,0,0,734,270,70,110,61,75,58,7,25,4,25,7,11
,Raalte,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Bolster,0177::SB3,,1093,536,0,0,0,0,0,494,42,0,0,0,0,0,0,536,147,65,80,46,72,55,9,21,1,28,6,6
,Raalte,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Dorpshuis Lierderholthuis,0177::SB4,,433,224,0,0,0,0,0,202,22,0,0,0,0,0,0,224,91,13,45,14,15,14,2,15,1,3,9,2
,Raalte,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Brinkhuis- van Hoogstraten,0177::SB5,,1249,696,2,1,0,0,0,639,60,0,0,0,0,0,0,699,230,82,114,44,60,82,10,31,2,21,14,6
,Raalte,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Hartkamp,0177::SB6,,1511,811,3,4,0,0,0,758,60,0,0,0,0,0,0,818,231,89,100,70,107,117,13,33,3,23,8,17
,Raalte,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Helpende Handen,0177::SB7,,879,457,1,4,0,0,0,429,33,0,0,0,0,0,0,462,143,45,57,46,72,39,10,15,2,16,6,6
,Raalte,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Carmel College,0177::SB8,,1197,295,0,1,0,0,0,273,23,0,0,0,0,0,0,296,82,19,45,26,32,39,7,22,1,12,9,1
,Raalte,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Vogelaar,0177::SB9,,1734,1006,2,2,0,0,0,898,112,0,0,0,0,0,0,1010,249,105,194,65,106,171,12,41,0,34,15,14
,Raalte,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Schuilenburg,0177::SB10,,1778,780,1,0,0,0,1,683,97,0,0,0,0,0,0,781,256,83,176,58,54,92,6,22,2,17,4,10
,Raalte,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Elckerlyc,0177::SB11,,1675,861,4,1,0,0,0,756,110,0,0,0,0,0,0,866,423,55,138,61,55,65,4,13,0,30,8,9
,Raalte,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Schalm,0177::SB12,,1205,613,2,1,0,0,0,551,65,0,0,0,0,0,0,616,345,23,92,32,36,38,3,15,2,10,8,9
,Raalte,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Belte,0177::SB13,,910,430,1,2,0,0,0,390,43,0,0,0,0,0,0,433,256,28,54,17,16,19,3,3,10,9,8,7
,Raalte,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Trefpunt,0177::SB14,,1411,770,1,7,0,0,0,704,74,0,0,0,0,0,0,778,356,43,104,41,61,89,11,19,2,18,20,6
