contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland,Vrijzinnige Partij,JEZUS LEEFT
Dordrecht,Rijswijk,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau basisschool Het Zonnelicht,0603::SB1,2281 TC,1525,692,4,0,0,0,0,624,72,0,0,0,0,0,0,696,108,87,78,33,62,148,84,21,9,17,33,3,4,4,0,1
Dordrecht,Rijswijk,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Leeuwendaalkerk,0603::SB2,2281 GG,1705,1178,14,12,0,0,0,1095,109,0,0,0,0,0,0,1204,317,130,94,98,46,291,97,35,4,17,43,1,3,2,0,0
Dordrecht,Rijswijk,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Dienstencentrum Het Oude Raadhuis,0603::SB3,2282 AL,1344,641,3,2,0,0,0,584,64,0,0,0,2,0,0,648,101,52,132,68,63,70,50,21,4,26,42,8,3,1,0,0
Dordrecht,Rijswijk,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Wijkcentrum Oud Rijswijk,0603::SB4,2282 RZ,2032,1053,24,0,0,0,0,981,96,0,0,0,0,0,0,1077,186,101,140,107,83,202,86,22,7,56,51,4,2,4,0,2
Dordrecht,Rijswijk,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Kindercentr. de Dwergenhut (Cirkelflat),0603::SB5,2285 SP,1606,805,4,1,0,0,0,724,89,0,0,0,3,0,0,813,169,88,159,65,66,116,42,12,2,42,32,7,1,2,2,0
Dordrecht,Rijswijk,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Woonzorgcentrum Vredenburch,0603::SB6,2282 SK,2014,901,3,3,0,5,0,842,70,0,0,0,5,0,0,912,148,84,167,125,82,121,58,13,6,37,47,6,2,3,0,2
Dordrecht,Rijswijk,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau speeltuinvereniging Inter Amicos,0603::SB7,2282 KV,1421,633,5,2,0,0,2,585,52,0,0,1,0,0,0,639,106,73,102,38,53,133,49,14,0,18,30,9,0,4,3,1
Dordrecht,Rijswijk,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Amateurspalet,0603::SB8,2282 HM,1641,666,3,4,0,0,0,619,54,0,0,0,0,0,0,673,96,65,163,66,71,61,40,11,3,33,46,6,0,2,0,3
Dordrecht,Rijswijk,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Gemeentehuis,0603::SB9,2284 DP,641,561,3,2,0,0,1,515,50,0,0,0,0,0,0,566,130,64,98,68,35,71,30,7,3,28,20,3,0,2,0,2
Dordrecht,Rijswijk,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Rehobothschool,0603::SB10,2283 JA,2222,841,2,3,0,0,0,777,69,0,0,0,0,0,0,846,161,81,166,84,109,90,38,14,4,43,36,5,2,2,0,6
Dordrecht,Rijswijk,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Sportcentrum Nicolaas,0603::SB11,2283 EG,1747,822,4,1,0,0,0,755,72,0,0,0,0,0,0,827,198,74,127,96,58,114,44,15,6,33,38,11,1,2,1,4
