contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland,Vrijzinnige Partij,JEZUS LEEFT
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Stadskantoor (Lunchkamer),0606::SB1,,1781,868,1,0,0,0,0,786,83,0,0,0,0,0,0,869,115,128,158,47,121,122,62,17,10,42,35,2,0,6,2,1
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Parochiecentrum De Wilgenburg,0606::SB2,,2381,604,2,3,0,0,0,549,60,0,0,0,0,0,0,609,44,75,114,63,84,77,32,18,4,28,45,10,3,2,0,5
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Station Schiedam Centrum,0606::SB3,,1787,736,6,8,0,0,0,679,71,0,0,0,0,0,0,750,61,98,98,45,134,121,58,19,5,21,63,9,1,1,0,2
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Stadskantoor (Klant Contact Centrum),0606::SB4,,1768,814,4,2,0,0,0,741,79,0,0,0,0,0,0,820,108,125,135,57,135,102,54,15,3,25,43,3,0,4,2,3
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Wijkgebouw Kluphuis Oost,0606::SB5,,1512,465,1,2,0,0,0,428,45,0,5,0,5,0,0,473,22,76,140,25,84,29,21,10,2,19,26,4,0,2,0,5
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Openbare basisschool De Peperklip,0606::SB6,,1833,486,1,3,0,0,1,425,64,0,0,0,0,0,0,490,31,54,115,27,107,38,35,12,2,22,29,4,1,2,2,5
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Openbare basisschool De Gorzen,0606::SB8,,2408,878,2,3,0,0,0,840,45,0,2,0,2,0,0,885,114,81,250,63,139,79,25,15,3,50,48,2,5,2,1,1
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Bewonersvereniging Schiedam-Zuid,0606::SB10,,2052,676,3,4,0,0,0,606,77,0,0,0,0,0,0,683,43,79,198,39,149,42,26,5,2,56,27,3,1,2,1,3
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Zorgcentrum Frankeland,0606::SB11,,1798,816,0,0,3,0,0,739,74,0,0,3,0,0,0,813,119,90,158,104,88,107,45,22,6,37,32,2,1,1,0,4
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Wijkcentrum De Erker,0606::SB12,,2364,806,1,7,0,0,0,738,76,0,0,0,0,0,0,814,38,101,188,60,174,85,37,19,3,36,49,9,2,2,1,2
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Jacobs Gasthuis,0606::SB14,,1887,835,4,4,0,0,1,734,108,0,0,0,0,0,0,843,140,89,85,82,106,161,50,29,12,28,46,1,0,4,0,2
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Zorgcentrum François Haverschmidt,0606::SB15,,2000,916,2,6,0,0,0,817,108,0,1,0,1,0,0,925,197,100,149,71,108,144,53,22,3,36,26,3,0,2,0,2
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Openbare basisschool De Kring,0606::SB16,,1678,576,1,1,0,0,0,513,65,0,0,0,0,0,0,578,62,71,148,34,87,73,35,10,4,14,28,8,0,2,0,0
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Pronova College,0606::SB17,,2116,534,7,5,2,0,0,455,93,0,0,0,2,0,0,548,42,95,83,46,94,67,34,8,1,25,24,9,3,2,1,0
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Zorgcentrum Schiewaegh,0606::SB19,,2062,724,3,8,0,0,1,658,77,0,0,0,1,0,1,736,64,103,145,60,125,69,16,16,19,57,34,6,2,1,0,7
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Openbare basisschool Het Startblok,0606::SB20,,1753,285,2,1,0,0,0,243,45,0,0,0,0,0,0,288,23,44,45,24,55,53,16,2,1,8,8,4,0,0,1,1
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Wijkcentrum Dreesplein,0606::SB21,,2444,797,7,1,0,0,0,707,99,0,1,0,1,0,0,806,85,141,145,77,116,72,36,20,5,37,33,22,0,3,2,3
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Openbare basisschool Het Windas,0606::SB23,,1052,664,0,2,0,0,0,588,78,0,0,0,0,0,0,666,140,72,102,102,42,109,37,10,7,21,16,0,1,3,0,2
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Krona Lounge,0606::SB24,,2260,1313,3,6,0,0,0,1153,170,0,1,0,1,0,0,1323,273,158,259,96,131,215,48,21,6,55,42,2,3,3,0,1
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Recreatiezaal Van Beethovenflat,0606::SB25,,1815,844,5,2,0,0,0,760,90,0,0,1,0,1,0,850,66,99,193,93,156,62,24,31,8,55,43,6,1,4,0,3
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Zorg- en dienstencentrum De Nieuwe Harg,0606::SB26,,1025,444,1,3,0,0,0,411,37,0,0,0,0,0,0,448,62,50,88,75,44,40,12,10,3,32,19,4,0,3,1,1
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Zorgcentrum Harg-Spaland,0606::SB27,,1980,699,2,8,0,0,0,631,78,0,0,0,0,0,0,709,47,107,159,138,86,42,19,13,11,34,29,8,2,3,0,1
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Speelboerderij Strauss & Co,0606::SB28,,2003,455,0,4,0,0,0,409,50,0,0,0,0,0,0,459,33,61,107,56,74,58,5,11,3,29,15,1,0,0,0,2
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Wijkcentrum De Brug,0606::SB29,,1751,818,1,6,0,0,0,761,64,0,0,0,0,0,0,825,77,98,159,108,163,61,17,16,12,71,30,1,0,2,0,3
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,"Stembureau Dorpskerk Schiedam, Terpzicht",0606::SB30,,1781,799,2,1,0,0,2,684,116,0,0,0,0,0,0,802,160,78,140,124,91,84,33,27,0,24,31,1,1,2,0,3
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Geriatrisch centrum DrieMaasStede,0606::SB31,,1228,466,1,0,0,0,0,417,50,0,0,0,0,0,0,467,39,45,103,70,56,42,19,6,8,32,39,4,2,1,0,0
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Openbare basisschool De Klinker,0606::SB32,,1673,728,1,1,0,0,0,650,80,0,0,0,0,0,0,730,105,90,148,65,94,78,36,11,2,57,34,1,0,3,0,4
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Openbare basisschool De Klinker,0606::SB33,,1633,789,6,0,0,1,0,702,94,0,0,0,1,0,0,796,97,100,146,105,97,89,31,12,2,40,55,6,2,2,1,4
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Ontmoetingscentrum De Werf,0606::SB34,,1864,735,1,2,0,0,0,615,123,0,0,0,0,0,0,738,176,72,137,78,64,86,35,19,14,27,23,0,0,3,1,0
Dordrecht,Schiedam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Dienstencentrum de Valm,0606::SB35,,2117,484,0,0,0,0,0,424,60,0,0,0,0,0,0,484,132,57,79,40,35,61,13,11,1,27,22,2,2,0,0,2
