contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PVV (Partij voor de Vrijheid),CDA,VVD,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),GROENLINKS,Democraten 66 (D66),50PLUS,Partij voor de Dieren,Volkspartij Limburg,LOKAAL-LIMBURG,Partij voor Leefbaarheid en Democratie
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeentehuis,0984::SB1,,1783,983,0,0,0,0,0,885,98,0,0,0,0,0,0,983,106,345,128,68,113,35,137,28,17,2,2,2
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau V.v. Gogh glazen huis,0984::SB2,,1667,693,1,0,0,1,0,621,72,0,0,1,0,0,0,693,73,176,99,64,98,31,119,17,11,2,1,2
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Verzorgingshuis Beukenrode,0984::SB3,,1563,730,0,2,0,0,0,652,80,0,0,0,0,0,0,732,75,242,74,40,138,24,93,22,12,8,1,1
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Zorgcentrum het Schuttersveld,0984::SB4,,1575,700,2,0,0,0,0,652,50,0,0,0,0,0,0,702,110,223,77,41,116,31,76,11,8,5,2,0
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Wijkcentrum 't Stekske,0984::SB5,,2241,1174,3,4,0,0,2,1033,146,0,0,0,0,0,0,1181,199,212,117,73,289,50,156,34,14,15,11,4
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis Oostrum,0984::SB6,,1832,802,1,2,0,0,0,728,77,0,0,0,0,0,0,805,76,272,90,55,105,43,129,20,6,3,3,0
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis Oirlo,0984::SB7,,894,509,0,0,0,0,0,444,65,0,0,0,0,0,0,509,53,333,35,11,39,4,20,2,7,1,3,1
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis Castenray,0984::SB8,,586,281,0,0,0,0,30,251,0,0,0,0,0,0,0,281,24,181,15,4,27,3,14,8,3,0,0,2
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Cafe zaal 't Veule,0984::SB9,,382,202,0,0,0,0,0,177,25,0,0,0,0,0,0,202,27,123,13,3,17,6,1,5,6,0,0,1
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau MFC Leunen,0984::SB10,,1732,847,3,1,0,0,0,746,105,0,0,0,0,0,0,851,83,362,93,40,98,35,94,17,13,5,4,3
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis Heide,0984::SB11,,378,250,1,0,0,0,0,214,37,0,0,0,0,0,0,251,18,135,13,8,39,4,20,11,2,0,0,0
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis Ysselsteyn,0984::SB12,,1686,812,2,0,0,0,0,676,138,0,0,0,0,0,0,814,76,490,75,14,71,10,43,22,2,4,5,0
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Partycentrum 't Anker,0984::SB13,,850,425,0,0,0,1,0,374,52,0,0,0,1,0,0,426,43,223,45,9,44,11,30,13,3,3,1,0
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis Vredepeel,0984::SB14,,172,97,0,0,0,0,0,85,12,0,0,0,0,0,0,97,8,73,7,1,3,1,1,1,2,0,0,0
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau 't Pelgrimshuis,0984::SB15,,177,85,0,0,0,0,0,70,15,0,0,0,0,0,0,85,7,37,11,5,15,1,5,3,0,0,0,1
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Vincent van Goch centrumgebouw,0984::SB16,,1850,724,1,1,0,0,0,628,98,0,0,0,0,0,0,726,81,202,110,58,94,22,116,16,16,5,4,0
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Sportcentrum de Sprank,0984::SB17,,1875,1049,3,1,0,0,1,919,133,0,0,0,0,0,0,1053,89,286,215,64,128,35,175,31,14,7,3,2
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau WOC 't Schopke,0984::SB18,,1561,836,3,4,0,0,0,772,71,0,0,0,0,0,0,843,104,248,66,50,165,38,115,23,24,3,0,0
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Wijkcentrum de Kiosk,0984::SB19,,1645,458,4,3,0,0,0,422,44,0,1,0,1,0,0,466,99,85,24,42,112,11,44,20,3,11,7,0
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Kantoor Platform Lage Inkomens Venray,0984::SB20,,1676,491,1,0,0,0,0,437,55,0,0,0,0,0,0,492,82,126,29,37,105,24,42,27,9,9,1,0
Venlo,Venray,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Openbare school de Landweert,0984::SB21,,2322,569,4,0,0,0,0,501,72,0,0,0,0,0,0,573,89,85,47,44,163,18,70,22,15,7,6,3
