contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PARTIJ VOOR ZEELAND (PVZ),ChristenUnie,Democraten 66 (D66),GROENLINKS,50PLUS,Provinciaal Belang Zeeland,Zeeland Lokaal
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Hal Stadhuis,0718::SB1,4382 LG,1235,836,1,2,0,0,0,768,71,0,0,0,0,0,0,839,117,100,84,87,8,154,25,32,87,46,47,13,36
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Speeltuinvereniging De Oude Stad,0718::SB2,4381 AJ,1066,422,2,1,0,0,0,386,39,0,0,0,0,0,0,425,38,63,28,58,6,101,13,9,41,26,21,6,12
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Bibliotheek 't Spui,0718::SB3,4381 HR,1282,706,3,3,0,0,0,666,47,0,1,0,1,0,0,713,82,126,45,96,3,119,22,22,78,42,35,6,30
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Lokaal  Ger. Kerk Vrijgemaakt,0718::SB4,4381 VB,1203,398,0,0,0,0,2,361,35,0,0,0,0,0,0,398,40,48,47,52,14,72,13,15,34,21,19,7,16
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Lokaal  Het Vlot,0718::SB5,4382 SE,978,347,1,7,0,0,0,325,30,0,0,0,0,0,0,355,18,48,28,49,2,90,8,15,30,12,33,6,8
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Atrium  Zorgcentrum Ter Reede,0718::SB6,4382 CJ,1241,366,1,1,0,0,0,337,31,0,0,0,0,0,0,368,59,47,47,40,7,44,16,11,39,13,21,4,18
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Kantine Beheer Gemeente Vlissingen,0718::SB7,4382 CJ,1062,376,0,2,0,0,0,336,42,0,0,0,0,0,0,378,67,48,48,34,11,31,12,18,51,9,24,4,19
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Stichting Roat,0718::SB8,4383 SR,982,346,1,1,0,0,0,309,39,0,0,0,0,0,0,348,49,38,27,65,6,59,7,15,27,7,29,13,4
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Lokaal  Louise de Colignyschool,0718::SB9,4384 EV,2604,1442,3,6,0,5,0,1321,125,0,0,5,0,0,0,1446,291,169,148,126,42,215,64,60,158,64,47,25,33
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Lokaal Theo Thijssenschool,0718::SB10,4384 PA,1427,587,2,3,0,0,0,541,51,0,0,0,0,0,0,592,114,76,60,72,8,73,22,16,77,22,32,6,9
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Lokaal Apostolisch Genootschap,0718::SB11,4386 GZ,1550,887,2,1,0,0,0,791,99,0,0,0,0,0,0,890,213,78,96,121,28,88,30,38,97,24,43,15,16
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Lokaal basisschool De Vlieger,0718::SB12,4385 AM,1219,516,0,2,0,0,0,479,39,0,0,0,0,0,0,518,36,63,28,90,24,110,25,24,44,16,34,6,16
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Kerk De Schaapskooi,0718::SB13,4386 EA,1289,567,0,0,0,0,0,521,46,0,0,0,0,0,0,567,57,61,53,91,19,118,13,41,62,19,13,4,16
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Adventkerk,0718::SB14,4386 AL,1228,656,1,4,1,0,0,586,76,0,0,0,1,0,0,662,86,68,76,52,68,53,31,44,80,35,32,13,18
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Lokaal Het Kroonjuweel,0718::SB15,4388 MD,1819,540,0,0,0,0,0,486,54,0,0,0,0,0,0,540,60,80,69,63,17,65,24,47,43,22,27,6,17
,Vlissingen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Zorgcentrum De Zoute Viever,0718::SB16,4388 VJ,1595,555,1,1,0,0,0,556,2,1,0,0,1,0,0,558,66,68,66,74,18,71,26,40,47,25,29,7,18
