contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland,Vrijzinnige Partij,JEZUS LEEFT
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Naaldwijk Gemeentehuis,1783::SB1,2671 GW,1385,858,1,5,0,0,0,765,99,0,0,0,0,0,0,864,229,57,114,213,58,67,11,21,14,45,21,1,2,3,0,2
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Naaldwijk Bibliotheek,1783::SB2,2671 GK,1352,653,3,2,0,0,0,587,71,0,0,0,0,0,0,658,177,34,81,213,22,43,11,14,6,33,15,2,1,0,0,1
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Naaldwijk De Ouverture,1783::SB3,2671 VV,840,496,0,1,0,0,0,432,65,0,0,0,0,0,0,497,100,26,73,164,24,43,11,14,7,16,13,2,0,2,1,0
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Naaldwijk De Naaldhorst,1783::SB4,2671 ME,1660,676,2,4,0,0,0,592,90,0,0,0,0,0,0,682,152,46,130,138,52,46,11,30,10,37,22,0,0,0,0,2
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Naaldwijk Careyn Rozenhof,1783::SB5,2671 KH,1019,691,2,0,0,0,0,609,84,0,0,0,0,0,0,693,211,37,87,185,28,49,5,22,15,25,19,4,0,1,0,3
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Naaldwijk Gymzaal Wollegras,1783::SB6,2671 ZZ,1570,845,3,1,0,1,0,747,101,0,0,1,0,0,0,848,235,60,122,189,53,75,15,22,8,30,23,0,1,5,1,6
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Naaldwijk De Binnenhof,1783::SB7,2671 EG,1329,623,4,2,0,0,0,567,62,0,0,0,0,0,0,629,175,33,101,127,41,43,7,17,11,36,26,2,1,2,1,0
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Naaldwijk Openbare Daltonschool,1783::SB8,2672 BB,1348,819,2,0,0,1,0,731,91,0,0,0,1,0,0,822,211,67,122,207,36,73,18,11,21,21,25,2,3,1,0,1
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Naaldwijk Brandweerkazerne,1783::SB9,2671 JP,1287,597,3,1,0,0,0,536,65,0,0,0,0,0,0,601,156,41,79,119,36,58,16,26,6,31,23,1,1,2,0,2
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Naaldwijk Bernadetteschool,1783::SB10,2673 BK,1945,950,5,1,12,0,0,803,141,0,0,12,0,0,0,944,391,42,121,218,22,74,8,21,3,20,13,13,2,2,0,0
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Naaldwijk De Regenboog,1783::SB11,2672 DR,1436,637,0,3,0,0,0,561,79,0,0,0,0,0,0,640,230,25,83,156,12,65,17,7,10,14,13,2,0,1,2,0
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Honselersdijk De Hunselaer,1783::SB12,2675 XJ,1469,727,3,3,0,1,0,654,80,0,0,0,1,0,0,734,169,48,134,186,32,65,11,18,0,39,20,0,1,2,1,1
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Honselersdijk Rehoboth,1783::SB13,2675 CL,1500,932,5,1,0,0,0,812,126,0,0,0,0,0,0,938,254,29,174,258,46,68,19,15,3,27,27,3,1,4,0,4
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Honselersdijk De Voorhof,1783::SB14,2675 AZ,1176,622,4,0,0,0,0,543,83,0,0,0,0,0,0,626,250,9,97,155,23,35,7,16,1,7,17,1,2,2,0,0
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Honselersdijk voorheen JAC De Mixx,1783::SB15,2675 TT,1371,367,1,1,0,0,0,329,40,0,0,0,0,0,0,369,94,31,87,72,21,17,3,12,5,16,7,0,0,0,1,1
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Maasdijk Basisschool Het Kompas,1783::SB16,2676 XH,1445,715,3,4,0,0,1,641,80,0,0,0,0,0,0,722,181,24,136,200,33,31,0,38,29,22,10,7,0,0,0,4
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Maasdijk Kerkgebouw De Hoeksteen,1783::SB17,2676 VP,1547,840,3,1,0,1,0,736,109,0,0,0,1,0,0,845,234,17,138,277,29,33,7,31,20,23,24,0,4,0,1,2
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau 's-Gravenzande Gemeentehuis,1783::SB18,2691 BE,1464,773,0,1,0,0,0,660,114,0,0,0,0,0,0,774,208,38,100,199,32,53,11,38,43,33,13,0,0,4,0,1
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau 's-Gravenzande Bibliotheek,1783::SB19,2692 AG,1420,807,2,1,0,0,0,699,113,0,0,0,0,0,0,812,208,40,114,179,42,48,12,40,51,37,23,3,1,4,0,5
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau 's-Gravenzande De Brug,1783::SB20,2691 GC,2063,933,1,1,0,0,0,806,129,0,0,0,0,0,0,935,236,44,148,213,38,59,13,70,63,16,25,2,3,3,0,0
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau 's-Gravenzande De Kiem,1783::SB21,2691 GC,1545,825,4,1,0,0,0,734,96,0,0,0,0,0,0,830,198,55,154,157,52,68,12,60,35,20,9,2,0,2,0,1
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau 's-Gravenzande Wijkcentrum Larix,1783::SB22,2691 DE,1567,788,4,2,0,0,0,703,91,0,0,0,0,0,0,794,152,40,105,220,41,58,6,38,52,54,19,1,0,1,0,1
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau 's-Gravenzande De Kreek,1783::SB23,2691 CK,1545,780,1,3,0,0,1,698,85,0,0,0,0,0,0,784,207,49,146,172,23,71,15,36,20,22,13,1,1,1,1,2
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau 's-Gravenzande Wijkcentr. Kornalijn,1783::SB24,2691 TB,1460,672,2,1,0,0,0,609,66,0,0,0,0,0,0,675,120,42,106,161,27,81,15,38,35,21,13,1,0,7,0,5
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau 's-Gravenzande Sonnevanck,1783::SB25,2692 BS,1492,741,2,1,0,0,0,640,104,0,0,0,0,0,0,744,191,23,113,173,46,46,9,64,31,16,21,1,1,2,0,4
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau 's-Gravenzande Pr.W.Alexanderschool,1783::SB26,2694 BW,1502,742,2,1,0,0,0,637,108,0,0,0,0,0,0,745,235,30,97,171,26,54,14,47,23,18,23,0,0,1,0,3
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau 's-Gravenzande De Kameleon,1783::SB27,2691 LR,1438,611,2,0,0,0,0,522,91,0,0,0,0,0,0,613,159,10,116,186,19,31,3,32,17,21,13,0,2,0,0,2
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Monster Gemeentehuis,1783::SB28,2681 AP,1543,789,0,4,0,0,0,683,110,0,0,0,0,0,0,793,245,26,108,184,28,67,16,47,24,19,16,3,2,0,0,4
Dordrecht,Westland,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Monster De Jeugdhaven,1783::SB29,2681 LB,1657,643,2,1,0,2,0,569,79,0,0,0,2,0,0,648,165,19,121,112,32,48,4,56,48,21,13,1,0,1,0,2
