contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,Partij voor de Dieren,50PLUS,Lokale Partijen Gelderland-Code Oranje,Forum voor Democratie,DENK,JEZUS LEEFT
Arnhem,Apeldoorn,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Kavels en Panden,0200::SB1,7311 LJ,2161,963,6,3,0,0,1,911,60,0,0,0,0,0,972,176,66,113,35,59,82,46,8,93,72,27,13,169,3,1
Arnhem,Apeldoorn,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Kadaster,0200::SB2,7311 KZ,1278,903,1,5,0,0,0,842,67,0,0,0,0,0,909,124,60,92,59,62,104,58,9,111,36,45,16,111,16,0
Arnhem,Apeldoorn,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau De Oude Enk,0200::SB3,7311 CL,1986,1131,2,3,0,0,0,1058,78,0,0,0,0,0,1136,163,88,83,85,63,115,63,11,144,80,64,9,152,10,1
Arnhem,Apeldoorn,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Stationsrestauratie,0200::SB5,7311 NZ,1345,992,1,0,0,0,0,912,81,0,0,0,0,0,993,144,82,102,40,49,104,77,12,107,68,39,17,128,20,3
Arnhem,Apeldoorn,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Goede Herderkerk,0200::SB6,7312 CS,2082,1722,5,7,1,0,2,1590,143,0,0,1,0,0,1735,250,145,147,81,93,160,144,35,218,101,87,18,227,16,0
Arnhem,Apeldoorn,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau School Spitsbergen,0200::SB8,7312 KC,1734,356,2,1,0,0,0,332,27,0,0,0,0,0,359,29,24,29,25,25,30,28,9,39,12,15,6,49,36,0
Arnhem,Apeldoorn,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,"Stembureau Stembureau Zorggroep Apeldoorn, loc. Mandala",0200::SB9,7312 TV,1042,743,3,5,0,0,0,685,65,0,1,0,1,0,750,98,68,66,38,26,89,60,20,123,55,33,5,59,2,1
Arnhem,Apeldoorn,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Wijkcentrum Orca,0200::SB10,7312 JJ,1817,1162,5,4,0,4,0,1074,101,0,0,4,0,0,1175,75,62,63,78,117,115,60,23,120,82,75,20,165,107,0
Arnhem,Apeldoorn,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau PCBO-school De Wegwijzer,0200::SB11,7312 JR,1329,699,0,3,0,3,0,638,60,0,3,0,1,0,698,119,57,78,33,33,63,58,7,86,34,22,11,65,31,2
Arnhem,Apeldoorn,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau School Berg en Bos,0200::SB12,7313 EJ,1322,1212,4,2,0,0,0,1084,133,0,1,0,0,0,1217,472,99,127,8,25,44,59,20,92,50,22,8,186,0,0
Arnhem,Apeldoorn,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Adventkerk Apeldoorn,0200::SB13,7314 KR,2099,1261,6,5,0,0,1,1180,91,0,0,0,0,0,1272,254,117,127,34,49,116,75,37,158,77,59,15,141,0,2
Arnhem,Apeldoorn,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Woon- en Zorgcentrum De Loohof,0200::SB15,7314 GD,959,712,1,1,0,0,0,639,75,0,0,0,0,0,714,194,83,60,12,9,48,60,19,85,31,23,8,73,6,1
Arnhem,Apeldoorn,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Locatie Berkenhove (voorheen Spainkbos),0200::SB16,7314 AZ,1762,1289,4,6,0,8,0,1213,94,0,0,8,0,0,1307,200,127,167,45,39,128,99,28,193,67,48,16,125,3,4
