contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,ChristenUnie-SGP,Lokaal Brabant,Ouderen Appèl - Hart voor Brabant,Forum voor Democratie,DENK,Senioren Brabant,Code Oranje
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Gemeentehuis Bernheze, De Misse 6, Heesch",1721::SB1,5384 BZ,1369,931,2,2,0,0,1,833,101,0,0,0,0,0,935,140,137,141,65,83,47,60,49,15,8,39,1,139,4,3,0
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Zorgcentrum Heelwijk, Mozartlaan 2, Heesch",1721::SB2,5384 CG,1313,773,6,1,0,0,1,709,70,0,0,0,0,0,780,107,122,144,64,60,40,48,33,12,3,19,6,107,3,5,0
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Basisschool De Kiem, De Ploeg 101, Heesch",1721::SB3,5384 HL,1409,734,0,1,0,0,0,669,66,0,0,0,0,0,735,81,70,152,67,64,43,41,23,20,5,30,0,132,2,4,0
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Sporthal 't Vijfeiken, 't Vijfeiken 53, Heesch",1721::SB4,5384 ER,1594,836,2,4,0,0,0,756,86,0,0,0,0,0,842,124,134,122,75,65,45,58,32,19,5,26,1,117,0,8,5
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Het Hooghuis, Schoonstraat 34, Heesch",1721::SB5,5384 AP,1609,718,5,2,0,0,0,651,74,0,0,0,0,0,725,130,110,106,51,53,30,50,33,9,7,27,4,98,0,9,1
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Brandweerkazerne Heesch, De La Sallestraat 1, Heesch",1721::SB6,5384 NK,1482,986,5,4,0,0,0,881,114,0,0,0,0,0,995,228,204,104,51,88,36,68,14,23,4,23,1,134,1,7,0
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Gemeenschapshuis De Wis, Schaapsdijk 27, Loosbroek",1721::SB7,5472 PD,1515,781,1,1,0,0,0,693,90,0,0,0,0,0,783,121,293,63,37,68,34,26,18,10,6,18,2,81,0,4,0
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Cultureel Centrum Nesterlé, Parkstraat 2, Nistelrode",1721::SB8,5388 HS,1669,804,2,0,0,0,0,718,87,0,1,0,1,0,805,138,187,88,55,62,43,32,22,24,7,31,9,101,1,3,1
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Zorgcentrum Laarstede, Laar 40, Nistelrode",1721::SB9,5388 HH,1534,625,2,2,0,0,0,549,80,0,0,0,0,0,629,97,157,92,52,48,26,22,20,13,4,18,2,67,1,6,0
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Sporthal De Overbeek, De Hoef 23 a, Nistelrode",1721::SB10,5388 EL,1588,893,5,5,0,0,0,784,119,0,0,0,0,0,903,176,157,120,51,93,38,63,23,18,5,39,2,103,0,4,1
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Gemeenschapshuis De Stuik, Schoolstraat 14, Vorstenbosch",1721::SB11,5476 KK,1641,874,0,2,0,0,0,758,118,0,0,0,0,0,876,109,338,56,38,73,19,38,30,12,3,16,8,127,0,7,0
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Cultureel Centrum Servaes, Raadhuisplein 24, Heeswijk-Dinther",1721::SB12,5473 GC,1482,825,2,3,0,0,0,764,66,0,0,0,0,0,830,110,189,117,61,71,30,58,45,13,5,21,5,85,0,10,5
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Basisschool 't Palet, Steen- en Stokstraat 2, Heeswijk-Dinther",1721::SB13,5473 RN,1542,844,2,3,0,0,0,753,97,0,0,1,0,0,850,167,167,89,45,63,54,58,27,24,3,12,3,124,0,6,2
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Zorgcentrum Cunera/De Bongerd, Zijlstraat 1, Heeswijk-Dinther",1721::SB14,5473 CJ,1418,809,2,0,0,0,1,715,94,0,1,0,0,0,810,146,180,83,31,93,47,62,12,29,12,29,3,75,0,4,3
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Willibrordcentrum, Hoofdstraat 78, Heeswijk-Dinther",1721::SB15,5473 AS,1281,746,0,1,0,0,0,664,83,0,0,0,0,0,747,124,131,111,37,72,34,52,19,14,5,27,2,106,0,8,4
's-Hertogenbosch,Bernheze,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,"Stembureau Tennisvereniging De Hoef, De Hoef 6, Heesch",1721::SB16,5384 PS,1342,501,3,3,0,0,0,435,71,0,1,0,0,0,506,156,71,45,17,52,27,26,10,14,3,16,3,55,5,0,1
