contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,ChristenUnie-SGP,Lokaal Brabant,Ouderen Appèl - Hart voor Brabant,Forum voor Democratie,DENK,Senioren Brabant,Code Oranje
's-Hertogenbosch,Best,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Gemeentehuis,0753::SB1,5683 GA,2292,1549,4,5,0,1,1,1424,132,0,1,0,0,0,1557,251,255,113,117,149,79,87,91,61,43,36,21,208,14,19,5
's-Hertogenbosch,Best,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Kindcentrum De Kiezel,0753::SB2,5682 AC,2239,1356,2,2,0,0,1,1222,136,0,1,0,1,0,1359,272,214,100,65,163,72,89,66,29,26,30,15,198,1,12,4
's-Hertogenbosch,Best,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Bestwijzer,0753::SB3,5683 AB,2199,1104,4,4,0,0,0,1025,87,0,0,0,0,0,1112,147,165,114,71,91,64,92,107,35,33,14,14,126,5,22,4
's-Hertogenbosch,Best,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Gemeenschapshuis Vlinderhei buro A,0753::SB4,5685 GZ,2233,1500,5,4,0,0,0,1349,171,11,0,11,0,0,1520,388,128,95,49,203,97,93,71,37,57,34,12,201,12,21,2
's-Hertogenbosch,Best,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Brandweerkazerne,0753::SB5,5684 SB,2092,1101,1,3,0,1,3,987,116,0,0,1,0,0,1106,179,115,71,77,159,59,87,59,39,37,29,13,163,6,5,3
's-Hertogenbosch,Best,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Basisschool De Heydonck,0753::SB6,5684 CG,2222,745,1,1,0,0,0,665,82,0,0,0,0,0,747,115,59,69,54,78,52,51,55,21,26,10,10,117,22,4,2
's-Hertogenbosch,Best,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Gezondheidscentrum De Tambourije,0753::SB7,5684 DB,2099,986,2,5,0,0,0,883,110,0,0,0,0,0,993,223,153,54,51,109,54,78,44,25,23,14,4,134,6,8,6
's-Hertogenbosch,Best,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Sporthal Naestenbest,0753::SB8,5684 GJ,2408,1118,5,3,0,0,0,1018,108,0,0,0,0,0,1126,123,94,111,138,107,59,93,63,37,32,18,6,183,42,10,2
's-Hertogenbosch,Best,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Protestantse Kerk,0753::SB9,5684 VR,2371,1479,5,4,0,0,2,1354,132,0,0,0,0,0,1488,168,128,157,154,119,98,92,108,54,57,31,17,254,20,18,4
's-Hertogenbosch,Best,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Gemeenschapshuis Vlinderhei buro B,0753::SB10,5685 GZ,2456,1466,3,1,0,0,0,1308,162,0,0,0,0,0,1470,341,136,99,65,229,60,94,58,53,55,39,6,211,4,13,3
