contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Sterk Lokaal,Forum voor Democratie,Partij voor de Dieren,Onafhankelijke Partij Drenthe,DENK,Staatkundig Gereformeerde Partij (SGP),Senioren Belang
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Gemeentehuis Exloo,1681::SB1,7875 AD,1448,1013,4,1,0,0,0,932,86,0,0,0,0,0,1018,182,184,67,44,45,69,21,86,47,68,135,43,11,0,2,9
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau De Paasbergen Odoorn,1681::SB2,7873 BE,1559,1023,1,2,0,0,0,948,78,0,0,0,0,0,1026,206,191,88,59,46,68,26,68,33,86,95,28,11,2,3,13
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Ons Dorpshuis Valthe,1681::SB3,7872 PL,1013,693,5,0,0,0,0,639,59,0,0,0,0,0,698,85,127,47,37,61,34,28,54,24,41,108,22,14,0,6,5
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Dorpshuis ""Oes Hokkie""",1681::SB4,7871 PA,617,374,0,0,0,0,0,340,34,0,0,0,0,0,374,37,63,22,14,36,15,7,45,11,32,61,19,7,0,2,3
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis Odoornerveen,1681::SB5,7874 TD,468,268,2,0,0,0,3,251,16,0,0,0,0,0,270,68,25,42,16,9,16,2,27,9,14,22,15,2,0,0,1
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Buurthuis de Badde,1681::SB6,9573 PC,343,211,0,1,0,0,0,190,22,0,0,0,0,0,212,15,13,30,11,27,4,15,14,5,26,33,6,3,0,6,3
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Spa Horeca-Centrum 2e Exloërmond,1681::SB7,9571 BM,868,381,0,1,0,0,0,338,44,0,0,0,0,0,382,21,40,30,27,45,7,40,9,7,39,82,14,8,2,8,2
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Hunsow-hal 2e Exloërmond,1681::SB8,9571 BB,1024,671,1,3,0,0,0,630,45,0,0,0,0,0,675,42,120,41,42,107,9,62,22,22,72,102,12,1,0,13,4
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau De Wenakker Valthermond,1681::SB9,7876 HS,1388,470,0,0,0,1,0,423,48,0,0,1,0,0,471,34,37,53,29,80,18,33,15,15,47,85,8,6,0,3,7
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau MFA  Brughuus Valthermond,1681::SB11,7876 GJ,1445,901,4,2,0,1,0,824,82,0,1,0,0,0,906,69,101,90,70,149,20,60,36,34,66,147,35,7,1,4,12
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Ontmoetingscentrum 't Anker,1681::SB13,9531 AA,1439,595,3,1,0,0,0,553,46,0,0,0,0,0,599,115,99,71,38,9,36,25,58,22,30,55,24,10,0,1,2
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau MFA het Hunzehuys,1681::SB14,9531 CH,1333,1202,2,2,0,0,0,1114,92,0,0,0,0,0,1206,155,215,127,69,47,76,48,101,46,93,136,63,10,0,4,12
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Borgerhof Borger,1681::SB15,9531 RA,1129,710,2,0,0,0,0,668,44,0,0,0,0,0,712,108,149,63,48,49,33,20,48,22,53,75,29,6,0,3,4
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau H.R.Hartlief Buinen (El Zorro),1681::SB16,9528 PC,656,382,0,0,0,1,0,354,29,0,0,1,0,0,383,70,46,27,19,21,23,9,34,21,29,43,28,7,0,4,1
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis Mr Hekmanhoes Drouwen,1681::SB17,9533 PL,604,324,1,0,0,0,0,291,34,0,0,0,0,0,325,87,32,12,16,14,18,9,37,6,24,28,32,8,1,0,0
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis Mandielig Hoes Ees,1681::SB18,9536 PN,553,339,1,0,0,0,0,312,28,0,0,0,0,0,340,61,25,61,10,9,15,18,31,8,17,43,29,7,1,3,1
,Borger-Odoorn,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau De Viersprong Buinerveen,1681::SB19,9524 PA,866,436,0,1,0,0,0,402,35,0,0,0,0,0,437,48,51,28,27,41,27,17,25,25,38,63,27,14,0,1,4
