contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ChristenUnie,Partij voor Zeeland (PVZ),GROENLINKS,50PLUS,DENK,Partij voor de Dieren,Forum voor Democratie
,Borsele,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Heinkenszand, trouwzaal",0654::SB1,4451 KB,1257,815,1,0,0,0,0,745,71,0,0,0,0,0,816,218,86,6,37,38,82,46,26,57,54,53,0,22,90
,Borsele,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Heinkenszand, raadzaal",0654::SB2,4451 KB,1499,902,1,0,0,0,0,801,102,0,0,0,0,0,903,235,107,8,38,40,88,62,20,69,49,41,1,22,122
,Borsele,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Heinkenszand, Dijkstede",0654::SB3,4451 LA,1627,846,0,1,0,0,1,773,73,0,0,0,0,0,847,241,117,11,35,45,65,59,31,63,32,39,0,18,90
,Borsele,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Lewedorp,0654::SB5,4456 AL,1364,807,1,0,0,0,0,724,84,0,0,0,0,0,808,221,63,56,44,63,76,14,10,63,19,41,0,18,119
,Borsele,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Nieuwdorp,0654::SB6,4455 TL,918,558,2,0,0,0,0,502,58,0,0,0,0,0,560,76,24,172,9,42,32,12,35,53,15,20,0,7,61
,Borsele,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau 's-Heerenhoek,0654::SB7,4453 BE,1514,843,1,1,0,0,1,745,99,0,0,0,0,0,845,253,83,7,22,76,95,23,12,65,23,54,0,17,113
,Borsele,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Borssele,0654::SB8,4454 AS,988,700,0,2,0,0,0,625,77,0,0,0,0,0,702,38,20,397,15,27,26,12,19,23,17,23,0,28,55
,Borsele,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Driewegen,0654::SB9,4438 AH,439,257,1,0,0,0,0,229,29,0,0,0,0,0,258,52,23,4,12,13,11,13,16,25,24,16,0,17,31
,Borsele,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Ellewoutsdijk,0654::SB10,4437 AE,304,182,0,1,0,0,0,168,15,0,0,0,0,0,183,24,17,4,19,10,16,8,6,25,11,9,0,12,21
,Borsele,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Ovezande,0654::SB11,4441 AE,927,571,3,0,0,0,0,513,61,0,0,0,0,0,574,196,50,7,24,35,47,13,9,45,52,15,1,29,48
