contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,ChristenUnie-SGP,Lokaal Brabant,Ouderen Appèl - Hart voor Brabant,Forum voor Democratie,DENK,Senioren Brabant,Code Oranje
's-Hertogenbosch,Boxtel,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Gemeentehuis Boxtel,0757::SB1,5281 AT,1347,1134,4,1,0,0,2,1019,118,0,0,0,0,0,1139,204,192,118,53,125,95,108,33,35,14,16,4,129,1,7,0
's-Hertogenbosch,Boxtel,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Wereldhuis,0757::SB2,5281 AB,2117,860,0,0,0,1,2,775,84,0,0,1,0,0,861,163,166,71,33,94,60,73,37,30,6,12,7,95,4,7,2
's-Hertogenbosch,Boxtel,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Stembureau WSD Station,0757::SB3,5281 GH,1513,717,3,2,0,0,0,671,51,0,0,0,0,0,722,72,64,117,58,65,48,85,32,37,5,15,3,109,2,3,2
's-Hertogenbosch,Boxtel,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Ursulagebouw,0757::SB4,5281 HV,1142,584,0,2,0,0,0,530,56,0,0,0,0,0,586,82,65,70,30,60,47,65,21,32,11,8,3,78,5,5,2
's-Hertogenbosch,Boxtel,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Woon-zorgcentrum Simeonshof,0757::SB5,5282 PA,1477,703,6,3,0,0,0,651,61,0,0,0,0,0,712,80,101,116,62,70,45,62,35,22,8,8,6,79,1,7,1
's-Hertogenbosch,Boxtel,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Gemeenschapshuis De Walnoot,0757::SB6,5282 GC,1755,917,3,4,0,0,0,828,96,0,0,0,0,0,924,92,116,113,71,72,76,80,35,46,6,17,2,118,61,10,2
's-Hertogenbosch,Boxtel,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Gemeenschapshuis De Rots,0757::SB7,5283 CA,2021,983,4,7,0,1,1,910,84,0,0,1,0,0,995,111,99,139,93,75,85,95,40,36,12,15,5,153,14,7,4
's-Hertogenbosch,Boxtel,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Basisschool De Vorsenpoel,0757::SB8,5283 CV,1762,744,1,1,0,3,0,673,79,0,0,6,0,3,752,118,103,82,48,97,50,87,26,18,8,13,2,73,6,9,4
's-Hertogenbosch,Boxtel,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Brede School De Wilgenbroek,0757::SB9,5283 EE,1644,807,0,3,0,0,0,723,87,0,0,0,0,0,810,93,91,113,60,97,75,91,20,32,4,21,3,100,2,5,0
's-Hertogenbosch,Boxtel,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Basisschool De Beemden,0757::SB10,5283 KG,1759,1109,6,5,0,6,0,1013,113,0,0,6,0,0,1126,139,111,152,84,132,81,123,44,31,8,21,6,170,1,1,5
