contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,Partij voor de Dieren,50PLUS,Lokale Partijen Gelderland-Code Oranje,Forum voor Democratie,DENK,JEZUS LEEFT
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Gemeentehuis,1876::SB1,,1451,958,3,2,0,1,0,867,97,0,0,1,0,0,964,188,189,58,61,39,78,25,4,93,31,35,29,127,0,1
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Sporthal De Kamp / Hengelo Gld,1876::SB2,,1611,847,1,3,0,0,1,796,54,0,0,0,0,0,851,169,172,37,50,41,67,9,5,47,13,38,18,177,0,4
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Ons Huis / Hengelo Gld,1876::SB3,,1401,861,2,2,0,0,0,803,62,0,0,0,0,0,865,153,175,42,66,61,78,25,4,55,14,30,18,137,1,2
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Dorpshuis De Horst / Keijenborg,1876::SB4,,1455,847,2,0,0,0,0,777,72,0,0,0,0,0,849,141,246,36,70,47,40,6,4,54,24,36,20,121,1,1
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Dorpshuis Varssel,1876::SB5,,653,384,0,0,0,0,0,342,42,0,0,0,0,0,384,75,89,22,12,18,27,16,6,26,17,13,10,53,0,0
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Cult.Centrum De Brink / Zelhem,1876::SB6,,1492,896,5,3,0,0,0,811,93,0,0,0,0,0,904,201,119,61,44,46,87,58,40,59,20,25,22,112,0,2
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Oranjehof,1876::SB7,,1473,716,2,0,0,0,1,664,53,0,0,0,0,0,718,117,126,47,39,47,75,37,29,32,20,34,15,96,2,0
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Dorphuis D'n Draejer / Zelhem,1876::SB8,,927,553,2,7,0,0,0,504,58,0,0,0,0,0,562,98,123,24,24,24,35,26,28,28,17,20,19,85,2,0
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau ARX theater / Zelhem,1876::SB9,,646,309,1,0,0,0,0,272,38,0,0,0,0,0,310,69,53,9,12,15,17,15,7,24,22,9,4,53,0,0
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Heidehuus,1876::SB10,,484,323,0,0,0,0,1,289,33,0,0,0,0,0,323,38,80,11,16,17,42,15,2,26,13,8,7,46,2,0
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Cafe-Restaurant Nijhof / Halle,1876::SB11,,1157,666,2,0,0,1,0,601,66,0,1,0,0,0,667,125,130,37,35,38,52,24,4,28,30,30,14,119,0,0
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau De Zonnekamp,1876::SB12,,1354,783,4,2,0,0,0,729,60,0,0,0,0,0,789,118,138,40,52,53,106,42,15,41,22,48,17,88,3,0
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Basisschool de Meene,1876::SB13,,1352,742,2,3,0,0,0,696,51,0,0,0,0,0,747,128,120,41,48,36,88,39,12,64,20,38,17,85,6,0
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Kulturhus Vorden,1876::SB14,,1509,1232,1,1,0,2,0,1127,109,0,0,2,0,0,1236,208,191,89,76,49,140,37,6,145,60,68,28,132,2,1
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Basisschool de Hooge Voorde,1876::SB15,,1450,753,4,0,0,0,0,694,63,0,0,0,0,0,757,152,114,44,41,51,59,34,0,81,34,29,9,104,1,0
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Old Vorden Huus,1876::SB16,,1612,1038,2,4,0,3,0,977,70,0,0,3,0,0,1047,213,183,59,66,27,122,33,6,125,27,33,9,134,0,1
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Bassischool De Kraanvogel / Vorden,1876::SB17,,1024,587,0,3,0,1,0,523,68,0,0,1,0,0,591,135,128,40,20,21,32,21,2,51,25,23,2,86,1,0
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Basisshool de Garve / Wichmond,1876::SB18,,1076,719,1,2,0,0,0,651,71,0,0,0,0,0,722,196,160,39,40,12,41,29,1,71,35,20,11,64,0,0
Arnhem,Bronckhorst,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,"Stembureau Sportcafe ""Het Hooge Wessel"" / Steenderen",1876::SB19,,982,662,3,3,0,0,0,609,59,0,0,0,0,0,668,114,92,38,46,35,78,14,5,86,30,23,14,86,0,1
