contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,Partij voor de Dieren,50PLUS,Lokale Partijen Gelderland-Code Oranje,Forum voor Democratie,DENK,JEZUS LEEFT
Arnhem,Brummen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Gemeentehuis,0213::SB1,6971 BV,1531,1027,2,1,0,1,0,947,84,0,0,1,0,0,1031,188,135,86,56,38,110,25,6,158,42,32,23,127,0,1
Arnhem,Brummen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Woonzorgcentrum Tolzicht,0213::SB2,6971 CC,1353,728,7,2,0,0,0,684,53,0,0,0,0,0,737,116,75,54,41,34,99,19,3,125,26,24,9,103,0,0
Arnhem,Brummen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,"Stembureau Seniorencomplex ""de Molenhorst""",0213::SB3,6971 CV,1336,679,6,5,0,0,0,642,48,0,0,0,0,0,690,75,57,51,55,64,82,16,0,88,28,37,13,112,1,0
Arnhem,Brummen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Kindcentrum Het P@rk,0213::SB4,6971 CN,1108,759,5,0,0,2,0,709,53,0,2,0,0,0,762,96,50,44,64,66,97,20,5,115,36,34,8,112,10,2
Arnhem,Brummen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Het Buurthuis Leuvenheim,0213::SB5,6974 AH,560,368,1,0,0,0,0,337,32,0,0,0,0,0,369,48,35,23,18,26,29,16,3,65,40,14,4,47,0,0
Arnhem,Brummen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,"Stembureau Buitengewoon Kinderopvang, Oeken",0213::SB6,6971 KC,455,344,0,0,0,0,0,314,30,0,0,0,0,0,344,71,22,26,15,13,26,20,16,71,17,4,8,34,1,0
Arnhem,Brummen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,"Stembureau Basisschool J.H. Isings, Empe",0213::SB7,7399 AG,722,471,4,0,0,0,0,429,46,0,0,0,0,0,475,99,63,46,16,32,24,28,4,57,17,19,8,58,0,0
Arnhem,Brummen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,"Stembureau Gemeenschapshuis De Wheme, Hall",0213::SB8,6964 AA,764,468,1,0,0,4,0,432,41,0,0,4,0,0,473,87,70,29,25,22,49,19,11,58,27,13,4,54,0,0
Arnhem,Brummen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,"Stembureau Woonzorgcentrum De Beekwal, Eerbeek",0213::SB9,6961 DZ,1473,809,3,3,0,1,0,728,86,0,1,0,0,0,814,153,94,43,57,43,104,26,6,79,21,43,7,103,30,0
Arnhem,Brummen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Bibliotheek Eerbeek,0213::SB10,6961 EA,1438,719,4,3,0,0,4,666,56,0,0,0,0,0,726,119,64,52,30,53,74,25,0,87,43,29,10,110,23,0
Arnhem,Brummen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Pater Dekkerhuis,0213::SB11,6961 XL,873,483,2,4,0,1,0,457,31,0,1,0,0,0,488,61,41,15,35,45,67,11,0,39,14,36,10,83,24,2
Arnhem,Brummen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Servicepunt Eerbeek,0213::SB12,6961 CW,1499,734,5,6,0,0,0,692,53,0,0,0,0,0,745,101,65,29,76,55,94,29,1,76,29,36,9,122,10,2
Arnhem,Brummen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Rode Kruis Gebouw,0213::SB13,6961 AB,1643,872,3,4,0,0,0,804,75,0,0,0,0,0,879,140,69,46,63,53,117,35,3,75,26,73,19,138,15,0
Arnhem,Brummen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Scholencluster H.A. Lorenzstraat 1-3,0213::SB14,6961 XB,969,489,2,0,0,0,0,463,28,0,0,0,0,0,491,65,67,12,40,36,52,22,2,43,9,29,9,86,17,0
Arnhem,Brummen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Verrij Wonen,0213::SB15,6971 GW,1070,575,1,0,0,0,0,533,43,0,0,0,0,0,576,83,51,37,28,48,60,21,4,72,36,29,13,91,1,1
