contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,ChristenUnie-SGP,Lokaal Brabant,Ouderen Appèl - Hart voor Brabant,Forum voor Democratie,DENK,Senioren Brabant,Code Oranje
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Gemeentehuis,1684::SB1,5431 BV,1205,1033,5,4,0,0,0,948,94,0,0,0,0,0,1042,172,134,109,51,84,89,130,34,52,6,21,9,125,11,5,1
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Ontmoetingscentrum 't Fort,1684::SB2,5431 MC,1413,558,1,4,0,0,0,523,40,0,0,0,0,0,563,66,97,71,36,41,51,56,27,16,0,16,2,67,4,8,0
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau 't Akkertje,1684::SB3,5434 PA,1063,550,3,4,0,0,0,500,58,0,0,1,0,1,558,82,112,49,31,30,29,31,22,9,3,51,5,85,0,10,1
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Café van Kempen,1684::SB4,5433 KA,333,240,0,0,0,0,0,221,19,0,0,0,0,0,240,37,53,27,16,27,22,10,4,7,1,4,1,30,0,0,1
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau De Agaat,1684::SB5,5435 XJ,405,257,1,0,0,0,0,234,24,0,0,0,0,0,258,40,63,17,14,19,14,28,7,10,2,15,1,27,0,0,0
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau MFA De Valuwe,1684::SB6,5431 AV,1105,630,1,2,0,0,1,576,56,0,0,0,0,0,633,34,69,86,67,16,56,53,25,15,8,28,5,76,88,4,0
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau OSB 't Startblok,1684::SB7,5431 ZR,1225,362,2,3,0,0,1,338,28,0,0,0,0,0,367,22,43,48,27,17,36,27,11,5,1,13,0,47,56,8,1
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Het Doehuis,1684::SB8,5431 JR,1483,790,4,4,0,0,0,745,53,0,0,0,0,0,798,59,75,139,66,41,61,97,24,48,5,38,5,112,7,11,2
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau IKC Dassenburcht,1684::SB9,5431 KJ,1277,660,1,0,0,0,0,578,83,0,0,0,0,0,661,79,60,95,31,51,60,77,11,43,4,38,5,88,9,8,1
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau De Nielt,1684::SB10,5432 DW,1765,945,7,1,0,0,0,879,74,0,0,0,0,0,953,148,103,107,48,102,95,83,28,21,7,36,7,143,13,4,0
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau basisschool De Waai (bureau 1),1684::SB11,5432 DH,1726,771,1,1,0,0,0,697,76,0,0,0,0,0,773,138,80,73,47,72,73,80,17,24,3,40,3,103,13,1,4
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau sporthal De Kloosterhof,1684::SB12,5437 AS,1378,810,1,2,0,0,0,736,77,0,0,0,0,0,813,85,269,61,29,38,42,34,21,21,11,99,4,93,0,3,0
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau De Burcht,1684::SB13,5439 ND,222,180,2,1,0,0,1,159,23,0,0,0,0,0,183,31,23,7,13,16,15,18,0,6,1,18,0,31,0,1,0
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau sporthal De Stappert (bureau 1),1684::SB14,5443 BE,1149,745,3,1,0,0,0,677,70,0,2,0,2,0,747,110,182,79,46,40,37,29,37,23,2,48,3,105,0,4,0
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Hof van Cuijk,1684::SB15,5431 EZ,1038,540,1,2,0,0,0,494,49,0,0,0,0,0,543,84,115,85,29,37,45,40,13,12,8,21,3,42,0,6,0
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau basisschool De Waai (bureau 2),1684::SB16,5432 DH,1583,678,3,2,0,0,0,622,62,1,0,1,0,0,684,143,54,70,47,58,69,48,20,19,1,24,2,103,10,8,2
's-Hertogenbosch,Cuijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau sporthal De Stappert (bureau 2),1684::SB17,5443 BE,1145,573,1,0,0,1,0,523,52,0,0,1,0,0,575,96,131,63,27,25,27,32,14,14,6,46,3,82,0,6,1
