contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),FNP,PVV (Partij voor de Vrijheid),ChristenUnie,Democraten 66 (D66),GROENLINKS,Partij voor de Dieren,50PLUS,Provinciaal Belang Fryslân,Natuurlijk Fryslân,DENK,Staatkundig Gereformeerde Partij (SGP),Forum voor Democratie
,Dantumadiel,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Gemeentehuis,1891::SB1,9104 BR,1222,1062,2,1,0,1,2,957,107,0,0,1,0,0,1066,282,56,45,31,95,69,169,19,36,15,6,9,3,0,62,165
,Dantumadiel,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Gebouw Irene,1891::SB2,9104 GK,1707,822,0,2,0,0,0,735,89,0,0,0,0,0,824,215,40,24,22,65,42,131,18,32,18,11,10,1,0,77,116
,Dantumadiel,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis De Nije Warf,1891::SB3,9113 PA,1461,938,0,1,0,0,0,830,109,0,0,0,0,0,939,222,38,39,32,61,42,159,16,17,14,10,3,0,0,170,115
,Dantumadiel,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Nij Tjaerda,1891::SB4,9104 KA,1479,865,1,0,0,0,2,758,106,0,0,0,0,0,866,153,68,19,59,76,88,111,8,21,5,9,15,9,1,66,157
,Dantumadiel,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau MFC  De Beijer,1891::SB5,9105 KG,909,530,0,0,0,0,0,469,61,0,0,0,0,0,530,182,24,19,15,72,18,60,9,17,13,6,7,4,0,9,75
,Dantumadiel,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Herberge De Trochreed,1891::SB6,9067 DM,149,128,0,0,0,0,0,112,16,0,0,0,0,0,128,34,8,9,5,12,5,4,8,11,3,4,6,1,0,0,18
,Dantumadiel,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis  De Pipegael,1891::SB7,9108 NE,1107,680,1,1,0,0,0,627,55,0,0,0,0,0,682,218,25,23,10,56,36,95,14,17,5,8,12,4,0,41,116
,Dantumadiel,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Kerkelijk Centrum De Mienskip,1891::SB8,9269 SW,1489,841,1,0,0,0,1,782,59,0,0,0,0,0,842,124,113,34,47,98,71,68,21,60,12,18,16,6,0,23,130
,Dantumadiel,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Zorgcentrum Talma Hoeve,1891::SB9,9269 VS,1360,908,1,0,0,0,2,828,79,0,0,0,0,0,909,193,110,73,32,94,38,61,42,85,24,23,11,7,0,17,98
,Dantumadiel,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Zorgcentrum Brugchelencamp,1891::SB10,9271 EP,1343,684,1,2,0,0,0,612,75,0,0,0,0,0,687,65,86,18,47,77,80,85,15,18,12,19,5,3,0,40,114
,Dantumadiel,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Lokaal Chr.Geref. kerk,1891::SB11,9271 CH,1546,741,0,5,0,0,0,658,88,0,0,0,0,0,746,68,87,26,36,76,106,80,10,25,11,7,14,6,0,22,167
,Dantumadiel,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Lokaal De Ferbiningstsjerke,1891::SB12,9271 BP,1133,661,1,0,0,0,0,576,86,0,0,0,0,0,662,122,54,23,38,55,90,77,5,21,10,8,9,1,0,35,113
