contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,ChristenUnie-SGP,Lokaal Brabant,Ouderen Appèl - Hart voor Brabant,Forum voor Democratie,DENK,Senioren Brabant,Code Oranje
's-Hertogenbosch,Geldrop-Mierlo,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau SCC Hofdael,1771::SB1,5664 HV,1644,835,1,1,0,0,2,764,71,0,0,0,0,0,837,118,148,76,57,61,47,75,56,45,9,18,13,93,8,10,1
's-Hertogenbosch,Geldrop-Mierlo,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Basisschool Dommeldal,1771::SB2,5662 HK,1330,853,5,2,0,0,0,750,110,0,0,0,0,0,860,115,95,78,41,117,49,128,34,44,9,28,7,98,2,6,2
's-Hertogenbosch,Geldrop-Mierlo,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Basisschool Dommeldal,1771::SB3,5662 HK,1550,651,0,1,0,0,1,578,72,0,1,0,0,0,651,89,62,74,33,81,52,83,23,31,10,16,1,90,0,4,2
's-Hertogenbosch,Geldrop-Mierlo,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Eenbes Basisschool St. Jozef,1771::SB4,5663 AH,1546,811,3,1,0,0,0,736,82,3,0,3,0,0,818,156,107,67,33,85,87,69,27,39,20,12,5,94,3,4,3
's-Hertogenbosch,Geldrop-Mierlo,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Gemeenschapshuis Zesgehuchten,1771::SB5,5663 AC,1504,1108,5,2,0,0,0,1018,97,0,0,0,0,0,1115,152,142,85,45,140,75,164,71,57,24,22,7,121,0,3,0
's-Hertogenbosch,Geldrop-Mierlo,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Basisschool De Ganzebloem,1771::SB6,5663 SK,1353,927,1,0,0,0,0,841,87,0,0,0,0,0,928,174,116,59,44,119,68,101,28,39,7,23,2,136,1,6,4
's-Hertogenbosch,Geldrop-Mierlo,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Basisschool De Ganzebloem,1771::SB7,5663 SK,1343,720,2,0,0,0,0,639,81,0,2,0,2,0,720,114,83,43,60,80,60,82,28,27,6,23,4,107,0,3,0
's-Hertogenbosch,Geldrop-Mierlo,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Kastanjehof,1771::SB8,5664 RS,1742,908,3,1,0,0,1,836,75,0,0,0,0,0,912,106,132,92,85,58,64,59,46,41,9,26,14,153,0,21,2
's-Hertogenbosch,Geldrop-Mierlo,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Wijkcentrum de Dreef,1771::SB9,5665 VA,1401,877,7,2,0,0,0,804,82,0,0,0,0,0,886,52,61,96,126,47,63,95,57,50,16,30,4,152,19,9,0
's-Hertogenbosch,Geldrop-Mierlo,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Nuts Basisschool de Regenboog,1771::SB10,5665 VS,1447,630,4,0,0,0,0,577,58,1,0,1,0,0,635,56,72,64,53,36,38,75,36,41,12,15,4,105,15,8,0
's-Hertogenbosch,Geldrop-Mierlo,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Maison St. Cyr,1771::SB11,5665 SK,1329,590,2,0,0,0,0,548,44,0,0,0,0,0,592,36,49,76,70,40,52,45,60,19,8,15,6,99,6,9,0
