contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),FNP,PVV (Partij voor de Vrijheid),ChristenUnie,Democraten 66 (D66),GROENLINKS,Partij voor de Dieren,50PLUS,Provinciaal Belang Fryslân,Natuurlijk Fryslân,DENK,Staatkundig Gereformeerde Partij (SGP),Forum voor Democratie
,Harlingen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Gemeentehuis 'De Groenlandsvaarder',0072::SB1,8861 BD,1309,763,1,1,0,0,0,681,84,0,0,0,0,0,765,80,131,120,26,19,25,29,36,61,57,35,13,8,0,2,121
,Harlingen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau R.K. Basisschool Sint Michaëlschool,0072::SB2,8861 CV,1512,948,2,2,0,0,0,893,59,0,0,0,0,0,952,123,121,127,49,40,40,37,45,83,41,29,23,12,0,6,172
,Harlingen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Scholengemeenschap Simon Vestdijk,0072::SB3,8862 TA,1305,555,1,0,0,0,1,519,36,0,0,0,0,0,556,56,83,49,53,12,54,18,25,53,42,26,8,5,0,5,66
,Harlingen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau MFC Het Vierkant,0072::SB4,8862 BB,1714,964,2,6,0,0,1,880,91,0,0,0,0,0,972,150,140,72,60,27,85,37,13,74,24,35,25,18,1,4,199
,Harlingen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau CBS Prins Johan Friso,0072::SB5,8862 ZA,1662,899,3,2,0,0,0,811,94,0,0,1,0,0,905,141,127,54,49,36,67,60,24,58,36,28,23,6,0,5,185
,Harlingen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis De Spil,0072::SB6,8872 NR,505,290,0,0,0,0,0,272,18,0,0,0,0,0,290,38,51,26,18,15,10,7,11,31,10,9,10,0,0,2,52
,Harlingen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wooncentrum Almenum,0072::SB7,8861 JH,1675,925,5,2,0,0,1,857,74,0,0,0,0,0,932,180,147,103,54,32,33,51,23,65,34,37,22,11,0,8,125
,Harlingen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau MCL-Harlingen/De Batting (De Haven),0072::SB8,8862 AJ,1127,701,1,2,0,0,0,628,76,0,0,0,0,0,704,118,114,101,19,20,41,42,21,19,30,28,9,10,2,4,123
,Harlingen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis De Bijekoer,0072::SB9,8857 BT,373,224,0,2,0,0,0,213,13,0,0,0,0,0,226,21,51,15,25,21,8,9,2,9,18,3,4,3,0,1,34
,Harlingen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau OBS Noorderlicht,0072::SB10,8862 WC,1167,576,1,1,0,0,0,515,63,0,0,0,0,0,578,62,85,74,33,16,54,23,19,39,17,16,14,7,0,2,115
,Harlingen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Stationsrestauratie Harlingen,0072::SB11,8861 GA,1,179,0,0,0,0,0,166,13,0,0,0,0,0,179,23,30,14,10,3,7,6,8,24,9,1,8,2,0,0,34
,Harlingen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Noorderbreedte/ De Spiker,0072::SB12,8861 VD,39,75,1,1,0,0,0,74,3,0,0,0,0,0,77,20,19,5,7,5,0,2,1,5,1,3,0,0,0,0,7
