contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,GROENLINKS,Partij voor de Dieren,50PLUS,DENK,NIDA,Code Oranje,Forum voor Democratie,Lokale Partijen Zuid Holland (LPZH),JEZUS LEEFT
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gemeentehuis,0531::SB1,3342 AE,1803,979,1,1,0,0,2,859,120,0,0,0,0,0,981,133,89,39,66,46,28,166,99,53,18,31,9,0,5,179,17,1
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Emmastaete,0531::SB2,3341 XD,1277,764,4,1,0,0,0,674,95,0,0,0,0,0,769,92,46,36,63,25,23,226,71,22,10,30,2,0,3,89,25,1
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau OBS De Bron,0531::SB3,3342 TA,1662,966,2,4,0,0,0,867,105,0,0,0,0,0,972,115,52,55,60,49,47,207,98,41,29,31,6,1,5,157,11,2
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau St. Hervormde Jeugdfederatie,0531::SB4,3341 TS,825,492,2,1,0,0,0,447,48,0,0,0,0,0,495,46,37,17,73,31,10,87,51,14,19,16,2,0,1,84,4,0
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Willem de Zwijgerschool,0531::SB5,3341 CE,1237,819,1,0,0,0,0,708,112,0,0,0,0,0,820,51,39,27,42,25,26,365,66,21,18,17,6,0,3,103,8,2
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wielstaete,0531::SB6,3341 SP,1146,634,0,1,0,0,0,560,75,0,0,0,0,0,635,55,59,15,40,51,29,170,37,17,18,27,6,0,1,91,18,0
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gereformeerde Kerk Open Hof,0531::SB7,3342 BS,1556,845,2,1,0,3,0,768,83,0,0,3,0,0,851,99,32,36,85,45,28,199,92,37,20,34,5,0,5,117,10,1
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau OBS De Bron,0531::SB8,3343 CB,2397,1290,1,6,0,0,0,1153,144,0,0,0,0,0,1297,180,100,88,75,106,67,62,91,73,48,84,6,3,4,277,26,0
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Sporthal De Ridderhal,0531::SB10,3341 BE,1228,721,4,1,0,2,0,625,103,0,0,2,0,0,728,122,46,46,46,38,15,70,66,37,25,29,0,4,1,153,21,2
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wooncomplex De Kruidhof,0531::SB11,3343 BX,1473,851,0,2,0,0,1,753,99,0,0,0,0,0,853,94,75,51,71,52,48,80,72,35,30,51,1,0,5,164,20,2
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Postduivenvereniging De Luchtbode,0531::SB12,3343 LG,869,635,1,3,0,0,1,570,68,0,0,0,0,0,639,115,44,32,32,39,18,104,66,17,13,32,0,0,1,112,7,3
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wijkgemeente De Ark,0531::SB13,3344 RP,1003,600,0,2,0,1,1,528,74,0,0,1,0,0,603,129,51,28,38,16,13,87,65,22,9,9,5,2,0,119,7,0
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Flatgebouw Zalmhaven,0531::SB14,3344 HD,1552,306,0,1,0,0,0,289,18,0,0,0,0,0,307,60,11,21,37,19,14,41,20,4,4,20,5,0,1,47,2,0
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Zorgorganisatie De Blije Borgh,0531::SB15,3341 GD,993,616,2,0,0,0,0,542,76,0,0,0,0,0,618,87,39,35,50,34,10,126,66,20,12,21,0,0,4,102,9,1
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Sporthal De Sophiahal,0531::SB16,3344 PL,2141,1949,8,0,0,0,3,1683,272,1,0,1,0,0,1958,440,127,123,118,132,63,128,153,87,49,75,19,8,9,392,26,0
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Sophiastaete,0531::SB17,3344 PK,1228,875,4,4,0,0,1,774,108,0,0,0,0,0,883,173,33,59,74,41,26,82,73,51,25,29,4,1,4,177,22,1
Dordrecht,Hendrik-Ido-Ambacht,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Yulius - De Volgerlanden,0531::SB18,3344 DD,608,389,1,3,0,0,0,341,52,0,0,0,0,0,393,73,27,23,21,20,18,41,34,14,18,13,1,0,3,79,3,1
