contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,ChristenUnie-SGP,Lokaal Brabant,Ouderen Appèl - Hart voor Brabant,Forum voor Democratie,DENK,Senioren Brabant,Code Oranje
Tilburg,Hilvarenbeek,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Gemeentehuis,0798::SB1,5081 CA,1137,927,4,2,0,0,1,841,91,0,0,0,0,0,933,213,129,82,47,96,64,91,22,39,9,22,6,91,0,15,1
Tilburg,Hilvarenbeek,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Hotel Brabant Hilvarenbeek,0798::SB2,5081 AG,1032,557,0,4,0,0,0,520,41,0,0,0,0,0,561,144,64,43,39,52,43,37,18,19,4,9,5,74,1,5,0
Tilburg,Hilvarenbeek,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Zorgcentrum De Clossenborch,0798::SB3,5081 JV,1173,637,3,2,0,1,0,583,58,0,1,0,0,0,641,134,134,61,33,59,34,37,29,30,7,7,1,64,0,7,0
Tilburg,Hilvarenbeek,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Cafe-Zaal Schuttershof Esbeek,0798::SB4,5085 EG,975,523,0,2,0,0,0,471,54,0,0,0,0,0,525,101,152,30,11,30,33,42,19,25,3,18,4,49,0,3,3
Tilburg,Hilvarenbeek,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Coöperatie Biest-Houtakker u.a.,0798::SB5,5084 HG,821,494,0,2,0,0,0,441,55,0,0,0,0,0,496,75,142,37,13,33,21,38,14,16,3,13,1,84,0,1,3
Tilburg,Hilvarenbeek,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Basisschool Starrebos,0798::SB6,5081 VH,1828,1128,2,2,0,0,0,1041,91,0,0,0,0,0,1132,216,177,111,69,106,76,98,41,36,9,29,4,138,1,13,4
Tilburg,Hilvarenbeek,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Basisschool De Doelakkers,0798::SB7,5081 XM,1567,909,2,0,0,0,0,832,79,0,0,0,0,0,911,170,90,109,37,96,67,93,38,32,2,26,2,132,1,6,8
Tilburg,Hilvarenbeek,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Restaria De Zwaan Diessen,0798::SB8,5087 BA,1409,756,3,1,0,0,0,673,87,0,0,0,0,0,760,169,178,49,41,42,33,56,42,18,5,27,9,75,0,10,2
Tilburg,Hilvarenbeek,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Ontmoetingscentrum Den Deel,0798::SB9,5089 NK,709,416,1,0,0,0,0,391,26,0,0,0,0,0,417,75,143,20,18,32,13,19,14,21,1,12,1,36,0,11,0
Tilburg,Hilvarenbeek,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Partycentrum  Hercules Diessen,0798::SB10,5087 BJ,1550,927,3,3,0,0,0,849,84,0,0,0,0,0,933,163,267,62,42,65,43,57,26,33,14,19,7,115,0,14,0
