contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,GROENLINKS,Partij voor de Dieren,50PLUS,DENK,NIDA,Code Oranje,Forum voor Democratie,Lokale Partijen Zuid Holland (LPZH)
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Raadhuis Krimpen aan den IJssel,0542::SB1,2922 AD,1513,1082,1,4,0,0,2,939,146,0,0,0,0,0,1087,95,80,49,79,75,39,241,102,30,44,36,10,5,1,180,16
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool Het Kompas,0542::SB2,2921 XH,1435,776,1,2,0,0,1,667,111,0,0,0,0,0,779,81,56,39,30,36,17,200,76,43,21,19,2,2,2,139,13
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Pannenkoe Krimpen aan den IJssel,0542::SB3,2923 AT,1203,399,1,4,0,1,0,349,56,0,0,1,0,0,405,58,28,15,18,24,5,123,30,11,8,19,1,1,1,53,4
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Dorpsplein Het Facet,0542::SB4,2922 GN,1087,729,3,2,0,0,0,653,81,0,0,0,0,0,734,73,50,44,53,49,17,180,62,30,19,25,2,1,3,109,12
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Immanuelkerk,0542::SB5,2924 VB,1148,410,3,0,0,0,0,362,51,0,0,0,0,0,413,60,15,31,29,32,15,53,60,16,15,15,2,0,0,60,7
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Sociëteit Gouden Regen,0542::SB6,2923 EK,1246,651,0,0,0,0,0,581,70,0,0,0,0,0,651,73,37,41,43,56,34,118,65,42,18,30,0,0,1,85,8
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wijkcentrum De Sperwer,0542::SB7,2926 TA,1387,1428,0,6,0,0,1,1271,162,0,0,0,0,0,1434,277,77,76,105,78,38,158,122,66,34,70,2,1,3,287,34
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool Het Mozaïek,0542::SB8,2925 BX,1089,896,1,2,0,0,0,800,99,0,0,0,0,0,899,114,47,60,53,75,26,115,154,42,27,48,1,2,1,109,22
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau BS De Groeiplaneet/loc. Wielerbaan,0542::SB9,2924 XP,1360,663,1,2,0,0,0,597,69,0,0,0,0,0,666,109,36,40,39,61,21,57,55,44,25,43,0,3,2,111,17
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Zorgcentrum Crimpenersteyn,0542::SB10,2924 BC,1214,835,3,1,0,0,2,746,91,0,0,0,0,0,839,99,76,38,48,78,40,94,40,46,32,44,2,0,1,164,33
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Arriva Stormpolder,0542::SB11,2921 LB,1215,116,0,0,0,0,0,100,16,0,0,0,0,0,116,11,14,4,2,7,3,24,7,6,5,4,0,0,0,27,2
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Sportzaal De Populier,0542::SB12,2925 CP,1470,1318,2,1,0,0,0,1213,111,3,0,3,0,0,1324,221,78,101,102,104,40,95,84,72,37,68,3,0,1,281,31
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Comenius College,0542::SB13,2922 BA,1313,767,0,1,0,1,1,643,125,0,0,1,0,0,769,51,43,29,34,32,15,308,57,26,19,24,1,2,2,107,17
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool De Wegwijzer,0542::SB14,2925 EZ,1364,838,1,4,0,0,0,766,77,0,0,0,0,0,843,90,86,53,57,62,28,44,80,66,29,51,8,0,0,164,20
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gezondheidscentrum Krimpen,0542::SB15,2922 CJ,1265,1327,2,3,0,0,0,1177,155,0,0,0,0,0,1332,164,53,66,95,87,41,315,112,64,41,59,11,0,1,199,19
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Ontmoetingscentrum De Tuyter,0542::SB16,2922 VL,962,807,5,1,0,1,1,730,83,0,0,1,0,0,814,69,67,28,71,49,32,195,42,48,18,31,5,0,2,132,18
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wijkcentrum Vijverhoek,0542::SB17,2923 TP,1311,647,3,4,0,0,0,599,55,0,0,0,0,0,654,104,36,37,39,60,27,55,48,41,17,29,4,1,3,118,28
Leiden,Krimpen aan den IJssel,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wijkcentrum Het Palet,0542::SB18,2923 XL,1031,638,4,1,0,0,0,573,69,0,1,0,1,0,642,39,86,19,39,60,37,141,40,19,19,28,3,2,4,92,10
