contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,LOKAAL-LIMBURG,Forum voor Democratie,ChristenUnie,DENK
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau De Bombardon,1640::SB1,,1729,1232,7,3,0,2,0,1121,119,0,2,0,0,0,1240,259,121,86,159,118,76,68,51,39,48,175,30,2
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Zorgcentrum De Kreppel,1640::SB2,,1828,873,3,2,0,0,0,780,98,0,0,0,0,0,878,297,76,37,134,40,38,45,32,25,35,99,13,2
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau PDV De Vliegende Hollander,1640::SB3,,1712,576,0,1,0,0,0,528,49,0,0,0,0,0,577,113,77,46,55,54,39,37,24,13,36,68,14,0
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Gemeenschapshuis Baexheimerhof,1640::SB4,,1863,1163,2,0,0,0,0,1025,140,0,0,0,0,0,1165,362,121,83,136,89,48,43,34,28,43,163,12,1
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Basisschool de Klink,1640::SB5,,1314,738,7,0,0,0,0,666,79,0,0,0,0,0,745,182,86,52,71,41,21,56,25,26,85,82,10,1
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Trefcentrum Kelpen-Oler,1640::SB6,,905,513,1,0,0,0,1,452,61,0,0,0,0,0,514,175,65,25,41,31,19,17,18,16,24,79,2,1
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Hotel - Restaurant De Beukelaer,1640::SB7,,1667,871,7,1,0,1,0,777,103,0,0,1,0,0,880,248,72,62,102,93,47,57,20,20,22,121,7,0
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Gemeenschapshuis Kloeästerhoaf,1640::SB8,,1778,969,8,1,0,0,0,868,110,0,0,0,0,0,978,257,98,71,119,93,58,63,29,17,30,123,9,2
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Gemeenschapshuis de Klokkestoel,1640::SB9,,592,378,1,2,0,0,0,348,33,0,0,0,0,0,381,116,29,17,30,31,20,17,7,22,17,66,6,0
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Handbooglokaal Vriendschap & Strijd,1640::SB10,,1235,561,3,1,0,0,0,491,74,0,0,0,0,0,565,157,60,28,62,77,17,24,9,13,24,86,4,0
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Gemeenschapshuis De Haammaeker,1640::SB11,,1433,829,3,1,0,0,0,751,82,0,0,0,0,0,833,184,72,64,80,145,37,44,20,21,27,129,5,1
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Parochiecentrum Haelen,1640::SB12,,1779,793,2,4,0,1,0,726,74,0,0,1,0,0,800,156,121,42,60,64,40,54,32,32,37,145,10,0
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Trefcentrum Aldenghoor,1640::SB13,,1634,839,4,3,0,15,0,763,98,0,0,15,0,0,861,155,109,56,86,84,46,72,18,26,41,135,11,0
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau De Postkoets,1640::SB14,,1474,915,4,4,0,0,0,831,92,0,0,0,0,0,923,133,77,42,122,64,73,48,14,31,175,118,18,0
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Hotel-Restaurant De Abdij,1640::SB15,,1575,787,0,1,0,0,0,713,75,0,0,0,0,0,788,134,77,45,82,38,49,57,30,24,166,82,2,1
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Gemeenschapshuis De Roffert,1640::SB16,,743,427,0,0,0,0,0,380,47,0,0,0,0,0,427,61,54,31,37,35,19,32,14,19,40,83,2,0
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Gemeenschapshuis St. Servaas,1640::SB17,,538,341,0,0,0,0,0,310,32,1,0,1,0,0,342,57,46,26,37,31,11,31,11,10,19,57,5,0
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Parochiehuis Hunsel,1640::SB18,,749,424,1,0,0,0,0,393,32,0,0,0,0,0,425,156,45,13,52,20,23,21,7,17,21,47,2,0
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau BMV Ell,1640::SB19,,1130,703,5,0,0,0,0,646,62,0,0,0,0,0,708,221,56,51,72,42,50,33,28,30,39,73,7,1
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Café Den Dokter,1640::SB20,,1019,456,3,0,0,0,0,426,33,0,0,0,0,0,459,91,70,33,50,24,18,26,21,22,9,88,3,1
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Cultureel Centrum de Mortel,1640::SB21,,1373,690,2,5,0,0,0,632,65,0,0,0,0,0,697,139,116,54,77,48,30,38,24,15,32,107,7,3
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Ons Dorpshuis,1640::SB22,,408,248,0,1,0,0,0,219,30,0,0,0,0,0,249,75,27,18,31,9,8,15,3,10,11,40,1,0
Venlo,Leudal,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Mobiel Stembureau,1640::SB23,,0,125,2,0,0,1,0,117,11,0,0,1,0,0,128,76,6,3,6,4,3,10,3,2,5,5,2,0
