contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,Partij voor de Dieren,50PLUS,Lokale Partijen Gelderland-Code Oranje,Forum voor Democratie,DENK,JEZUS LEEFT
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Woonzorgcentrum Gudula,0262::SB1,7241 AR,1563,838,4,4,0,0,0,799,47,0,0,0,0,0,846,162,93,56,51,39,126,23,1,110,31,35,7,93,10,1
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Gemeentehuis Lochem,0262::SB2,7241 CR,1071,577,1,1,0,0,0,523,56,0,0,0,0,0,579,104,32,39,56,45,73,19,2,70,22,23,7,68,17,0
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Jan Wissinkhal LTTC de Toekomst,0262::SB3,7241 VE,1646,1110,4,2,0,1,0,1013,104,0,0,1,0,0,1117,240,106,101,44,42,149,30,3,156,50,45,17,108,18,1
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau de Rank,0262::SB4,7242 KH,1503,966,4,1,0,0,0,895,76,0,0,0,0,0,971,150,96,85,65,36,162,33,2,125,33,43,22,106,6,2
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau St Josephschool,0262::SB5,7242 GZ,1183,735,4,2,0,0,0,675,66,0,0,0,0,0,741,101,64,74,63,37,126,19,1,74,24,36,12,75,29,0
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Parochiezaal RK kerk,0262::SB6,7241 DX,1084,642,1,2,0,0,0,582,63,0,0,0,0,0,645,135,72,77,23,12,71,22,2,101,33,18,11,64,0,1
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau de Hoge Weide,0262::SB7,7241 GR,1568,1086,5,4,0,0,1,1001,93,0,0,0,0,0,1095,273,98,130,50,31,136,28,2,165,39,25,13,93,1,2
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau CR Bousema,0262::SB8,7241 KP,946,628,1,0,0,0,0,583,46,0,0,0,0,0,629,130,80,57,24,19,74,20,0,80,30,22,7,85,0,0
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Brandweerkazerne,0262::SB9,7245 BL,1594,953,1,1,0,0,1,882,72,0,0,0,0,0,955,297,201,68,24,32,61,26,9,83,25,24,6,97,0,0
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau de Branink,0262::SB10,7245 AH,1155,829,6,0,0,1,4,742,90,0,0,1,0,0,836,238,164,66,31,20,69,25,9,50,19,24,16,94,2,2
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau de Mölle,0262::SB11,7245 VJ,877,486,0,0,0,0,0,431,55,0,0,0,0,0,486,143,89,35,16,12,37,13,3,64,14,9,4,47,0,0
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Gemeenschapscentrum 't Onderschoer,0262::SB12,7244 BB,1467,988,2,2,0,0,0,898,94,0,0,0,0,0,992,288,136,68,39,47,107,23,5,89,50,38,13,84,1,0
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Brandweerkazerne Gorssel,0262::SB13,7213 CV,1670,1201,2,2,0,2,0,1083,124,0,0,2,0,0,1207,317,133,133,47,36,95,39,5,153,68,37,26,105,2,5
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau De Borkel,0262::SB14,7213 CS,1755,1226,7,1,0,1,0,1127,106,0,1,0,0,0,1233,227,125,138,67,44,129,48,5,157,77,46,21,141,1,0
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Steunpunt 't Wansinkhof,0262::SB15,7214 AH,1729,1087,0,2,0,0,0,996,93,0,0,0,0,0,1089,281,112,123,46,44,104,44,2,145,60,20,14,87,5,0
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Ons Gebouw,0262::SB16,7217 TN,1507,963,2,0,0,0,0,882,83,0,0,0,0,0,965,231,194,69,30,40,70,23,2,99,41,45,19,95,0,5
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Ons Huis,0262::SB17,7218 AC,1198,825,0,2,0,0,3,753,71,0,0,0,0,0,827,129,176,62,25,22,52,28,3,174,55,25,6,66,1,1
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau 't Spijk,0262::SB18,7211 EK,1678,921,7,0,0,0,0,858,70,0,0,0,0,0,928,139,110,77,37,28,87,40,3,156,77,38,21,105,1,2
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Het hart,0262::SB19,7211 DM,1877,1252,4,6,0,0,1,1164,98,0,0,1,0,0,1263,195,116,73,104,56,125,57,1,217,88,45,15,157,0,3
Arnhem,Lochem,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Staring College,0262::SB20,7241 SE,0,27,0,0,0,0,0,26,1,0,0,0,0,0,27,3,1,1,1,0,4,3,0,9,0,2,0,3,0,0
