contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,50PLUS,Partij voor de Dieren,Forum voor Democratie,DENK
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Gemeentehuis Rijssen,1742::SB1,7461DD,1957,1570,2,2,0,0,0,1403,171,0,0,0,0,0,1574,216,78,39,38,23,86,262,566,40,38,9,159,16
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau De Schutse,1742::SB2,7461BC,1912,1410,1,3,0,0,0,1270,144,0,0,0,0,0,1414,200,86,18,35,23,67,279,470,27,13,11,176,5
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Het Parkgebouw,1742::SB3,7461BT,2100,1218,1,4,0,0,0,1058,165,0,0,0,0,0,1223,172,119,21,48,20,88,203,309,50,21,16,148,3
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Gebouw schietvereniging,1742::SB4,7461VP,1907,1302,1,4,0,0,0,1173,134,0,0,0,0,0,1307,180,66,29,53,22,71,260,428,15,19,15,144,0
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,"Stembureau Hervormde gemeente, gebouw Sion",1742::SB5,7462BN,1513,1078,1,0,0,0,0,979,100,0,0,0,0,0,1079,116,48,42,44,29,89,195,367,30,10,10,83,15
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau De Wellehof,1742::SB6,7462GE,2022,1402,5,7,0,0,0,1231,184,0,0,1,0,0,1415,134,39,18,40,18,67,230,698,19,19,5,111,4
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Willem Alexanderschool,1742::SB7,7462HN,1689,896,3,2,0,0,0,798,103,0,0,0,0,0,901,94,31,14,22,6,66,148,389,9,11,7,98,1
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Obs de Salto,1742::SB8,7462JA,1951,1224,0,1,0,0,0,1088,137,0,0,0,0,0,1225,153,64,18,56,22,77,220,404,30,31,15,132,2
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau basisschool De Ronde Maat,1742::SB9,7462LX,1635,1260,1,4,0,0,0,1092,173,0,0,0,0,0,1265,177,60,23,27,16,67,201,458,37,22,7,160,5
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Jacobus Fruijtierschool,1742::SB10,7463CA,1783,1451,6,4,0,0,0,1248,213,0,0,0,0,0,1461,167,87,24,27,20,45,279,579,24,16,8,171,4
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Gebouw Irene,1742::SB11,7451GC,1639,1262,2,4,0,0,0,1169,99,0,0,0,0,0,1268,299,273,32,110,79,55,69,16,87,58,26,157,1
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Woon- en Zorgcentrum Diessenplas,1742::SB12,7451DG,1452,928,3,3,0,0,0,850,88,4,0,4,0,0,938,214,203,35,102,68,35,34,14,49,20,34,119,1
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Kulturhus Dijkerhoek,1742::SB13,7451LS,929,658,1,0,0,0,0,594,65,0,0,0,0,0,659,260,153,9,33,36,25,12,6,26,13,7,78,0
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Lokaal Holterenschool,1742::SB14,7451AW,1757,1111,0,4,0,0,0,1038,77,0,0,0,0,0,1115,221,227,56,123,80,57,40,16,79,47,19,145,1
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Lokaal Haarschool,1742::SB15,7451DZ,1768,1096,1,1,0,0,1,1005,92,0,0,0,0,0,1098,193,206,62,159,87,67,36,4,96,37,25,123,1
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau De Tabernakel,1742::SB16,7463CL,2414,1422,0,2,0,0,2,1221,201,0,0,0,0,0,1424,206,115,17,23,16,42,279,548,18,14,2,126,16
,Rijssen-Holten,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Mobiel stembureau,1742::SB17,7461AR,0,342,3,2,0,0,1,303,43,0,0,0,0,0,347,58,21,1,6,3,6,52,160,0,2,1,32,0
