contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,LOKAAL-LIMBURG,Forum voor Democratie,ChristenUnie,DENK
Maastricht,Stein,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau MFC de Grous,0971::SB1,6171 HW,2297,1528,7,4,0,0,1,1383,160,0,0,0,0,0,1544,389,235,124,112,79,80,77,84,50,40,240,17,1
Maastricht,Stein,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Gemeentehuis,0971::SB2,6171 KP,2096,1001,2,1,0,0,1,909,94,0,0,0,0,0,1004,191,153,67,71,48,61,66,50,32,33,218,8,3
Maastricht,Stein,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Basisschool Kerensheide,0971::SB3,6171 BS,2348,1067,1,7,0,0,2,944,129,0,0,0,0,0,1075,188,170,91,97,41,66,77,70,44,36,176,9,2
Maastricht,Stein,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Buurtcentrum Nieuwdorp,0971::SB4,6171 NR,975,604,1,2,0,0,2,536,69,0,0,0,0,0,607,102,161,55,27,23,19,38,38,16,12,94,5,14
Maastricht,Stein,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Café-Brasserie Merode,0971::SB5,6171 XM,1029,516,2,1,0,0,0,454,65,0,0,0,0,0,519,84,150,35,37,16,21,20,33,11,7,99,3,0
Maastricht,Stein,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Bie Gerda,0971::SB6,6181 NJ,1055,576,1,1,0,0,0,529,49,0,0,0,0,0,578,124,108,56,42,21,24,48,29,21,14,87,1,1
Maastricht,Stein,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Bramerthof,0971::SB7,6129 PV,899,448,0,1,0,0,0,415,34,0,0,0,0,0,449,65,93,44,33,13,30,31,23,22,22,68,2,2
Maastricht,Stein,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau de Kooypoort,0971::SB8,6129 PC,1175,690,2,2,0,1,0,621,74,0,0,1,0,0,695,122,111,40,59,42,38,50,46,19,25,129,8,1
Maastricht,Stein,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Fanfarezaal Oud Urmond,0971::SB9,6129 CR,804,446,2,2,0,0,0,407,43,0,0,0,0,0,450,93,74,46,33,21,32,24,16,17,5,80,3,2
Maastricht,Stein,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Multifunctioneel Centrum Berg a/d M,0971::SB10,6129 PG,1733,983,5,2,0,0,0,882,108,0,0,0,0,0,990,161,206,97,81,43,29,54,30,37,26,216,3,0
Maastricht,Stein,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Verpleeghuis La Famille,0971::SB11,6181 LB,1336,609,3,3,0,0,0,560,57,2,0,2,0,0,617,113,102,64,44,27,42,39,12,24,20,116,4,2
Maastricht,Stein,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Parochiezaal Mariakerk,0971::SB12,6181 CL,1488,1017,5,1,0,0,0,932,91,0,0,0,0,0,1023,186,159,81,85,56,48,65,44,27,34,220,10,2
Maastricht,Stein,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Kantine S.V. Haslou,0971::SB13,6181 JG,902,564,0,1,0,0,0,492,73,0,0,0,0,0,565,126,102,32,57,39,20,53,38,14,16,66,1,0
Maastricht,Stein,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Kindcentrum Aelse,0971::SB14,6181 EN,1454,792,1,3,0,1,0,709,85,0,2,0,1,0,794,174,103,63,90,35,52,50,36,23,18,137,9,2
Maastricht,Stein,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Café Zaal De Dikke Stein,0971::SB15,6181 GN,1055,432,0,3,0,0,0,388,47,0,0,0,0,0,435,61,49,35,44,29,31,28,19,16,14,103,3,0
