contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ChristenUnie,Partij voor Zeeland (PVZ),GROENLINKS,50PLUS,DENK,Partij voor de Dieren,Forum voor Democratie
,Veere,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Verenigingsgebouw Het Akkoord,0717::SB1,4351 AS,1313,835,2,2,0,0,2,732,105,0,0,0,0,0,839,130,137,71,22,30,62,43,64,33,97,33,0,52,61
,Veere,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Verenigingsgebouw De Spil,0717::SB2,4352 AH,397,305,0,1,0,0,1,276,29,0,0,0,0,0,306,78,37,27,13,8,22,10,16,9,38,10,0,16,21
,Veere,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Verenigingsgebouw Vrouwenpolder,0717::SB3,4354 AD,853,584,3,0,0,0,0,534,53,0,0,0,0,0,587,103,87,45,15,24,42,26,68,49,40,16,0,33,36
,Veere,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Verenigingsgebouw De Zandput,0717::SB4,4353 BA,1407,1023,1,3,0,0,0,926,101,0,0,0,0,0,1027,263,87,153,19,38,91,48,64,47,64,34,0,41,74
,Veere,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Verenigingsgebouw Amicitia,0717::SB5,4363 BC,1079,872,0,0,0,0,0,759,113,0,0,0,0,0,872,79,56,523,7,13,24,4,52,21,22,6,0,20,45
,Veere,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Dorpshuis Nimmerdor,0717::SB6,4364 BL,1121,772,1,1,0,0,0,715,59,0,0,0,0,0,774,214,99,80,32,40,42,24,59,35,41,35,0,30,41
,Veere,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Verenigingsgebouw Ons Huis,0717::SB7,4365 AH,1043,866,0,2,0,0,0,749,120,1,0,1,0,0,869,86,26,591,8,8,17,3,44,10,12,11,0,9,41
,Veere,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Sportcentrum De Couburg,0717::SB8,4371 AZ,1353,957,0,2,0,0,0,916,43,0,0,0,0,0,959,139,126,16,45,50,98,50,39,63,88,78,0,59,106
,Veere,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau WoZoCo De Brouwerij,0717::SB9,4371 EB,1352,798,0,5,0,0,0,727,76,0,0,0,0,0,803,178,116,23,32,29,90,25,39,39,57,49,0,30,91
,Veere,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau MFA Biggekerke,0717::SB10,4373 DA,703,509,1,0,0,0,0,466,44,0,0,0,0,0,510,129,69,40,18,20,29,15,19,28,37,24,0,31,50
