contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),FNP,PVV (Partij voor de Vrijheid),ChristenUnie,Democraten 66 (D66),GROENLINKS,Partij voor de Dieren,50PLUS,Provinciaal Belang Fryslân,Natuurlijk Fryslân,DENK,Staatkundig Gereformeerde Partij (SGP),Forum voor Democratie
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Woonzorgcentrum Botniahuis,1949::SB1,8801 KJ,1883,965,6,2,0,0,2,879,92,0,0,0,0,0,973,170,111,88,60,96,41,47,50,89,33,23,23,5,0,3,126
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Saxenoord,1949::SB2,8801 DA,1016,493,2,2,0,0,0,461,36,0,0,0,0,0,497,109,73,20,30,46,34,15,10,27,18,13,20,5,4,6,63
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Sjaerdemastate,1949::SB3,8801 HS,1857,910,1,2,0,0,0,836,77,0,0,0,0,0,913,145,137,69,65,83,65,54,24,64,21,27,29,5,0,3,119
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Gemeentehuis Waadhoeke,1949::SB4,8801 PA,1653,1064,2,6,0,0,1,962,109,0,0,0,0,0,1072,179,140,123,36,111,53,46,40,83,35,20,21,12,1,3,161
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Serviceflat Froonacker,1949::SB5,8802 PP,1073,588,2,1,0,0,0,556,35,0,0,0,0,0,591,76,81,29,44,53,43,40,31,31,17,19,13,5,1,1,104
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau De Driesprong,1949::SB6,8801 AZ,1622,1050,3,2,0,1,0,975,79,0,1,0,0,0,1054,229,150,96,49,114,44,59,37,56,21,26,31,10,0,7,121
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau C.B.S. Toermalijn,1949::SB7,8802 RD,1590,1047,0,5,0,2,0,974,80,0,0,2,0,0,1054,160,145,110,42,98,51,73,36,81,35,25,26,11,2,4,148
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis De Rede,1949::SB8,8811 HD,383,249,0,0,0,0,0,227,22,0,0,0,0,0,249,17,25,44,11,41,19,7,4,13,11,7,5,0,0,0,45
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis Us Doarpshûs,1949::SB9,8812 JJ,293,194,0,0,0,0,2,171,21,0,0,0,0,0,194,33,23,15,8,16,14,5,3,9,6,1,6,4,0,2,49
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis De Singel,1949::SB10,8806 KL,655,389,0,0,0,1,0,350,40,0,0,1,0,0,390,105,30,19,20,57,19,18,10,35,13,9,2,4,0,2,46
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Zorgcentrum Martenahiem,1949::SB11,8804 RA,852,502,0,0,0,0,0,453,49,0,0,0,0,0,502,160,24,45,21,45,19,39,13,29,17,5,5,9,0,4,67
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis It Waed,1949::SB12,8855 HL,1368,730,2,3,0,0,0,690,45,0,0,0,0,0,735,247,57,49,25,76,50,42,19,39,16,14,12,5,1,1,77
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Nij Bethanië,1949::SB13,8851 EJ,1112,630,0,2,0,0,0,584,48,0,0,0,0,0,632,111,58,58,31,123,55,28,6,24,21,15,11,4,0,1,84
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Gemeenschapscentrum It Mienskar,1949::SB14,8854 AG,422,252,0,0,0,0,0,232,20,0,0,0,0,0,252,66,16,20,14,26,18,11,3,12,5,2,4,4,0,6,45
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Gemeentekantoor Menaam,1949::SB21,9036 MS,1206,716,1,1,0,0,1,664,53,0,0,0,0,0,718,106,99,75,54,82,43,31,35,39,17,12,13,5,0,2,103
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau MFA d 'Ald Skoalle,1949::SB22,9035 AZ,1501,1133,2,3,0,0,1,1050,87,0,0,0,0,0,1138,226,155,144,52,96,25,39,50,66,20,27,69,13,0,10,141
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Parochiehuis,1949::SB23,9035 AJ,1078,541,2,2,0,0,0,509,36,0,0,0,0,0,545,141,71,36,29,37,24,17,26,27,10,11,39,1,0,3,69
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Doarpshus 't Heechhout,1949::SB24,9041 EC,976,601,0,0,0,25,0,585,41,0,0,25,0,0,626,143,56,41,21,143,27,36,7,24,9,15,11,4,0,0,64
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Hervormd Centrum,1949::SB25,9041 AA,892,468,2,1,0,1,0,429,43,0,0,1,0,0,472,105,48,33,15,82,31,25,13,20,8,11,11,4,0,3,59
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Martinus Tsjerke,1949::SB26,9044 ME,608,322,1,2,0,0,0,306,19,0,0,0,0,0,325,57,45,27,15,59,15,10,11,15,9,12,3,0,0,2,42
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau De Molewjuk,1949::SB27,9045 PE,711,445,0,1,0,0,0,411,35,0,0,0,0,0,446,87,56,39,21,61,28,25,17,33,7,8,10,7,1,3,42
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis Nij Franjum,1949::SB28,9034 GZ,824,549,0,0,0,0,0,514,35,0,0,0,0,0,549,43,120,48,28,65,38,21,24,37,28,21,9,3,1,1,62
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Sportcomplex Deinum,1949::SB29,9033 WH,794,538,3,1,0,0,250,253,39,0,0,0,0,0,542,72,109,37,41,56,24,21,30,56,17,16,13,5,0,4,37
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis Op Healwei,1949::SB30,8816 HT,151,109,0,0,0,0,0,103,6,0,0,0,0,0,109,15,24,4,5,8,2,0,6,15,15,0,3,0,0,1,11
,Waadhoeke,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau d' Ald Skoalle,1949::SB31,9043 VP,166,105,0,0,0,0,0,101,4,0,0,0,0,0,105,7,20,11,4,20,5,0,3,0,5,3,0,2,0,3,22
