contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),VVD,ChristenUnie,PVV (Partij voor de Vrijheid),Groninger Belang,GROENLINKS,Partij voor de Dieren,Partij voor het Noorden,Forum voor Democratie,50PLUS,DENK
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Sellingen  (Gemeentehuis),1950::SB1,9551 AB,1350,944,3,1,0,0,2,837,109,0,0,0,0,0,948,63,71,156,38,92,79,62,53,98,60,34,115,23,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Vlagtwedde (De Bolderbörg),1950::SB2,9541 BW,1307,606,5,2,0,0,0,558,55,0,0,0,0,0,613,62,58,82,13,38,48,80,38,36,20,28,82,21,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Vlagtwedde (MFA 't Aambeeld),1950::SB3,9541 AX,1111,823,1,1,0,0,1,750,74,0,0,0,0,0,825,66,54,159,28,73,66,59,61,58,43,27,106,22,1
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Bourtange (De Turfschuur),1950::SB4,9545 PH,637,308,1,0,0,0,0,283,26,0,0,0,0,0,309,28,29,25,8,24,16,36,17,35,25,12,45,8,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Jipsinghuizen (Buurthuis),1950::SB5,9551 TH,844,480,0,0,0,0,0,435,45,0,0,0,0,0,480,42,36,81,9,50,30,42,21,33,31,10,83,12,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Ter Apelkanaal (D'Oale School),1950::SB6,9563 RD,807,433,0,0,0,0,0,395,38,0,0,0,0,0,433,37,39,68,24,27,9,59,26,12,13,11,94,14,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Ter Apel  ('t Streekje),1950::SB7,9561 SC,1369,593,1,0,0,0,0,529,65,0,0,0,0,0,594,49,71,74,13,46,29,91,49,18,15,22,97,19,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Ter Apel (Kloosterheerd),1950::SB8,9561 RD,985,424,2,4,0,0,0,398,32,0,0,0,0,0,430,40,64,52,9,12,13,79,19,14,9,17,69,22,5
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Ter Apel (Sporthalkantine),1950::SB9,9561 KD,1459,820,3,1,0,0,0,739,85,0,0,0,0,0,824,67,114,112,34,83,15,107,54,36,28,24,124,22,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Barnflair (De Grensstreek),1950::SB10,9561 PC,842,467,3,2,0,0,0,413,59,0,0,0,0,0,472,37,48,56,15,20,14,118,18,19,13,8,93,8,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Ter Apel (De Wilpskamp),1950::SB11,9561 TA,915,522,4,0,0,0,0,470,56,0,0,0,0,0,526,43,73,60,19,64,35,57,30,31,22,12,69,7,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Ter Apel (Heemborgh),1950::SB12,9561 EP,1142,553,1,1,0,0,0,511,44,0,0,0,0,0,555,49,79,40,17,34,24,97,39,22,22,22,85,22,1
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Streekmuseum De Oude Wolden,1950::SB13,9695 AE,484,338,0,0,0,0,0,300,38,0,0,0,0,0,338,44,30,24,15,31,15,29,19,16,25,19,68,3,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Steunstee Reiderstee,1950::SB14,9695 GD,889,412,1,1,0,0,0,368,46,0,0,0,0,0,414,64,50,20,8,23,11,65,24,34,13,15,62,23,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Brandweerkazerne,1950::SB15,9695 BA,754,431,0,1,0,0,0,402,30,0,0,0,0,0,432,56,53,17,18,43,22,39,35,28,27,17,64,11,1
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Buurthuis De Brug,1950::SB16,9695 CJ,526,281,1,0,0,0,0,256,26,0,0,0,0,0,282,32,36,5,4,27,8,43,20,26,17,3,55,4,1
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Kerkje,1950::SB17,9696 XN,155,128,0,0,0,0,0,113,15,0,0,0,0,0,128,9,11,4,10,23,8,12,5,15,8,7,13,3,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Buurthuis 't Ganzenust,1950::SB18,9699 SE,668,380,3,1,0,0,0,347,37,0,0,0,0,0,384,43,60,25,9,30,22,34,30,17,29,15,54,12,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau MFA Ons Noabershoes,1950::SB19,9566 PL,547,301,2,0,0,0,0,273,30,0,0,0,0,0,303,50,36,18,5,9,17,24,28,32,22,19,33,8,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Blanckenborg,1950::SB20,9697 RW,790,378,2,0,0,0,0,358,22,0,0,0,0,0,380,42,96,21,16,37,9,29,37,20,8,15,35,13,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau c.b.s. De Loopplank,1950::SB21,9697 NS,404,269,0,0,0,0,1,241,27,0,0,0,0,0,269,18,17,11,14,34,20,19,24,14,13,15,59,11,0
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gemeentehuis,1950::SB22,9698 AE,872,533,1,2,0,0,0,492,45,1,0,1,0,0,537,60,76,35,12,61,29,39,34,49,36,22,67,12,1
,Westerwolde,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Zalencentrum Het Oude Wapen,1950::SB23,9697 NL,1144,704,2,0,0,0,1,642,63,0,0,0,0,0,706,63,87,50,23,94,36,56,44,24,22,44,135,25,1
