contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),GROENLINKS,ChristenUnie,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),50PLUS,DENK,U26 GEMEENTEN,Forum voor Democratie
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Gemeentehuis,0355::SB1,3701 HS,1706,1609,5,1,0,1,6,1466,146,0,0,3,0,0,1618,386,191,158,113,32,36,288,107,68,25,33,7,30,135
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Maria Oord,0355::SB2,3702 VG,1921,742,7,1,0,0,0,692,59,0,0,1,0,0,751,80,54,48,55,58,35,140,50,42,18,32,7,21,102
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Bibliotheek,0355::SB3,3701 JZ,1738,1061,2,2,0,0,0,979,86,0,0,0,0,0,1065,160,70,88,91,53,55,194,53,46,20,37,5,18,171
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Zorgcentrum  De Looborch,0355::SB4,3701 BC,1361,998,1,1,0,0,0,907,93,0,0,0,0,0,1000,310,125,105,49,30,15,131,59,41,17,14,1,20,81
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Christengemeenschap Rafaëlkerk,0355::SB5,3707 VD,1191,870,3,2,0,0,1,764,109,0,1,0,0,0,874,275,102,71,45,18,14,136,44,51,15,15,4,12,68
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Zorgcentrum Amandelhof,0355::SB6,3708 AB,1356,891,3,2,0,0,1,791,104,0,0,0,0,0,896,183,104,122,45,21,15,138,75,54,36,20,5,7,66
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Charim Spathodea,0355::SB7,3708 GB,1861,814,1,1,0,0,0,757,59,0,0,0,0,0,816,133,70,70,47,19,40,139,54,61,44,31,6,15,85
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Binnenbos,0355::SB8,3708 DL,1225,1033,4,1,0,0,3,944,91,0,0,0,0,0,1038,230,128,61,75,37,47,158,71,68,14,19,17,13,95
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Montessorischool locatie Griffensteijn,0355::SB9,3703 BP,1279,1025,4,3,0,0,0,926,106,0,0,0,0,0,1032,137,123,65,108,37,42,185,61,44,33,27,40,26,97
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Tennisvereniging Griffensteijn,0355::SB10,3703 CM,1771,712,1,3,0,0,0,626,89,0,1,0,1,0,715,145,86,61,65,19,16,116,41,40,23,18,19,11,52
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Wijkcentrum De Koppeling,0355::SB11,3704 KS,1459,1419,7,3,0,0,0,1252,177,0,0,0,0,0,1429,144,117,105,130,63,70,270,101,69,24,45,113,28,140
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Kerkelijk Centrum Zeist-West,0355::SB12,3704 KB,1753,652,6,1,0,0,0,589,70,0,0,0,0,0,659,58,46,72,70,39,36,108,57,28,2,28,20,16,72
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau CBS Nije-Kroost,0355::SB13,3704 EG,1631,1070,0,1,0,1,1,971,98,0,1,0,0,0,1070,173,81,101,77,31,33,197,118,52,24,23,23,36,101
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau VSO Heuvelrug College,0355::SB14,3704 GN,1902,932,5,4,0,0,0,839,105,3,0,3,0,0,944,96,75,73,76,67,47,168,73,50,16,24,59,14,94
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Ontmoetingscentrum Vollenhove,0355::SB15,3706 AA,1122,313,1,1,0,0,0,295,20,0,0,0,0,0,315,33,19,23,20,37,13,60,20,19,5,10,12,6,36
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Geref. Kerk Vrijgemaakt De Ark,0355::SB16,3702 SB,1278,958,1,5,0,0,2,866,97,1,0,1,0,0,965,142,81,93,62,74,31,139,62,40,50,19,15,26,124
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Sionskerk,0355::SB17,3705 BP,1756,1328,4,2,0,0,2,1197,135,0,0,0,0,0,1334,311,176,97,81,47,24,277,76,54,31,19,8,20,107
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Wijkservicepunt Noord,0355::SB18,3705 HD,1776,1099,3,4,0,1,0,1017,90,0,0,1,0,0,1107,158,85,84,81,106,48,163,44,89,18,43,24,24,132
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Weggeefwinkel,0355::SB19,3706 GW,1350,485,1,5,0,0,0,474,17,0,0,0,0,0,491,21,21,22,35,36,49,90,20,44,4,9,81,6,47
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Wijkcentrum 't Noorderpunt,0355::SB20,3706 AH,1343,1474,6,6,0,2,0,1383,105,0,0,2,0,0,1488,168,144,86,118,62,70,410,72,90,8,51,17,33,145
,Zeist,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Rehobothschool,0355::SB21,3705 PE,1049,539,1,3,0,0,1,493,50,1,0,1,0,0,544,24,27,32,41,47,25,78,53,20,31,29,55,9,68
