contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,Partij voor de Dieren,50PLUS,Lokale Partijen Gelderland-Code Oranje,Forum voor Democratie,DENK,JEZUS LEEFT
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Locatie Pelgromhof,0299::SB1,6901 CB,1425,912,3,3,0,1,0,850,69,0,0,1,0,0,919,157,169,53,66,59,99,22,0,71,20,54,13,123,3,3
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau NME-gebouw,0299::SB2,6901 BV,1652,768,2,0,0,0,0,701,69,0,0,0,0,0,770,123,120,71,68,47,79,10,4,61,27,32,7,115,3,1
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau IKC De Tamboerijn,0299::SB3,6904 EG,2117,1127,2,5,0,4,0,1045,85,0,4,0,0,0,1130,152,115,78,119,84,137,21,1,114,45,38,17,187,16,3
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Centrum 4.0,0299::SB4,6905 BH,1002,385,1,0,0,3,0,345,44,0,0,3,0,0,389,90,43,30,21,21,34,7,0,30,13,17,9,62,7,1
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,"Stembureau Stembureau IKC De Carrousel, locatie Bizetstraat",0299::SB5,6904 KL,1578,619,3,1,0,0,0,558,65,0,0,0,0,0,623,56,71,41,61,70,65,13,3,51,21,27,14,96,29,1
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Accommodatie Stichting LB (Kantine AV de Leimers),0299::SB6,6904 GZ,1608,927,2,2,0,0,0,841,90,0,0,0,0,0,931,158,103,80,57,60,99,13,1,122,36,43,19,130,4,2
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau OBS Het Kofschip,0299::SB7,6903 DK,1355,981,4,2,0,0,0,896,91,0,0,0,0,0,987,162,111,92,62,34,123,17,1,127,28,55,15,147,5,2
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,"Stembureau Stembureau Rijnstate ziekenhuis, locatie Zevenaar",0299::SB8,6903 ZN,1428,901,3,6,0,0,1,821,86,0,2,0,2,0,908,148,96,51,84,63,95,33,6,96,31,68,13,106,9,2
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Basisschool Lindenhage,0299::SB9,6903 DX,1420,380,0,0,0,1,2,337,42,0,0,1,0,0,381,74,38,36,25,17,63,5,0,39,13,11,3,54,2,0
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Dienstencentrum De Hooge Bongert,0299::SB10,6903 DA,1476,904,0,2,0,0,0,842,64,0,0,0,0,0,906,135,139,52,85,81,92,10,4,70,32,65,13,119,6,1
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Partycentrum de Griethse Poort,0299::SB11,6901 HK,1259,682,3,1,0,0,0,627,59,0,0,0,0,0,686,109,110,39,45,65,65,8,1,28,18,45,12,132,5,0
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Caleidoz locatie Steenhuizen,0299::SB12,6901 JL,1240,592,3,2,0,8,0,566,23,0,8,0,0,0,589,72,83,34,67,46,69,12,2,40,19,36,10,99,3,0
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Schoolgebouw Guido Gezellestraat,0299::SB13,6901 KZ,1348,700,4,4,0,0,0,651,57,0,0,0,0,0,708,95,94,59,44,54,80,23,1,50,19,45,5,110,21,0
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Brede School St. Martinus,0299::SB14,6905 AR,1330,808,1,0,0,0,0,722,87,0,0,0,0,0,809,184,203,50,28,35,50,15,1,60,29,30,29,91,3,0
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Kulturhus De Borg Babberich,0299::SB15,6909 DW,1479,774,1,0,0,1,0,695,81,0,0,1,0,0,776,121,151,31,64,67,46,8,1,64,24,40,20,132,1,4
Arnhem,Zevenaar,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stembureau Centrum De Meent,0299::SB16,6986 AP,1062,665,4,0,0,0,0,606,63,0,0,0,0,0,669,80,226,26,32,31,48,9,0,58,32,18,13,92,0,0
