contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij,19
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Stadhuis,0200::SB1,,1260,1865,0,9,179,416,184,413,201,156,81,166,26,26,0,3,3,1,0,3,7,0
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Kadaster,0200::SB2,,1165,1088,0,3,118,265,118,222,114,89,33,89,17,8,1,3,8,0,1,0,2,0
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Oude Enk,0200::SB3,,1533,1244,0,1,162,272,127,240,171,104,29,85,22,15,0,3,13,0,0,0,1,0
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Duivensportcentrum,0200::SB4,,1509,1013,2,0,98,200,114,230,122,82,33,94,16,14,0,8,0,0,0,1,0,1
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau ROC Aventus,0200::SB5,,1323,809,0,0,92,165,63,225,104,51,12,60,13,7,1,8,5,0,0,2,1,0
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Lokaal bij Goede Herderkerk,0200::SB6,,1201,1226,3,0,198,251,115,263,126,98,37,88,19,15,0,7,7,1,0,0,1,0
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Speeltuin Kindervreugd,0200::SB7,,1045,536,1,2,51,164,72,59,80,36,25,20,11,12,1,2,1,1,1,0,0,0
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau School Spitsbergen,0200::SB8,,1348,438,0,2,44,146,38,57,53,31,16,34,6,8,0,2,1,0,1,0,1,0
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Zorggroep Apeldoorn, loc. Mandala",0200::SB9,,1010,834,0,8,123,208,55,158,71,70,46,71,10,10,1,3,7,0,0,1,0,0
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Wijkcentrum Orca,0200::SB10,,1442,1150,0,2,119,307,136,165,172,79,34,76,24,13,0,12,4,2,0,4,3,0
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Lokaal bij Sint Victor Parochie,0200::SB11,,1356,1238,3,1,156,257,95,294,139,85,45,125,20,9,0,4,7,0,0,0,1,1
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau School Berg en Bos,0200::SB12,,1320,1233,0,2,172,78,15,683,67,32,27,122,14,20,0,1,0,2,0,0,0,0
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Stichting Walterbosch,0200::SB13,,1451,1250,0,2,176,209,87,345,92,92,60,139,16,25,0,2,4,0,0,1,2,0
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Woon-Zorgcentrum Goede Reede,0200::SB14,,1164,852,0,1,119,169,46,215,66,78,34,92,11,21,0,0,0,1,0,0,0,0
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Woon- en Zorgcentrum De Loohof,0200::SB15,,928,769,1,2,142,107,31,262,31,44,27,84,17,21,0,0,2,0,0,1,0,0
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Locatie Berkenhove (voorheen Spainkbos),0200::SB16,,1244,1054,0,2,145,238,61,228,87,72,56,115,14,24,0,4,7,0,0,2,0,1
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Serviceflat Lindenhove,0200::SB17,,1185,877,1,1,185,132,50,252,66,43,41,75,19,13,0,1,0,0,0,0,0,0
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gereformeerde Kerk,0200::SB18,,1426,1177,2,0,160,151,38,421,90,78,71,130,14,13,0,7,0,1,1,2,0,0
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Koningin Julianaschool,0200::SB19,,1485,1211,3,4,183,203,80,274,120,118,68,113,19,16,0,6,7,0,1,0,2,1
Arnhem,Apeldoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau CODA museum,0200::SB20,,1120,735,1,0,57,155,73,162,75,78,19,95,8,6,0,5,2,0,0,0,0,0
