contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Stadhuis I,0106::SB1,,1156,1273,1,2,118,347,108,250,129,134,62,83,17,4,0,8,8,1,0,1,3
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Anholt,0106::SB2,,1471,864,2,1,84,288,108,123,80,51,55,46,9,0,0,8,7,1,1,1,2
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Boshof,0106::SB3,,1274,1116,0,3,148,310,70,253,57,100,38,119,18,1,0,0,1,0,1,0,0
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Slingeborgh,0106::SB4,,1538,972,1,0,173,261,89,143,85,63,70,60,15,10,0,0,3,0,0,0,0
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Wijde Blik,0106::SB5,,1594,1196,0,0,149,432,123,124,135,73,71,52,14,3,1,10,4,0,0,2,3
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau de Steiger,0106::SB7,,1229,887,2,2,43,280,122,101,146,62,62,46,18,3,0,3,0,0,0,1,0
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau de Arendshorst,0106::SB8,,1469,909,1,3,68,232,95,51,113,90,198,23,11,15,0,3,3,0,0,5,2
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Maria in Campisschool,0106::SB9,,1550,838,0,0,72,249,125,114,95,60,69,28,13,3,0,6,1,0,0,3,0
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Componist,0106::SB10,,1579,1335,1,4,103,478,180,108,179,88,113,52,9,10,0,7,5,0,1,0,2
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Amstelflat,0106::SB11,,1483,960,0,0,73,294,120,127,141,46,91,42,13,4,0,3,3,0,0,3,0
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Boerderij,0106::SB12,,1333,1042,3,1,68,300,160,88,128,60,154,45,13,17,0,3,2,0,0,1,3
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Peelerhof,0106::SB13,,1155,866,1,0,101,261,84,116,67,80,99,33,16,6,0,0,1,0,0,1,1
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Veldkei,0106::SB14,,1425,1046,2,0,68,320,188,95,129,70,101,44,10,3,0,9,8,0,0,0,1
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau 't Markehuus,0106::SB15,,1424,1204,0,1,92,322,139,176,164,75,131,67,13,5,0,11,3,1,1,0,4
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau CBS de Scharmhof,0106::SB16,,1414,875,2,0,75,204,112,129,102,61,126,51,3,5,0,4,1,0,0,1,1
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Voorhof,0106::SB17,,1500,1341,1,1,145,345,143,187,127,71,229,69,7,8,0,3,4,0,0,0,3
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Marsdijkhal,0106::SB18,,1642,1765,1,4,132,485,224,387,167,107,98,134,17,9,0,4,1,0,0,0,0
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Dissel,0106::SB19,,1536,1634,2,1,139,436,200,298,158,134,147,85,16,5,0,8,4,0,0,3,1
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Heksenketel,0106::SB20,,1524,1323,0,3,126,336,144,285,95,119,69,119,18,4,0,1,5,0,0,1,1
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sportcomplex Marsdiek,0106::SB21,,1613,837,1,1,71,171,82,239,79,33,60,77,13,5,3,2,2,0,0,0,0
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Rackethal Assen,0106::SB22,,1476,715,0,0,73,188,88,155,75,34,53,38,7,2,0,1,1,0,0,0,0
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sportpark Lonerstraat,0106::SB23,,1358,871,0,1,82,214,72,167,70,100,48,105,10,0,0,1,1,0,0,0,1
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Schulp,0106::SB24,,1257,932,2,0,70,303,131,96,123,71,57,49,18,2,0,4,4,1,0,1,2
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Vijverhof,0106::SB25,,1345,1075,0,4,109,367,137,136,126,70,54,45,14,7,0,4,2,0,0,1,3
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Adventskerk,0106::SB26,,1555,792,1,0,82,261,109,88,88,88,26,28,15,1,0,2,4,0,0,0,0
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau MEE Drenthe,0106::SB27,,1158,808,0,2,99,218,71,125,59,93,58,65,10,8,1,0,1,0,0,0,0
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Het Schakelveld,0106::SB28,,1062,1038,4,5,103,331,155,110,122,76,48,50,17,8,1,8,4,0,0,1,4
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Valkenhof,0106::SB29,,1224,715,0,2,98,194,81,90,54,49,73,54,7,8,0,3,1,0,1,1,1
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Infocentrum Kloosterveste,0106::SB30,,1471,1741,2,1,191,400,141,428,159,98,175,115,9,13,0,7,3,0,0,1,1
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau CBS Het Krijt,0106::SB31,,1599,1074,0,0,124,200,99,276,96,64,102,76,15,5,0,11,0,0,1,0,5
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sportpark Hoogspanning,0106::SB32,,1744,1118,0,1,139,251,90,317,94,58,78,75,5,2,1,5,2,0,0,1,0
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau OBS Kloosterveen,0106::SB33,,1709,1233,0,0,125,285,137,269,142,68,93,91,11,3,0,4,5,0,0,0,0
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Provincie Drenthe,0106::SB34,,1118,695,0,0,86,199,73,138,33,69,43,44,8,0,0,1,1,0,0,0,0
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sporthal De Timp,0106::SB35,,1262,961,2,2,109,314,94,129,102,58,76,53,8,5,0,0,5,1,4,1,2
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Vrijeschool De Es Assen,0106::SB36,,1002,736,1,0,63,210,86,107,71,74,37,54,14,6,0,3,11,0,0,0,0
Assen,Assen,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Stadhuis II,0106::SB37,,1278,1386,2,0,152,416,140,243,129,115,78,84,18,2,2,0,3,1,1,0,2
