contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij
Assen,Borger-Odoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gemeentehuis Exloo,1681::SB1,,1365,1156,1,5,84,319,88,339,103,84,11,91,20,1,0,6,10,0,0,0,0
Assen,Borger-Odoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Paasbergen Odoorn,1681::SB2,,1539,1236,0,3,124,376,117,324,110,67,11,80,11,1,1,8,6,0,0,0,0
Assen,Borger-Odoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Ons Dorpshuis Valthe,1681::SB3,,995,821,1,1,74,247,84,172,94,51,36,46,4,3,1,8,1,0,0,0,0
Assen,Borger-Odoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau OBS 't Schienvat Klijndijk,1681::SB4,,630,513,0,0,47,161,43,104,72,28,14,38,3,0,0,3,0,0,0,0,0
Assen,Borger-Odoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis Odoornerveen,1681::SB5,,467,342,0,0,45,81,37,100,21,26,4,20,6,0,0,1,1,0,0,0,0
Assen,Borger-Odoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau OBS de Mondenhoek 1e Exloërmond,1681::SB6,,318,246,0,0,42,48,19,45,45,9,10,13,5,6,0,2,2,0,0,0,0
Assen,Borger-Odoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Spa Horeca-centrum 2e Exloërmond,1681::SB7,,884,575,0,0,90,116,68,79,140,12,35,13,7,11,0,2,0,0,0,1,1
Assen,Borger-Odoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Hunsow-hal  2e Exloërmond,1681::SB8,,1061,796,0,0,79,213,87,95,200,22,57,19,9,7,0,5,1,1,0,1,0
Assen,Borger-Odoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Wenakker Valthermond,1681::SB9,,817,551,0,0,75,123,65,78,134,18,21,19,14,1,0,2,1,0,0,0,0
Assen,Borger-Odoorn,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Wijkplaats Valthermond,1681::SB10,,596,437,2,2,68,120,34,59,93,14,21,16,4,3,1,3,1,0,0,0,0
