contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gemeentehuis,0381::SB1,,1559,1594,1,0,127,286,112,529,150,135,16,187,28,3,0,9,8,0,2,2
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Vrije Evangelische Gemeente,0381::SB2,,1507,1329,0,0,114,174,37,596,70,91,14,212,13,0,0,0,3,2,3,0
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Godelinde,0381::SB3,,1492,1214,0,0,112,223,64,418,117,85,21,148,17,2,0,5,1,0,0,1
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau de Hoeksteen,0381::SB4,,1470,1363,0,1,125,215,46,513,93,125,20,194,14,4,0,3,5,0,3,3
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Versa,0381::SB5,,1560,1235,0,3,73,232,80,336,160,167,7,131,24,1,2,12,7,1,1,1
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Fort Werk IV,0381::SB6,,1554,1145,0,5,90,230,95,275,156,117,21,132,18,3,0,3,3,0,0,2
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Patria,0381::SB7,,1675,1132,0,1,157,165,68,415,96,65,22,110,13,3,2,2,8,0,5,1
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Essen,0381::SB9,,1694,1390,1,4,188,247,109,342,168,119,34,125,31,8,1,9,6,0,1,2
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Trefpunt,0381::SB10,,1628,1182,3,0,148,238,119,264,175,87,20,96,14,9,0,7,5,0,0,0
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Breeduit,0381::SB11,,1555,1143,1,5,93,287,130,200,218,78,27,67,26,4,0,6,5,0,1,1
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Antonius Hof,0381::SB13,,1621,1153,2,3,148,232,150,163,205,88,51,70,27,5,1,3,6,0,1,3
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Mariënburg,0381::SB14,,1296,990,0,0,143,170,67,271,96,98,9,110,18,0,3,0,4,0,0,1
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Zandzee,0381::SB15,,1543,1285,2,0,121,228,64,481,105,76,28,160,12,3,0,2,2,0,2,1
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Koningin Emmaschool,0381::SB16,,1213,968,1,3,73,121,18,480,26,77,3,151,8,1,0,1,7,1,1,0
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Brandsmaschool,0381::SB17,,1518,1303,0,4,135,149,47,589,75,63,12,213,13,1,0,4,0,1,1,0
Haarlem,Bussum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Evang. Lutherse Kerk,0381::SB18,,913,658,3,1,47,103,36,255,28,53,9,112,11,0,0,0,3,1,0,0
