contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij
Zwolle,Deventer,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Het Stadhuis,0150::SB1,,1651,1582,2,2,83,390,143,271,80,245,44,278,31,1,1,4,2,1,0,3,5
Zwolle,Deventer,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Groote-en Voorster Gasthuis,0150::SB2,,1912,1475,0,4,89,393,133,279,97,194,24,219,29,3,0,8,4,0,0,1,2
Zwolle,Deventer,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Biljartcentrum De Dam,0150::SB3,,1286,1171,1,2,64,301,86,258,84,159,29,156,18,0,3,4,8,0,0,1,0
Zwolle,Deventer,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Buurthuis 't Hovenhuus,0150::SB4,,1764,1451,0,0,131,410,165,173,147,198,38,143,23,3,0,11,6,0,0,2,1
Zwolle,Deventer,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Basisschool Adwaita,0150::SB11,,1592,1039,2,0,72,287,126,149,131,125,32,86,19,1,0,8,2,0,0,1,0
Zwolle,Deventer,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Wijkcentrum De Zandbank,0150::SB12,,1573,1122,0,0,59,354,172,93,135,160,36,77,20,4,1,9,1,0,0,0,1
Zwolle,Deventer,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Partycentrum De Horst,0150::SB13,,1837,1479,0,0,110,428,145,194,112,227,46,186,24,0,0,4,2,0,0,0,1
Zwolle,Deventer,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Cees Wilkeshuisschool,0150::SB14,,2033,1507,0,3,93,457,205,189,260,127,31,99,21,4,0,13,5,0,0,0,3
Zwolle,Deventer,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Woon- en zorgcentrum St.Jurriën,0150::SB16,,1660,1000,0,0,95,297,117,114,153,71,28,82,23,3,0,11,3,0,1,1,1
Zwolle,Deventer,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Woon- en zorgcentrum Corel,0150::SB18,,926,598,2,2,91,174,58,102,65,37,15,41,8,2,0,1,3,0,0,0,1
Zwolle,Deventer,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Het Enkhuis,0150::SB20,,1552,844,2,3,28,299,113,66,128,107,9,67,17,1,0,5,0,2,1,0,1
Zwolle,Deventer,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Bolster/Montessorischool,0150::SB21,,1500,929,0,0,58,264,118,108,80,146,17,114,12,1,0,4,5,0,0,0,2
Zwolle,Deventer,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Basisschool Het Mozaiek,0150::SB23,,1584,1247,1,3,51,424,162,94,124,205,34,122,20,0,0,7,3,0,1,0,0
Zwolle,Deventer,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Poespas,0150::SB25,,1590,917,0,3,70,269,138,83,104,105,30,78,22,2,1,5,4,1,0,1,4
Zwolle,Deventer,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Basisschool De Kleine Planeet,0150::SB26,,1088,707,0,2,41,213,88,78,119,70,22,50,13,4,0,5,3,0,0,0,1
