contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij,19
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gemeentehuis,0232::SB1,,1148,1672,0,3,272,325,125,388,216,95,73,126,19,21,1,6,5,0,0,0,0,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dep.RSG NOV voorheen het Inzetburo,0232::SB2,,1356,984,0,6,123,220,98,200,154,63,43,56,10,8,0,3,3,0,0,3,0,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Openbare Basisschool Zuuk,0232::SB3,,783,523,0,1,71,82,29,140,93,19,30,18,2,30,1,6,1,0,0,1,0,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Bejaarden-/Zorgcentrum De Klaarbeek,0232::SB4,,1424,962,2,3,116,319,87,128,134,49,45,50,9,11,0,11,1,0,0,1,0,1
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Bejaarden-/Zorgcentrum De Boskamp,0232::SB5,,1351,1052,0,5,245,156,40,278,81,49,77,76,19,13,0,7,8,0,0,3,0,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Het Slath Siza Dorp Groep,0232::SB6,,1562,1104,4,4,170,175,86,351,105,47,53,61,22,20,0,5,4,0,0,2,0,3
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dir.Coop.Ver.Serviceflat Eper Veste,0232::SB7,,1364,999,2,2,138,174,40,408,90,34,18,71,10,10,0,3,3,0,0,0,0,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau S.V. Wissel,0232::SB8,,1044,800,0,0,101,96,37,319,90,29,18,65,23,13,0,6,3,0,0,0,0,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Wijkvereniging ""Burgerenk""",0232::SB9,,1282,958,0,0,97,304,99,118,189,51,31,44,7,13,0,2,2,0,0,0,1,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Hervormde Gemeente Sionskerk,0232::SB10,,1264,932,1,3,166,226,97,152,148,34,45,28,3,19,0,8,2,0,0,4,0,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Hezebrink,0232::SB12,,1079,938,0,1,110,166,53,209,173,29,60,44,12,65,0,12,4,0,0,0,1,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verenigingsgebouw De Hoeksteen,0232::SB13,,937,615,0,0,105,80,21,143,61,35,64,22,4,72,0,6,2,0,0,0,0,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Bijzondere Basisschool Oene,0232::SB14,,1170,985,0,0,254,101,35,151,79,14,171,26,10,140,1,1,0,1,0,0,0,1
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gereformeerde Tabernakel kerk,0232::SB15,,1004,922,0,0,197,142,44,281,86,43,40,58,2,18,1,3,5,1,0,0,1,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Groot Nieuwsgemeente,0232::SB16,,1225,785,1,3,116,172,54,147,122,53,33,58,13,13,0,2,1,0,0,1,0,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Speeltuin- / Buurtver. De Kouwenaar,0232::SB17,,1599,1012,0,3,107,300,144,114,184,54,43,30,13,13,0,7,2,0,0,0,1,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Wijkgebouw Triton,0232::SB18,,1474,1144,0,3,211,254,114,236,149,51,38,54,13,12,0,8,3,0,0,1,0,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Evangelisatiecentrum Woord en Daad,0232::SB19,,1480,1095,0,0,229,144,77,207,149,40,58,50,20,108,0,8,4,0,0,1,0,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Clubhuis Handbalvereniging C.V.O.,0232::SB20,,1973,1358,0,2,278,272,126,278,192,48,34,83,11,22,0,10,3,0,0,0,1,0
Arnhem,Epe,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Speulbrink,0232::SB21,,1233,1023,1,0,231,243,68,163,137,45,47,51,11,19,1,5,1,1,0,0,0,0
