contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij
Tilburg,Goirle,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gemeentehuis,0785::SB1,,1601,1489,5,1,247,270,240,272,208,105,10,97,23,1,0,8,4,0,0,2,2
Tilburg,Goirle,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zorgcentrum Thebe Elisabeth,0785::SB2,,1538,937,1,0,151,138,149,165,211,35,5,59,12,0,0,12,0,0,0,0,0
Tilburg,Goirle,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Zorgcentrum  ""Guldenakker""",0785::SB3,,1335,1154,1,1,207,237,189,140,238,61,4,56,11,0,0,7,1,0,0,3,0
Tilburg,Goirle,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau B.S. Open Hof,0785::SB4,,1403,976,1,0,92,213,152,209,98,82,6,108,7,0,0,6,1,1,0,1,0
Tilburg,Goirle,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau vml. Basisschool ""de Fonkelsteen""",0785::SB5,,1494,1181,5,1,102,222,242,227,205,63,10,84,7,0,0,9,6,0,1,2,1
Tilburg,Goirle,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Clublokaal van Postduivenvereniging,0785::SB6,,1182,855,2,2,138,144,99,220,102,55,4,75,8,2,0,7,0,0,0,1,0
Tilburg,Goirle,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Basisschool ""De Regenboog""",0785::SB7,,1973,1345,2,0,209,230,183,339,161,78,4,112,14,0,0,6,4,1,0,1,3
Tilburg,Goirle,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Basisschool ""de Bron""",0785::SB8,,1469,1126,1,3,113,195,149,290,194,56,4,86,22,0,0,12,1,0,0,4,0
Tilburg,Goirle,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Cultureel Centrum Jan van Besouw,0785::SB9,,1505,1089,2,1,161,237,171,182,171,62,1,78,14,0,0,9,0,2,0,0,1
Tilburg,Goirle,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sporthal De Wissel,0785::SB11,,960,733,3,1,81,143,90,181,111,41,2,71,7,0,0,5,1,0,0,0,0
Tilburg,Goirle,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Openbare Basisschool 't Schrijverke,0785::SB12,,1300,1058,0,0,120,182,127,296,160,57,7,85,11,0,0,13,0,0,0,0,0
Tilburg,Goirle,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Ontmoetingscentrum 'De Leybron',0785::SB13,,953,755,1,0,164,80,80,204,137,30,1,41,9,0,0,5,1,0,1,2,0
Tilburg,Goirle,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Basisschool 'de Vonder',0785::SB14,,1000,839,1,0,218,125,92,191,105,28,4,58,3,0,0,14,1,0,0,0,0
