contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Hal  Gemeentehuis,0530::SB1,,1085,1072,0,2,52,159,86,386,189,67,18,72,24,4,0,8,5,0,0,2,0
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Bezoekerscentrum Droogdok,0530::SB2,,1368,418,1,0,19,92,52,99,82,25,10,33,4,1,0,0,1,0,0,0,0
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau 't Schrijverke,0530::SB3,,1441,1283,2,0,110,306,112,265,285,70,18,70,22,9,0,9,1,3,1,1,1
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verpleeghuis Grootenhoek,0530::SB4,,1417,918,1,2,58,160,127,219,219,45,5,42,23,7,2,8,3,0,0,0,0
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau School De Wateringe,0530::SB5,,1188,903,0,5,78,200,99,187,205,45,10,47,16,4,0,9,3,0,0,0,0
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau School De Brug,0530::SB6,,1348,868,0,0,61,152,109,193,218,45,20,29,19,3,1,10,8,0,0,0,0
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sporthal De Eendraght,0530::SB7,,1299,1298,1,3,102,214,130,363,294,64,23,62,28,1,0,9,5,0,0,3,0
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Bureau Wijkbeheer,0530::SB8,,1253,947,0,2,62,160,127,228,196,67,22,50,19,3,0,8,3,0,1,1,0
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Bibliotheek,0530::SB9,,1298,936,0,2,68,193,106,196,243,53,14,36,13,3,0,7,2,0,0,1,1
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Woonzorgcentrum Voornesteyn,0530::SB10,,1266,918,1,1,78,191,81,173,244,41,15,62,17,2,0,8,1,1,0,1,3
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Schoollocatie Plataanlaan,0530::SB11,,1339,504,1,1,37,73,66,114,122,24,14,28,7,8,1,5,4,0,0,1,0
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau School De Brandaris,0530::SB12,,1264,1177,6,3,62,174,136,244,375,75,28,45,18,3,0,3,7,0,0,3,4
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau School De Houthoeffe,0530::SB13,,1337,1128,3,5,51,152,174,232,376,53,12,24,22,4,1,23,1,0,0,1,2
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau School De Kameleon,0530::SB14,,1278,642,3,1,40,112,83,108,195,40,14,18,13,3,0,15,1,0,0,0,0
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zuidwester,0530::SB15,,1325,756,2,2,42,108,115,151,240,34,14,23,16,0,0,7,5,0,0,0,1
Dordrecht,Hellevoetsluis,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau School De Regenboog,0530::SB16,,1390,370,1,0,35,38,42,81,93,31,23,15,6,0,0,1,2,2,0,1,0
