contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij
Maastricht,Horst aan de Maas,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gemeentehuis Horst a/d Maas (Horst),1507::SB1,,2516,1880,4,5,401,244,341,274,379,90,8,95,25,3,0,8,10,0,0,0,2
Maastricht,Horst aan de Maas,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verpleeghuis Elzenhorst (Horst),1507::SB2,,1928,1405,2,3,431,145,218,271,208,44,6,60,9,0,0,9,4,0,0,0,0
Maastricht,Horst aan de Maas,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau OJC Niks (Horst),1507::SB3,,2668,1939,1,2,358,276,419,269,365,90,5,114,17,0,1,15,7,0,1,1,1
Maastricht,Horst aan de Maas,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Lèste Geulde (Horst),1507::SB4,,1608,1267,0,2,331,177,180,169,272,52,6,53,8,0,1,8,4,2,0,1,3
Maastricht,Horst aan de Maas,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Parochiezaal St. Nobertus (Horst),1507::SB5,,903,720,1,0,218,81,101,97,152,33,1,26,5,0,0,4,0,0,0,1,1
Maastricht,Horst aan de Maas,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Woonz.compl. Aan de Brug (America),1507::SB6,,1620,1232,0,2,394,104,197,159,269,44,3,41,9,0,0,11,0,0,0,0,1
Maastricht,Horst aan de Maas,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gem.huis 'De Zaal' (Griendtsveen),1507::SB7,,418,323,0,0,57,36,64,58,68,17,2,13,2,0,0,5,0,0,0,1,0
Maastricht,Horst aan de Maas,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau  Zaal Debije (Hegelsom),1507::SB8,,1448,1048,1,1,351,98,149,159,199,31,4,36,7,0,0,8,4,0,0,0,2
Maastricht,Horst aan de Maas,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau MFC de Zwingel (Melderslo),1507::SB9,,1509,1142,0,1,318,75,156,170,330,34,4,32,6,0,0,11,4,0,0,2,0
Maastricht,Horst aan de Maas,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gem. huis 'De Meulewiek' (Meterik),1507::SB10,,1119,910,0,0,332,56,127,121,180,36,7,31,11,0,0,7,2,0,0,0,0
