contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij
Leiden,Leiderdorp,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gemeentehuis,0547::SB1,,1870,1841,3,3,237,379,157,434,253,123,41,160,29,9,0,6,8,0,1,1,3
Leiden,Leiderdorp,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gebouw Irene,0547::SB2,,1870,1656,0,0,202,308,99,420,173,152,42,178,29,37,0,5,7,0,0,3,1
Leiden,Leiderdorp,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zwembad De Does,0547::SB3,,1923,1513,1,3,193,240,76,489,177,102,15,175,18,12,0,8,0,2,0,4,2
Leiden,Leiderdorp,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Bibliotheek BC+ in de Sterrentuin,0547::SB4,,1786,1663,2,3,214,314,111,421,206,131,53,151,27,21,0,9,0,0,0,3,2
Leiden,Leiderdorp,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Pr. Willem Alexanderschool,0547::SB5,,2101,1600,1,3,175,332,100,372,230,139,40,153,18,26,0,6,5,0,0,1,3
Leiden,Leiderdorp,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Basisschool De Hobbit,0547::SB6,,1802,1282,0,2,126,236,131,307,185,88,22,153,21,6,0,3,0,0,0,0,4
Leiden,Leiderdorp,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Basisschool De Driemaster,0547::SB7,,1522,892,1,0,93,188,115,162,159,67,20,59,17,6,0,4,0,0,1,1,0
Leiden,Leiderdorp,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Basisschool De Schakel,0547::SB8,,1726,1347,0,0,191,237,79,399,125,97,29,164,6,7,0,6,3,0,0,0,4
Leiden,Leiderdorp,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Hasselbraam,0547::SB9,,1758,1319,1,2,137,260,108,290,165,120,25,166,24,8,0,7,4,0,2,1,2
Leiden,Leiderdorp,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Buurtcentrum De Buit,0547::SB10,,1778,1597,2,0,166,292,143,442,223,113,25,161,17,4,0,7,2,0,0,2,0
Leiden,Leiderdorp,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Kindercentrum Ziezo,0547::SB11,,1889,1434,2,4,124,240,74,495,222,91,22,130,17,2,0,6,2,0,1,6,2
