contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij,19
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Cultureel Centrum de Kinkel 1,1705::SB9,,1743,1903,2,6,333,325,206,466,269,131,12,137,12,0,0,5,2,1,0,2,2,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis Angeren,1705::SB10,,1183,1196,1,1,313,167,149,238,182,61,3,64,11,0,0,4,2,0,1,0,0,1
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zorgcentr. Betuweland loc.Liduina 1,1705::SB11,,1640,915,1,5,173,197,88,180,132,44,8,68,14,1,0,8,1,0,0,0,1,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zorgcentr. Betuweland  Sancta Maria,1705::SB12,,2025,1369,1,0,302,217,134,307,203,81,16,83,15,0,0,6,4,0,0,0,0,1
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Valom 1,1705::SB13,,2084,1397,3,2,295,179,117,387,237,60,7,91,6,2,0,5,3,1,0,5,0,2
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Valom 2,1705::SB14,,1736,1535,1,4,340,220,135,410,230,64,8,95,21,1,0,6,1,1,0,3,0,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau St. Antoniuskapel,1705::SB15,,1840,1435,0,0,235,256,151,329,251,92,10,89,12,2,0,6,2,0,0,0,0,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Basisschool De Abacus,1705::SB16,,1906,1617,0,0,172,312,206,310,266,165,19,127,14,5,0,11,5,1,1,1,2,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sociaal Cultureel Centrum 1,1705::SB17,,1690,1814,0,0,160,353,204,458,302,144,17,124,30,4,0,6,8,1,1,1,1,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sociaal Cultureel Centrum 2,1705::SB18,,2671,1917,3,1,181,414,231,390,303,179,25,153,23,3,0,7,5,0,0,2,1,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Ontmoetingscentrum Doornenburg 1,1705::SB20,,1177,797,1,1,177,150,91,155,127,32,7,48,4,1,0,2,1,0,0,2,0,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Cultureel centrum de Kinkel 2,1705::SB21,,1121,1940,1,4,305,302,226,524,272,125,12,147,8,1,0,12,3,0,0,2,1,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Cultureel Centrum de Kinkel 3,1705::SB22,,1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis de Tichel,1705::SB23,,2479,1214,1,3,220,170,159,276,274,42,5,54,7,0,0,5,0,0,1,1,0,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Herberg de Ploeg,1705::SB24,,954,438,1,1,107,54,56,86,77,22,5,19,8,0,0,4,0,0,0,0,0,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Ontmoetingscentrum Doornenburg 2,1705::SB25,,967,831,1,1,146,166,105,149,155,51,1,45,5,0,0,6,0,0,0,1,0,1
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Junior College OBC,1705::SB26,,1001,1090,0,0,148,181,98,303,161,74,6,96,7,0,0,8,7,0,0,1,0,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zorgcentr. Betuweland loc.Liduina 2,1705::SB27,,1210,1241,2,0,266,238,127,252,143,83,9,94,13,1,0,7,4,1,0,2,1,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Leemhof,1705::SB28,,1026,1151,1,1,224,177,139,256,208,64,8,48,15,0,0,5,3,0,0,3,1,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zaal Boerstal,1705::SB29,,1002,858,2,3,163,181,131,117,161,39,7,46,4,2,0,4,3,0,0,0,0,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Basisschool de Tichelaar,1705::SB30,,1268,516,1,0,97,93,55,127,75,31,2,33,1,0,0,2,0,0,0,0,0,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zorgcentrum St. Jozef,1705::SB36,,1134,679,1,1,152,142,108,116,93,24,2,24,14,0,0,2,0,0,1,0,1,0
Arnhem,Lingewaard,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zaal Tinneveld,1705::SB37,,1127,961,2,4,167,182,124,195,151,55,2,59,16,1,0,8,1,0,0,0,0,0
