contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij
Maastricht,Maastricht,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Stadhuis, Merretkamer",0935::SB1,,3084,1589,1,2,118,318,116,392,160,210,10,228,18,1,0,6,8,0,0,0,4
Maastricht,Maastricht,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Stadhuis, Merretkamer",0935::SB3,,0,1484,4,4,114,298,131,340,195,164,12,188,25,4,0,8,3,0,1,0,1
Maastricht,Maastricht,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Muziekschool Kumulus,0935::SB4,,1912,1173,3,0,100,277,117,218,152,116,6,140,24,1,0,4,8,2,1,2,5
Maastricht,Maastricht,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Klooster Zusters onder de Bogen,0935::SB5,,1112,859,0,2,248,114,52,184,53,55,21,114,10,0,0,1,3,0,0,1,3
Maastricht,Maastricht,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gemeenschapshuis De Lètterdoes,0935::SB6,,1591,850,2,1,57,215,120,60,265,63,1,48,9,0,0,10,0,0,0,0,2
Maastricht,Maastricht,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Kumulus West,0935::SB7,,1566,923,0,2,73,247,93,146,124,106,1,97,18,4,0,6,5,0,1,2,0
Maastricht,Maastricht,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Vivre locatie Koepelhof,0935::SB8,,1555,1107,3,3,177,232,93,192,142,124,8,116,11,1,0,3,5,0,0,1,2
Maastricht,Maastricht,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Vivre locatie Klevarie,0935::SB9,,1285,828,0,6,139,150,53,156,154,56,4,86,18,3,0,7,1,0,0,0,1
Maastricht,Maastricht,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Centre Ceramique,0935::SB10,,3195,2459,14,4,329,450,130,644,262,239,17,336,29,2,2,8,7,0,1,1,2
Maastricht,Maastricht,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Vivre locatie Molenhof,0935::SB11,,1181,847,2,1,112,187,61,225,58,68,6,110,14,0,1,2,2,1,0,0,0
Maastricht,Maastricht,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Wijkcombinatiegebouw La Bellettsa,0935::SB12,,1953,1113,3,3,61,304,140,105,346,62,4,62,18,0,0,6,5,0,0,0,0
Maastricht,Maastricht,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Buurtcentrum Sint Pieter,0935::SB13,,1027,997,3,2,150,207,42,290,66,88,4,128,14,1,0,2,3,1,0,0,1
Maastricht,Maastricht,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Bernard Lievegoed School,0935::SB14,,1459,1133,1,0,147,249,132,165,153,135,8,97,26,0,0,10,11,0,0,0,0
Maastricht,Maastricht,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Pieterkelderke,0935::SB15,,1279,912,0,1,142,186,54,194,90,90,6,133,12,0,0,1,4,0,0,0,0
Maastricht,Maastricht,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Stichting Moetiara Maloekoe,0935::SB16,,1882,1010,0,1,64,242,165,81,276,72,26,47,15,0,2,13,3,0,0,1,3
