contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij,19
Leeuwarden,Menaldumadeel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Menaam 1,0083::SB1,,1194,1036,1,0,175,291,125,182,106,62,35,49,5,1,1,2,0,0,0,2,0
Leeuwarden,Menaldumadeel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dronryp 1,0083::SB2,,1426,1224,2,1,223,314,104,272,84,88,39,86,5,3,0,2,1,1,0,2,0
Leeuwarden,Menaldumadeel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dronryp 2,0083::SB3,,1082,750,0,0,146,212,86,107,81,46,20,35,6,3,1,2,3,0,1,1,0
Leeuwarden,Menaldumadeel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Berltsum 1,0083::SB4,,1038,817,0,4,230,151,114,111,101,32,36,29,4,6,0,2,0,0,0,0,1
Leeuwarden,Menaldumadeel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Berltsum 2,0083::SB5,,869,625,0,1,168,122,74,96,82,34,23,19,3,1,0,2,1,0,0,0,0
Leeuwarden,Menaldumadeel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Bitgum,0083::SB6,,615,453,1,0,76,122,61,74,66,25,13,8,4,2,0,1,0,0,1,0,0
Leeuwarden,Menaldumadeel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Bitgummole,0083::SB7,,718,558,1,1,137,112,89,70,54,33,26,15,13,3,0,3,1,0,0,1,1
Leeuwarden,Menaldumadeel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Marsum,0083::SB8,,869,667,1,1,32,259,73,109,88,41,14,34,10,2,0,2,2,0,1,0,0
Leeuwarden,Menaldumadeel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Deinum,0083::SB9,,764,666,2,0,111,212,76,88,59,55,15,30,15,3,0,2,0,0,0,0,0
Leeuwarden,Menaldumadeel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Skingen,0083::SB10,,145,124,0,0,12,42,12,23,10,19,0,5,0,0,0,0,1,0,0,0,0
Leeuwarden,Menaldumadeel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Wier,0083::SB11,,165,136,0,0,17,41,9,30,24,7,0,5,1,1,1,0,0,0,0,0,0
Leeuwarden,Menaldumadeel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Ingelum,0083::SB12,,304,258,0,0,48,83,34,24,31,14,10,4,4,2,0,2,2,0,0,0,0
Leeuwarden,Menaldumadeel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Boksum,0083::SB13,,387,314,0,0,62,89,43,36,26,23,11,20,4,0,0,0,0,0,0,0,0
Leeuwarden,Menaldumadeel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Menaam 2,0083::SB14,,928,621,0,2,129,194,85,76,53,29,24,25,1,1,0,0,3,0,0,1,0
