contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Westhoek,1709::SB1,,1106,881,0,1,205,103,74,230,128,43,27,42,23,0,0,4,2,0,0,0,0
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sancta Maria,1709::SB2,,1055,724,1,1,148,138,95,144,90,34,12,39,17,0,0,4,1,0,1,0,1
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Kruisgebouw,1709::SB3,,1220,762,0,1,134,146,112,83,182,26,15,27,22,1,1,12,0,0,0,1,0
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Steunpunt De Donk,1709::SB4,,1390,874,0,0,97,160,162,127,191,39,22,48,13,1,0,10,2,0,0,1,1
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau RK Basisschool De Arenberg,1709::SB5,,1403,844,0,0,89,127,158,175,190,30,24,30,13,0,0,5,3,0,0,0,0
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Openbare Basisschool De Boemerang,1709::SB6,,1417,1059,1,1,113,178,167,236,191,56,24,66,12,1,0,8,6,0,0,0,1
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sportgezondheidscentrum Zevenbergen,1709::SB7,,1148,505,0,2,65,88,69,117,94,28,9,26,4,0,0,3,2,0,0,0,0
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sportplaza Moerdijk De Kristal,1709::SB8,,1083,1281,0,2,131,175,152,441,199,47,18,86,16,2,0,9,3,0,0,2,0
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Restaurant LOC 23,1709::SB9,,992,866,1,4,172,95,70,284,136,31,8,51,11,3,0,2,2,0,0,1,0
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Ons Stedeke,1709::SB10,,682,514,1,0,108,45,56,111,118,28,2,25,10,1,0,8,1,0,0,0,1
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Zevensprong,1709::SB11,,1296,888,0,0,191,116,104,180,183,37,5,37,13,3,0,16,1,0,1,0,1
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Mauritshof,1709::SB12,,1438,1123,2,0,256,119,127,230,174,41,100,37,14,20,0,5,0,0,0,0,0
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Niervaert,1709::SB13,,1415,914,0,1,188,117,129,120,205,42,49,22,14,12,0,14,0,0,1,0,1
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Parochiehuis,1709::SB14,,1491,1102,0,0,248,102,116,251,149,47,94,55,10,10,0,13,7,0,0,0,0
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Ankerkuil,1709::SB15,,913,599,0,0,81,57,87,111,194,22,9,17,9,1,1,10,0,0,0,0,0
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau GSch.huis Noordhoek,1709::SB16,,848,624,0,0,120,52,68,200,119,15,4,37,6,0,0,2,1,0,0,0,0
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Blomhof,1709::SB17,,1686,1248,0,2,181,167,163,294,276,66,6,62,15,1,0,10,3,0,0,3,1
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Mauritshuis,1709::SB18,,1710,1463,2,1,283,198,99,477,143,79,42,109,21,3,0,4,4,0,0,0,1
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Blokhut,1709::SB19,,694,496,3,1,63,93,81,89,102,20,9,25,10,0,0,4,0,0,0,0,0
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Parel,1709::SB20,,1517,1230,1,1,212,201,181,246,254,48,18,34,17,3,0,10,2,0,0,0,4
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Fendertshof,1709::SB21,,1077,731,0,0,176,110,113,131,111,31,16,20,8,6,0,9,0,0,0,0,0
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Openbare Basisschool De Springplank,1709::SB22,,1231,896,1,0,127,158,135,178,204,21,22,21,11,2,0,11,3,0,0,1,2
Tilburg,Moerdijk,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Pestalozzihuis,1709::SB23,,858,594,0,0,67,103,90,126,116,32,10,28,14,3,0,4,1,0,0,0,0
