contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij,19
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Beetsterzwaag, Gemeentehuis",0086::SB1,,1540,1124,1,0,153,363,97,193,76,107,40,66,15,1,0,1,11,0,0,1,0
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Beetsterzwaag, Dorpshuis",0086::SB2,,1374,1179,2,0,170,368,123,201,56,111,52,80,8,0,0,5,4,0,1,0,0
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Bakkeveen, It Ankerplak",0086::SB3,,1444,1187,0,1,209,310,140,197,134,73,43,44,16,9,0,4,6,0,1,0,1
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Frieschepalen, De Dobber",0086::SB4,,734,603,2,1,152,101,33,60,42,26,148,8,2,23,3,3,0,0,0,1,1
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gorredijk, De Miente",0086::SB5,,1448,1009,0,2,104,354,102,194,96,72,24,47,5,1,1,1,6,0,0,1,1
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gorredijk, De Skâns",0086::SB6,,1608,1261,2,0,113,356,212,214,166,71,33,52,14,7,0,13,5,0,1,4,0
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gorredijk, R.K.-kerk",0086::SB7,,1293,809,0,1,67,316,126,74,128,33,19,22,11,1,0,5,5,1,1,0,0
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Hemrik, Dorpshuis",0086::SB8,,562,464,0,0,70,107,53,99,48,40,14,22,5,0,0,3,2,0,0,0,1
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Langezwaag, consistorie N.H.-kerk",0086::SB9,,1181,902,0,1,79,260,116,188,111,58,19,53,8,0,0,3,5,0,1,1,0
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Lippenhuizen, Dorpshuis",0086::SB10,,1018,780,0,0,68,222,98,168,71,62,21,53,7,2,0,1,5,1,0,1,0
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Nij Beets, Dorpshuis",0086::SB11,,1272,980,0,0,204,224,136,119,62,72,94,47,9,6,0,0,5,0,1,1,0
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Siegerswoude, Dorpshuis",0086::SB12,,633,505,1,1,141,80,26,83,39,32,67,11,7,15,0,1,3,0,0,0,0
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Terwispel, Dorpshuis",0086::SB13,,762,600,0,0,43,207,86,89,69,47,12,31,7,0,0,3,5,0,1,0,0
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Tijnje, Dorpshuis",0086::SB14,,1267,987,2,0,150,247,161,180,92,76,17,35,8,7,0,8,4,0,1,1,0
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Ureterp, Geref. kerk Mounestrjitte",0086::SB15,,1863,1514,0,2,314,297,126,147,113,45,363,53,5,34,0,4,6,0,1,2,4
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Ureterp, De Lijte",0086::SB16,,1774,1379,1,1,250,342,138,132,111,49,279,47,9,14,0,3,5,0,0,0,0
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Wijnjewoude, MFC de Swingel",0086::SB17,,1553,1148,0,1,280,270,82,156,108,75,87,45,11,16,0,5,11,0,0,1,1
Leeuwarden,Opsterland,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau Gorredijk, Ontmoetingskerk",0086::SB18,,1493,1165,0,0,137,330,139,252,109,94,24,60,9,1,0,4,5,0,1,0,0
