contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij,19
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gemeentehuis,0047::SB1,,1151,1017,0,1,95,327,102,199,142,47,35,39,16,5,0,5,5,0,0,0,0
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Cultuurcentrum van Beresteyn,0047::SB2,,1423,1125,0,0,94,384,161,131,154,64,49,60,8,5,0,10,2,0,1,1,1
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Wooncentrum Nieuw Buitenwoel,0047::SB3,,1157,752,0,3,91,245,79,109,103,40,31,31,11,2,0,8,1,0,1,0,0
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Huize St Franciscus,0047::SB4,,1196,821,0,0,89,266,84,153,98,50,36,34,6,2,0,1,2,0,0,0,0
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Woonzorgcentrum A.G. Wildervanck,0047::SB5,,1357,968,1,1,71,362,120,157,137,54,17,31,13,1,1,3,1,0,0,0,0
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verpleeghuis Meander,0047::SB6,,818,439,0,1,57,130,51,63,61,29,16,20,6,0,2,2,1,0,0,1,0
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zorglokatie Meander: De Breehorn,0047::SB7,,1188,788,0,6,64,289,106,69,111,46,40,29,15,7,2,6,2,0,1,1,0
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Wijkcentrum Dukdalf 1,0047::SB8,,988,822,1,1,56,277,119,97,126,36,40,48,16,2,0,2,0,0,0,0,3
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Wijkcentrum Dukdalf 2,0047::SB9,,801,585,2,0,48,207,82,63,71,39,16,47,5,1,0,4,1,0,0,0,1
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau O.B.S. de Viermaster,0047::SB10,,1216,909,0,0,63,294,132,132,140,56,28,35,16,0,0,11,2,0,0,0,0
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Woon en zorgcentrum Westerhave,0047::SB11,,1550,1085,3,0,95,346,106,238,148,52,22,56,11,1,0,6,4,0,0,0,0
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Bijleveldcentrum,0047::SB12,,1280,945,0,4,96,267,114,136,139,57,40,62,13,2,1,12,1,0,1,3,1
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau O.B.S. de Sleutel,0047::SB13,,1412,898,0,1,60,225,145,119,211,58,26,27,20,0,0,6,0,0,1,0,0
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis de Molenwiek,0047::SB14,,1315,916,4,1,70,267,146,140,177,34,16,34,19,4,0,5,1,1,1,1,0
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Woonzorgcomplex De Meridiaan 1,0047::SB15,,1181,776,0,1,29,296,123,82,143,29,15,29,23,2,0,3,1,0,1,0,0
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Woonzorgcomplex De Meridiaan 2,0047::SB16,,1113,695,0,5,57,258,98,59,129,24,23,15,25,2,0,3,2,0,0,0,0
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Buurtcentrum Middenweg,0047::SB17,,1010,637,0,1,38,205,105,47,149,41,19,16,9,0,0,6,0,1,1,0,0
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau O.S.G. Winkler Prins,0047::SB18,,1513,1254,1,2,107,376,173,254,151,53,46,72,16,2,0,1,1,2,0,0,0
Groningen,Veendam,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Cafe-rest. de Leeuw,0047::SB19,,349,299,2,1,20,75,28,77,28,30,11,21,4,0,0,2,2,0,0,1,0
