contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Heel NL,Partij één,17,Piratenpartij
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Stadhuis Veghel,0860::SB1,,1188,1343,0,3,366,191,175,292,155,52,5,79,13,2,0,7,4,0,0,2,0
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dienstencentrum De Peppelhof,0860::SB2,,1515,773,0,1,217,101,104,164,83,42,1,43,6,0,1,9,0,0,2,0,0
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Wijkgebouw De Bloemfontein,0860::SB3,,1288,759,1,3,92,151,157,110,160,30,1,36,12,2,0,5,1,0,0,1,1
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zorgcentrum Joachim en Anna,0860::SB4,,1213,1135,2,1,365,151,130,245,108,54,12,57,8,0,0,2,2,0,0,0,1
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Wijkgebouw De Magneet,0860::SB5,,1436,1018,2,5,70,239,210,164,168,71,2,74,16,0,1,2,0,0,0,0,1
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Zorgcentrum AAtrium,0860::SB6,,1372,1201,2,3,197,211,204,209,209,66,8,68,19,0,0,5,3,1,0,0,1
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verenigingslokaal Het Baken,0860::SB7,,1048,453,1,0,70,87,74,98,82,17,2,15,6,0,0,2,0,0,0,0,0
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Wijkgebouw De Golfstroom,0860::SB8,,1283,776,3,2,118,186,139,84,150,42,2,40,8,0,0,5,1,1,0,0,0
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Basisschool De Uilenbrink,0860::SB9,,1367,1141,0,1,129,148,146,371,170,51,7,98,13,0,0,7,1,0,0,0,0
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Verpleegtehuis de Watersteeg,0860::SB10,,1145,1043,0,3,172,183,155,213,145,68,5,72,14,0,0,8,6,0,0,0,2
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Wijkgebouw De Spil,0860::SB11,,1057,889,1,1,70,208,159,146,151,50,8,71,15,0,0,8,2,0,0,0,1
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Basisschool  't Heibosch,0860::SB12,,1247,1083,1,0,140,151,163,258,176,74,7,89,15,0,0,7,2,0,1,0,0
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Fioretti College,0860::SB13,,1203,683,0,0,89,112,91,162,120,43,3,46,9,0,0,4,2,0,0,1,1
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau M.F.C. De Hintel ('t Ven West),0860::SB14,,1451,997,1,0,112,116,111,344,181,50,4,59,9,2,0,6,1,0,0,2,0
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau M.F.C. De Hintel ('t Ven Oost),0860::SB15,,1343,853,0,0,116,101,81,309,127,42,5,53,7,0,0,7,4,0,0,1,0
's-Hertogenbosch,Veghel,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gemeenschapshuis D'n Brak,0860::SB16,,1258,941,1,0,309,77,125,250,103,30,4,30,5,0,0,3,3,0,0,2,0
