contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,PVV (Partij voor de Vrijheid),GROENLINKS,ChristenUnie,Democraten 66 (D66),Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),Nieuw Nederland,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Partij één,17,Piratenpartij,19
Groningen,Winsum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Gemeentehuis Winsum,0053::SB1,,781,583,1,1,132,162,38,79,25,57,52,23,1,7,0,2,2,0,0,2,1
Groningen,Winsum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Winkheem,0053::SB2,,847,630,0,0,147,185,60,73,33,31,46,29,13,8,0,0,2,0,0,2,1
Groningen,Winsum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sportschool Veldwijk,0053::SB3,,1117,1075,1,1,191,264,89,174,58,71,130,71,12,11,0,2,1,0,0,0,1
Groningen,Winsum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis Agricola,0053::SB4,,888,889,0,2,143,241,84,133,70,62,91,39,17,2,0,3,3,0,0,1,0
Groningen,Winsum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Wessel Gansfortcollege,0053::SB5,,1056,1006,1,1,129,288,112,113,93,67,132,42,8,9,0,3,5,0,2,3,0
Groningen,Winsum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau De Hoogte Zalenverhuur,0053::SB6,,859,791,0,2,77,298,75,81,67,65,74,39,9,0,0,1,2,0,0,3,0
Groningen,Winsum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Sporthal Ripperdahal,0053::SB7,,1018,645,0,1,85,199,73,50,46,79,61,38,7,4,0,1,2,0,0,0,0
Groningen,Winsum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau ""Op Streek""",0053::SB8,,426,342,0,0,29,108,50,43,36,44,2,15,7,5,0,0,3,0,0,0,0
Groningen,Winsum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Dorpshuis Schleurholtshuus,0053::SB9,,944,730,2,1,116,183,76,112,74,95,18,30,13,3,1,3,4,0,2,0,0
Groningen,Winsum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Viskenij Wooncentrum,0053::SB10,,875,520,0,0,134,137,75,40,37,28,48,15,4,0,0,1,1,0,0,0,0
Groningen,Winsum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,Stembureau Kromme Akkers,0053::SB11,,382,322,1,1,27,85,20,37,29,67,10,29,10,5,1,1,1,0,0,0,0
Groningen,Winsum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau ""Ubbegaheem""",0053::SB12,,948,817,0,1,182,136,75,70,52,89,152,40,7,7,0,3,4,0,0,0,0
Groningen,Winsum,TK2010,Tweede Kamer der Staten-Generaal 2010,,,2010-06-09,"Stembureau ""Artharpe""",0053::SB13,,494,430,0,0,41,143,38,63,37,63,11,23,3,3,0,2,2,0,1,0,0
