contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis Gieten,1680::SB1,9461 BH,1337,1299,0,1,438,452,52,71,75,135,22,14,1,23,0,1,0,0,2,13,0,0,0,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Openbare basisschool Gieten,1680::SB2,9460 AB,1412,1022,0,2,293,384,59,43,102,88,21,9,0,7,2,0,0,0,0,12,1,0,1,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum 'Dekelhem' (Gieten),1680::SB3,9461 JA,1331,1061,3,3,252,483,55,71,75,54,16,13,1,16,0,4,0,0,3,17,0,0,1,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Ontmoetingscentrum Boerhoorn Rolde,1680::SB4,9451 KD,1758,1667,2,1,551,604,75,100,66,135,52,21,5,25,3,2,0,0,1,23,0,0,4,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum 'Hendrik Kok' (Rolde),1680::SB5,9451 CT,2036,1246,2,1,349,486,76,75,94,75,28,18,3,12,1,5,0,0,1,18,0,0,3,2
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis 'De Eekhof' (Ekehaar),1680::SB6,9454 PL,432,379,0,0,164,105,9,29,18,25,8,7,2,7,1,2,0,0,0,2,0,0,0,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Het Markehuis (Grolloo),1680::SB7,9444 XE,913,797,0,0,342,215,57,37,42,54,10,6,6,12,1,1,0,0,1,12,0,0,1,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Gasselte,1680::SB8,9462 RH,1469,1207,1,2,345,465,79,50,101,84,15,11,0,30,0,5,1,0,1,20,0,0,0,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis 't Roem Gasselternijveen,1680::SB9,9514 CA,1517,1152,0,4,187,495,121,67,137,52,13,21,5,21,5,6,0,0,0,16,0,0,4,2
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Gasselternijveenschemond,1680::SB10,9515 PE,567,435,1,0,84,153,42,42,47,16,6,18,8,10,1,0,0,0,0,8,0,0,0,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Ous Hoes (Gieterveen),1680::SB11,9511 PM,752,597,0,0,158,214,34,50,55,47,4,11,3,9,1,2,0,0,1,6,0,0,1,1
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis De Kiep Eexterveenscheka.,1680::SB12,9659 PL,397,263,0,0,51,105,38,8,32,7,6,3,0,4,0,1,0,0,2,5,0,0,0,1
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Multifunctioneel centrum De Badde,1680::SB13,9654 PP,333,265,0,0,42,103,23,2,48,17,8,6,0,10,0,0,1,0,0,2,0,0,3,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemschapshuis De Spiker N-Annerveen,1680::SB14,9657 PD,317,257,0,1,73,88,18,7,32,22,3,3,0,7,0,0,0,1,1,2,0,0,0,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis 't Achterhoes Eexterveen,1680::SB15,9658 PH,448,358,0,0,126,120,15,10,19,27,7,6,2,19,1,1,1,0,0,3,0,1,0,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Annen,1680::SB16,9468 BG,1358,1157,1,1,336,445,54,55,85,93,27,18,1,19,4,2,0,2,3,13,0,0,0,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Verzorgingstehuis 't Holthuys Annen,1680::SB17,9468 HG,1479,1124,2,3,287,448,68,53,97,84,27,13,0,16,5,4,0,0,1,21,0,0,0,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Schipborg,1680::SB18,9469 PE,486,413,0,0,135,105,23,33,31,33,11,27,6,6,0,1,0,0,0,2,0,0,0,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau St.Welzijn Aa en Hunze (Eext),1680::SB19,9463 PP,1099,852,1,0,272,296,44,30,89,60,27,0,1,18,2,1,0,1,1,8,0,0,1,1
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis De Gasterije (Gasteren),1680::SB20,9466 PL,346,287,2,2,84,101,18,2,23,31,12,6,2,5,0,1,0,0,0,2,0,0,0,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeenschapshuis Oes Stee (Anderen),1680::SB21,9465 TS,208,187,0,0,69,64,2,7,13,11,14,0,0,4,1,0,0,0,1,0,0,0,1,0
Assen,Aa en Hunze,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Openbare Basisschool Anloo,1680::SB22,9467 PH,378,317,1,0,87,132,28,8,19,20,7,1,0,10,1,1,0,0,0,2,1,0,0,0
