contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Utrecht,Baarn,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis Baarn ing Laanstraat 1,0308::SB1,3743 BA,1408,1398,3,3,554,238,88,121,60,180,46,42,13,22,4,6,0,2,1,17,0,1,3,0
Utrecht,Baarn,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum Schoonoord,0308::SB2,3742 AB,1826,1376,0,0,462,284,102,135,90,142,41,47,10,30,2,1,0,1,1,26,0,0,1,1
Utrecht,Baarn,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Maria Koningin Kerk,0308::SB3,3742 XM,1345,1020,0,0,269,262,98,54,91,106,39,41,14,21,3,0,0,1,1,16,1,1,0,2
Utrecht,Baarn,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Guido de Bresschool ing Maatkampweg,0308::SB4,3742 TG,1245,980,1,0,272,227,110,65,79,90,26,49,17,22,3,1,0,0,1,17,0,1,0,0
Utrecht,Baarn,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gebouw ""De Pool""",0308::SB5,3742 RL,1162,801,0,2,185,248,113,32,80,40,21,31,4,15,4,2,0,1,0,19,1,1,2,2
Utrecht,Baarn,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gebouw Elan,0308::SB6,3742 SJ,1464,980,5,2,341,192,81,68,62,114,19,38,13,27,3,1,0,1,1,18,0,0,0,1
Utrecht,Baarn,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Waldheim MAVO,0308::SB7,3742 CS,1206,952,1,1,486,100,27,100,18,136,18,33,6,13,1,3,0,1,0,8,0,0,2,0
Utrecht,Baarn,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gebouw Brandpunt,0308::SB8,3743 KN,1202,1013,0,0,515,126,24,69,32,156,22,27,11,16,4,2,0,0,0,7,0,0,1,1
Utrecht,Baarn,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Rest. Greenfield's ingang Chopinln,0308::SB9,3741 GS,1857,1040,2,2,522,117,43,91,34,106,28,41,16,23,1,0,0,0,0,17,0,0,1,0
Utrecht,Baarn,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Dorpshuis ""de Furs""",0308::SB10,3749 AA,378,283,3,1,125,50,12,24,11,18,14,2,12,10,2,1,0,1,0,1,0,0,0,0
Utrecht,Baarn,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Verzorgingstehuis ""De Blinkert""",0308::SB11,3741 BE,1371,1003,1,2,286,233,92,89,59,78,33,48,16,26,7,2,0,1,0,31,0,0,2,0
Utrecht,Baarn,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Brandweerkazerne,0308::SB12,3741 WE,1613,1360,3,4,436,309,110,92,72,162,46,47,14,26,7,1,1,4,0,28,0,1,4,0
Utrecht,Baarn,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Woon- en zorgcentrum ""Santvoorde""",0308::SB13,3741 VJ,1430,1020,0,4,279,236,132,89,76,67,16,45,11,26,4,3,0,2,1,33,0,0,0,0
Utrecht,Baarn,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Speeldoos,0308::SB14,3741 TA,1420,1157,3,3,378,221,91,91,85,130,50,38,11,33,6,6,0,0,2,11,0,0,3,1
Utrecht,Baarn,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau stembureau NS station,0308::SB15,3743 KM,0,192,2,0,44,47,4,7,17,45,8,8,0,4,1,0,0,0,0,5,0,0,2,0
