contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Cult. Centr. 'De Drie Lelies', Puttershoek",0585::SB1,,1619,1321,1,2,304,348,158,109,111,59,23,25,121,26,5,3,0,1,0,22,0,0,3,3
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Obs 'Het Driespan', Puttershoek",0585::SB2,,1471,1182,1,3,307,278,159,72,96,68,10,48,95,18,4,2,0,0,4,17,0,1,2,1
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Trivalent loc. 't Huys te Hoecke', Puttershoek",0585::SB3,,1235,952,1,2,243,243,116,100,69,31,10,43,61,13,1,1,0,0,0,18,0,0,2,1
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Dienstencentrum 't Weegje, 's-Gravendeel",0585::SB4,,1239,1055,2,2,243,238,109,153,58,42,4,72,87,19,1,2,0,0,4,20,0,1,2,0
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Partycentr. Concordia, 's-Gravendeel",0585::SB5,,1269,813,0,2,203,187,107,85,44,25,8,52,65,23,1,1,0,0,1,10,1,0,0,0
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Obs. 'De Schelf', 's-Gravendeel",0585::SB6,,1324,1013,3,1,216,242,128,120,80,37,11,66,78,15,1,2,0,0,0,14,0,1,1,1
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Sporthal De Schenkel, 's-Gravendeel",0585::SB7,,1217,754,2,4,232,115,74,96,61,34,10,59,51,12,1,1,0,0,0,6,0,0,1,1
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Buurthuis 'Ronduit', 's-Gravendeel",0585::SB8,,466,365,0,1,120,52,58,28,43,11,5,15,12,11,2,0,0,0,0,7,0,1,0,0
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Bibliotheek Hoeksche Waard, 's-Gravendeel",0585::SB9,,1324,1330,1,1,383,300,133,162,66,50,9,84,87,26,2,1,1,0,2,22,0,0,0,2
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Burg. van Bommelschool, Heinenoord",0585::SB10,,734,581,1,0,213,81,72,48,38,23,7,23,49,11,1,1,0,0,1,13,0,0,0,0
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau 'De Erve', Heinenoord",0585::SB11,,915,815,1,1,196,161,99,70,82,42,12,52,64,23,3,1,0,0,0,10,0,0,0,0
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Cult. Centr. 'De Tienvoet', Heinenoord",0585::SB12,,1272,921,2,3,285,185,131,63,63,49,10,43,39,31,0,2,0,0,2,15,1,0,0,2
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Concordia, Westmaas",0585::SB20,,1794,1434,2,1,475,291,161,129,102,90,22,52,54,27,0,4,0,2,2,21,0,0,1,1
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau 'De Vijf Schelpen', Mijnsheerenland",0585::SB30,,1588,1333,0,1,577,198,123,103,68,123,18,33,31,33,2,4,0,0,0,19,0,0,1,0
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau School 'De Molenwiek', Mijnsheerenland",0585::SB31,,1537,1283,0,1,542,197,115,120,69,95,25,53,23,16,3,1,0,3,1,19,0,0,1,0
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau 'Ontmoetingscentrum', Maasdam",0585::SB40,,1229,1104,1,4,405,214,106,79,54,59,11,35,85,28,3,3,1,1,0,18,0,0,0,2
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Rehobothschool, Maasdam",0585::SB41,,884,666,0,0,231,110,71,46,43,40,6,22,70,13,3,0,0,0,0,9,0,0,2,0
Dordrecht,Binnenmaas,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gemeentehuis Binnenmaas, Maasdam",0585::SB42,,1541,929,0,1,373,151,123,60,57,50,7,28,47,13,3,0,0,0,1,16,0,0,0,0
