contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Zwolle,Borne,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis,0147::SB1,7622 DG,1430,1212,1,4,270,304,113,221,154,81,17,14,3,14,3,0,0,1,2,13,0,0,2,0
Zwolle,Borne,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool Zeppelin,0147::SB2,7622 HB,1378,1034,0,0,185,265,99,234,134,58,15,10,2,6,5,2,0,2,2,12,0,0,3,0
Zwolle,Borne,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Wiekslag,0147::SB3,7621 EK,928,902,0,2,135,290,82,130,133,65,16,9,3,12,10,4,0,0,0,10,0,0,2,1
Zwolle,Borne,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Wijkgebouw De Letterbak,0147::SB4,7621 CV,1558,1133,0,4,226,301,96,196,150,97,20,9,0,6,2,1,0,0,0,29,0,0,0,0
Zwolle,Borne,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool 't Oldhof,0147::SB5,7621 XJ,1247,1015,0,0,273,238,84,188,96,79,13,13,0,7,3,2,0,0,4,13,0,0,2,0
Zwolle,Borne,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Brandweerkazerne,0147::SB6,7622 BM,1275,814,4,0,246,197,85,134,62,47,12,8,0,5,4,2,0,0,0,12,0,0,0,0
Zwolle,Borne,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Het Dijkhuis,0147::SB7,7622 CM,1439,1071,2,3,278,249,50,267,88,85,17,11,1,7,2,4,0,0,2,7,0,0,2,1
Zwolle,Borne,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool 't Iemnschelf,0147::SB8,7623 DR,1378,1113,2,0,231,321,86,162,133,88,23,18,0,15,1,4,0,0,2,25,0,0,3,1
Zwolle,Borne,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau MFA Sindron,0147::SB9,7625 PH,1091,854,0,2,266,115,61,256,45,59,11,6,0,5,0,5,3,0,3,17,0,0,1,1
Zwolle,Borne,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool De Vonder,0147::SB10,7623 AJ,1109,901,0,0,442,173,50,85,39,79,5,15,1,3,1,2,0,0,0,6,0,0,0,0
Zwolle,Borne,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool St. Aegidius,0147::SB11,7626 LW,385,330,0,0,117,25,31,116,21,10,5,2,0,1,0,0,0,0,0,2,0,0,0,0
Zwolle,Borne,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeenschapsruimte,0147::SB12,7623 HD,1609,1330,1,3,344,342,70,186,137,148,20,24,3,19,1,6,0,0,0,29,0,0,1,0
Zwolle,Borne,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool De Zonnebloem,0147::SB13,7621 GL,985,547,0,0,88,140,79,77,91,36,6,13,1,7,1,0,0,0,0,7,0,0,1,0
Zwolle,Borne,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Carint Parallelweg,0147::SB14,7622 NB,805,726,2,3,154,196,45,181,62,46,9,7,3,7,1,1,1,0,1,11,0,0,1,0
