contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Leeuwarden,Dantumadiel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stembureau Gemeentehuis,1891::SB1,9104 BR,1524,1292,2,1,167,272,103,296,135,40,12,187,55,10,4,3,0,0,0,7,0,0,1,0
Leeuwarden,Dantumadiel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stembureau Lokaal Doopsgezinde kerk,1891::SB2,9104 GM,1248,944,0,2,101,220,50,205,70,14,8,144,111,14,1,1,0,0,0,5,0,0,0,0
Leeuwarden,Dantumadiel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Stembureau Dorpshuis ""De Nije Warf""",1891::SB3,9113 PA,1476,1113,0,2,137,173,84,211,82,25,9,170,198,10,2,0,0,0,2,7,0,0,2,1
Leeuwarden,Dantumadiel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stembureau Nij Tjaerda,1891::SB4,9104 KA,1586,1108,1,3,88,330,108,217,114,14,5,132,75,10,3,0,0,0,0,7,0,1,0,4
Leeuwarden,Dantumadiel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Stembureau MFC  ""De Beijer""",1891::SB5,9105 KG,891,659,0,1,122,126,46,192,56,22,6,51,17,8,1,3,0,1,0,6,0,0,1,1
Leeuwarden,Dantumadiel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Stembureau Herberge ""De Trochreed""",1891::SB6,9067 DM,163,156,0,0,36,32,8,22,19,13,3,12,4,5,1,0,0,0,0,1,0,0,0,0
Leeuwarden,Dantumadiel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Stembureau Dorpshuis  ""De Pipegael""",1891::SB7,9108 NE,1082,841,3,4,111,153,87,236,71,24,6,95,37,9,1,1,0,0,0,8,1,0,0,1
Leeuwarden,Dantumadiel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Stembureau Kerkelijk Centrum ""De Mienskip""",1891::SB8,9269 SW,1528,1104,0,0,111,454,93,169,114,29,16,74,20,9,2,1,0,1,0,11,0,0,0,0
Leeuwarden,Dantumadiel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stembureau Zorgcentrum Talma Hoeve,1891::SB9,9269 VS,1329,1020,0,1,174,318,33,233,78,44,19,68,22,15,2,1,0,0,1,11,0,0,1,0
Leeuwarden,Dantumadiel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stembureau Zorgcentrum Brugchelencamp,1891::SB10,9271 EP,1319,949,0,1,76,378,89,134,117,15,3,70,50,5,1,1,0,0,0,8,0,1,0,1
Leeuwarden,Dantumadiel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stembureau Lokaal Chr.Geref. kerk,1891::SB11,9271 CH,1536,1057,2,3,119,348,140,117,139,28,3,93,41,10,2,0,0,0,0,17,0,0,0,0
Leeuwarden,Dantumadiel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stembureau Lokaal Ned.Herv. kerk,1891::SB12,9271 BP,1235,945,1,1,108,308,131,131,104,10,4,92,39,8,1,0,0,0,1,7,0,0,1,0
