contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Den Helder,Den Helder,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Signaleringslijst t.b.v verkiezingen,0400::SB0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Den Helder,Den Helder,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Schouwburg ""De Kampanje""",0400::SB1,1781 HH,1708,1334,7,1,329,307,206,85,150,81,21,36,8,42,14,1,0,0,1,45,1,1,0,6
Den Helder,Den Helder,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Schouwburg ""De Kampanje""",0400::SB2,1781 HH,1514,1015,5,2,276,199,184,48,118,54,20,26,9,29,11,7,2,0,4,22,0,0,3,3
Den Helder,Den Helder,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Buurthuis Centrum,",0400::SB3,1781 LC,1335,804,1,0,221,154,162,49,96,34,13,13,2,27,6,2,5,0,0,18,0,0,1,1
Den Helder,Den Helder,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Buurthuis "" 't Kraaienest""",0400::SB4,1782 XA,2085,1340,5,2,360,330,206,81,132,71,19,36,11,34,6,1,1,2,2,43,0,1,1,3
Den Helder,Den Helder,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau paviljoen Borneolaan (oude muziekkoepel),0400::SB5,1782 DL,1855,1437,0,5,454,311,166,134,104,103,24,62,6,33,2,0,4,0,2,28,1,1,1,1
Den Helder,Den Helder,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Buurthuis ""ELTO""",0400::SB6,1782 AS,2469,1356,4,7,323,301,257,84,136,55,26,37,16,50,14,2,0,0,5,44,1,0,2,3
Den Helder,Den Helder,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Buurthuis ""De Viskom""",0400::SB7,1781 TR,1674,886,2,1,220,177,219,31,98,36,17,32,14,16,0,1,2,0,0,18,0,0,2,3
Den Helder,Den Helder,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Buurthuis ""De Overzet""",0400::SB8,1781 WS,1422,929,3,1,236,215,130,79,93,53,5,36,20,17,4,0,0,0,2,35,0,1,2,1
Den Helder,Den Helder,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Dorpshuis Huisduinen,",0400::SB9,1789 AH,408,356,0,1,160,53,22,25,25,33,7,5,2,13,0,2,0,0,0,8,0,0,1,0
