contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Zwolle,Dinkelland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis Dinkelland,1774::SB1,7591 MA,1641,1357,2,3,445,261,123,300,85,78,12,8,3,14,2,0,3,0,1,18,0,0,4,0
Zwolle,Dinkelland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau OBS Dr. M.L. Kingschool,1774::SB2,7591 XJ,1879,1644,4,4,414,350,169,324,164,114,22,13,1,17,1,6,6,0,0,35,0,1,7,0
Zwolle,Dinkelland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorggroep St. Maarten,1774::SB3,7591 GX,1493,1047,1,2,322,221,90,222,94,43,9,2,0,8,2,1,4,1,4,22,0,0,2,0
Zwolle,Dinkelland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Brandweerkazerne,1774::SB4,7591 BH,1658,1230,2,2,385,274,129,163,140,80,10,7,2,4,5,1,1,0,3,25,0,0,1,0
Zwolle,Dinkelland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Kulturhus De Mare,1774::SB5,7591 PC,811,669,1,0,196,70,51,237,48,30,10,5,3,0,1,0,3,0,1,10,0,0,4,0
Zwolle,Dinkelland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gasterij de Smid,1774::SB6,7635 NC,775,589,0,1,169,65,33,227,41,31,3,5,0,10,0,1,1,0,0,3,0,0,0,0
Zwolle,Dinkelland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Cafe ten Dam,1774::SB7,7634 PR,684,565,1,3,211,52,42,207,20,21,2,3,0,3,1,0,0,0,0,1,0,0,0,2
Zwolle,Dinkelland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Cafe Groot Agelo,1774::SB8,7636 RL,718,459,2,0,197,35,24,137,21,20,8,0,4,8,1,0,0,0,0,3,0,0,0,1
Zwolle,Dinkelland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Huize Sint Jozeph,1774::SB9,7595,1245,970,0,4,310,140,74,269,77,53,11,5,2,7,0,0,0,1,1,19,0,0,1,0
Zwolle,Dinkelland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau 't Trefpunt,1774::SB10,7595 XB,1055,887,1,2,348,106,72,189,58,70,7,6,3,13,0,0,2,0,0,13,0,0,0,0
Zwolle,Dinkelland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Kulturhus,1774::SB11,7597 LS,1259,1006,0,0,331,90,95,359,48,52,4,7,5,7,1,2,0,0,0,5,0,0,0,0
Zwolle,Dinkelland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Kulturhus Rabo-de CoCeR,1774::SB12,7596 KM,1735,1355,1,1,387,214,94,423,111,66,7,8,0,5,4,1,0,1,0,33,0,0,1,0
Zwolle,Dinkelland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau RK Basisschool Willibrordus (D),1774::SB13,7561 PT,1438,1185,0,2,369,162,97,378,84,41,5,4,1,17,1,0,0,0,0,24,0,0,2,0
Zwolle,Dinkelland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Huize Franciscus,1774::SB14,7631 AM,1630,1661,3,2,601,249,99,455,75,93,17,8,2,4,2,3,1,0,2,41,0,0,9,0
Zwolle,Dinkelland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Brede School de Bres,1774::SB15,7631 GR,1724,1449,1,2,508,251,102,305,132,91,6,9,0,8,1,4,4,0,2,21,0,0,5,0
