contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Tilburg,Etten-Leur,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Raadzaal,0777::SB1,,1053,1455,1,0,464,357,118,163,170,86,23,9,1,14,3,1,0,2,1,41,0,0,0,2
Tilburg,Etten-Leur,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Nieuwe Nobelaer,0777::SB2,,1842,1309,0,5,366,298,192,115,160,72,15,12,0,19,3,3,0,0,1,47,0,0,2,4
Tilburg,Etten-Leur,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Avoord Zorg en Wonen, locatie Anbarg",0777::SB3,,1075,965,0,2,221,217,127,103,141,62,17,8,1,13,3,2,0,0,1,46,1,0,0,2
Tilburg,Etten-Leur,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Woonstichting Etten-Leur,0777::SB4,,1004,694,0,0,218,147,70,61,92,53,8,6,1,14,3,0,1,0,0,18,0,0,1,1
Tilburg,Etten-Leur,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool De Hasselbraam,0777::SB5,,1087,743,0,2,127,216,144,49,118,30,9,5,3,18,3,0,0,2,0,16,1,0,0,2
Tilburg,Etten-Leur,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dep. Basisschool De Hasselbraam,0777::SB6,,1519,1009,1,4,274,237,127,73,145,68,21,5,1,21,7,2,0,0,0,24,1,0,2,1
Tilburg,Etten-Leur,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau 4 Heemskinderen,0777::SB7,,1106,729,0,3,173,199,107,60,105,34,8,4,2,8,2,0,1,0,0,22,1,1,0,2
Tilburg,Etten-Leur,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Wijkgebouw Ut Praotuis,0777::SB8,,1327,948,4,2,270,214,124,76,109,86,14,6,2,9,3,2,1,0,0,30,0,1,0,1
Tilburg,Etten-Leur,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Scholengemeenschap,0777::SB9,,1589,1283,1,7,488,256,134,109,112,107,22,11,0,15,2,1,1,1,1,22,0,1,0,0
Tilburg,Etten-Leur,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Avoord Zorg en Wonenm locatie Kloostergaard,0777::SB10,,1379,881,1,0,302,151,94,161,66,41,13,5,1,12,2,2,1,0,1,28,0,0,1,0
Tilburg,Etten-Leur,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stichting Instuif het Zorgenkind,0777::SB11,,1722,899,1,2,205,230,90,69,170,61,14,5,2,16,4,4,0,0,0,27,0,0,1,1
Tilburg,Etten-Leur,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Tafeltennishal Tanaka,0777::SB12,,1384,869,7,2,269,191,151,55,85,65,13,2,1,11,2,1,0,0,0,21,0,0,1,1
