contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Groningen,Grootegast,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis,0015::SB1,,1645,1351,2,1,274,278,91,266,92,53,11,208,35,20,2,3,0,1,0,16,0,0,1,0
Groningen,Grootegast,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gebouw Irene,0015::SB2,,515,365,0,0,81,82,41,39,29,18,3,51,7,3,1,2,0,0,0,7,0,0,0,1
Groningen,Grootegast,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis 't Kompas,0015::SB3,,727,539,1,1,132,86,34,149,37,14,10,48,20,5,0,0,1,0,0,2,0,0,1,0
Groningen,Grootegast,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gebouw ""de Schaapskooi""",0015::SB4,,968,612,1,1,78,109,63,183,50,21,6,70,13,11,0,0,0,3,0,0,0,0,5,0
Groningen,Grootegast,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gebouw De Branding,0015::SB5,,856,613,0,0,89,103,57,172,40,21,3,82,19,10,2,4,0,2,2,7,0,0,0,0
Groningen,Grootegast,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis 't Hörnhuus,0015::SB6,,556,425,1,0,52,60,54,100,32,18,5,78,12,3,2,0,1,0,1,1,0,0,1,5
Groningen,Grootegast,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Vrijzinnig gebouw,0015::SB7,,426,299,3,0,55,68,38,48,27,5,13,21,12,4,0,0,3,0,0,5,0,0,0,0
Groningen,Grootegast,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stichting Mfc De Veste,0015::SB8,,1383,1044,2,0,238,297,93,132,109,30,8,94,7,11,5,2,3,0,1,14,0,0,0,0
Groningen,Grootegast,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gebouw Ons Centrum,0015::SB9,,884,637,2,0,136,118,44,147,65,33,14,59,9,7,2,0,0,0,0,3,0,0,0,0
Groningen,Grootegast,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis De Rotonde,0015::SB10,,1223,1001,3,1,204,289,59,169,90,50,22,75,14,11,1,1,3,0,0,12,0,1,0,0
