contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Den Helder,Harenkarspel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Waarland,0395::SB1,1738 BJ,925,683,2,3,276,104,53,100,59,35,9,8,1,10,2,2,0,0,0,21,0,0,2,1
Den Helder,Harenkarspel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Waarland,0395::SB2,1738 BJ,962,682,1,1,274,115,57,98,52,42,11,5,0,6,5,0,0,0,1,15,0,0,1,0
Den Helder,Harenkarspel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Ahoj Tuitjenhorn,0395::SB3,1747 HA,963,731,0,1,260,134,95,96,56,40,7,4,0,15,3,5,1,0,1,11,0,0,2,1
Den Helder,Harenkarspel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Ahoj Tuitjenhorn,0395::SB4,1747 HA,965,771,2,1,260,138,62,124,74,57,12,4,1,16,1,5,0,1,2,14,0,0,0,0
Den Helder,Harenkarspel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Warmenhuizen,0395::SB5,1749 AJ,1066,1109,1,2,392,234,102,101,75,96,32,8,2,25,3,4,0,1,1,28,0,0,3,2
Den Helder,Harenkarspel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Warmenhuizen,0395::SB6,1749 AJ,1189,893,0,0,339,202,63,79,56,78,24,6,0,19,2,3,0,0,0,22,0,0,0,0
Den Helder,Harenkarspel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis Oostwal,0395::SB7,1749 EZ,1056,781,5,1,333,158,41,68,64,58,18,4,0,12,2,1,0,1,1,14,0,0,3,3
Den Helder,Harenkarspel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis St. Maarten,0395::SB8,,1066,825,8,0,277,188,66,63,81,75,20,11,0,20,1,2,0,0,3,17,0,0,1,0
Den Helder,Harenkarspel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Dirkshorn,0395::SB9,,1480,1117,0,0,438,235,88,86,86,71,28,19,3,26,3,5,1,0,0,22,0,0,4,2
Den Helder,Harenkarspel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Angelapark Warmenhuizen,0395::SB10,1749 AR,1256,815,0,2,351,166,47,105,44,49,17,1,1,19,1,4,0,0,0,8,0,0,2,0
Den Helder,Harenkarspel,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis Oostwal,0395::SB11,1747 EZ,1083,770,2,2,309,122,56,88,55,68,23,5,0,13,6,3,1,0,3,17,0,0,1,0
