contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Den Helder,Heiloo,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis Heiloo,0399::SB1,1851 JL,2007,1802,3,4,679,422,93,138,97,180,68,16,2,45,4,6,3,2,1,33,2,0,5,6
Den Helder,Heiloo,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Basisschool ""Paulus""",0399::SB2,1851 ZC,1382,1123,1,0,395,268,83,86,72,106,36,15,0,27,4,0,0,1,2,22,1,0,3,2
Den Helder,Heiloo,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Basisschool ""de Springschans""",0399::SB3,1851 MA,2045,1743,0,1,535,470,97,160,111,184,63,26,3,39,8,4,1,1,1,34,2,0,4,0
Den Helder,Heiloo,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Bowling Heiloo,0399::SB4,1851 ND,1186,939,0,4,350,181,70,99,69,90,25,8,2,15,1,6,0,1,0,21,0,0,1,0
Den Helder,Heiloo,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Wijkgebouw ""Ypsalon""",0399::SB5,1851 ZC,1917,1421,0,0,612,292,85,83,72,153,34,12,4,40,5,0,2,0,2,21,0,0,1,3
Den Helder,Heiloo,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau PCC Heiloo,0399::SB6,1851 RG,2153,1834,2,2,804,363,64,143,91,207,45,20,5,55,4,3,2,1,2,22,1,1,0,1
Den Helder,Heiloo,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Zorgcentrum ""Overkerck""",0399::SB7,1852 LN,1842,1556,3,5,411,433,95,218,106,137,56,14,1,27,7,0,1,0,1,46,0,0,2,1
Den Helder,Heiloo,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Basisschool ""de Zuidwester""",0399::SB8,1852 WS,1931,1581,2,2,502,415,89,100,129,175,59,13,2,39,6,6,2,0,1,36,0,1,2,4
Den Helder,Heiloo,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Benedictusschool,0399::SB9,1851 CK,1361,1140,1,0,425,233,47,125,59,129,38,21,7,26,4,2,0,1,0,20,2,0,1,0
Den Helder,Heiloo,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau R.K. Basisschool ""Willibrord""",0399::SB10,1852 WS,1730,1310,0,3,404,346,82,98,78,182,33,11,1,21,4,2,1,1,0,43,0,0,2,1
